Finnish;English
diplomityö (dippatyö) / (pro) gradu;master's thesis
diplomi-insinööri;Master of Science
filosofian maisteri;Master of Arts
kauppatieteiden maisteri;Master of Science (Economics and Business Administration)
yhteiskuntatieteiden maisteri;Master of Social Sciences
essee;essay
fuksi;first year student (spoken language)
jatkotutkinto;graduate degree
kandi;bachelor thesis
kandidaattitutkinto;bachelor's degree
kirjatentti;book-based exam
luennoitsija;lecturer
luento;lecture
luentosali;lecture hall
maisteritutkinto;master's degree
opintolaina;student loan
opintopiste;credit
opiskelija-asunto;student apartment
opiskelija-asuntola;student housing
opiskelijakortti;student card
pakollinen kurssi;obligatory course
pääaine;major
pääsykoe;entrance exam
seminaari;seminar
sivuaine;minor
tentti;exam
tiedekunta;faculty
tutkielma;term paper
tutkinto;degree
yliopistotutkinto;university degree
vaihto-opiskelija;exchange student
valinnainen kurssi;optional course
väitellä;to defend your thesis
väitöskirja;dissertation
Aikafraaseja;Timeframes
toissa vuonna;the year before last year
viime vuonna;last year
tänä vuonna;this year
ensi vuonna;next year
toissa kesänä;the summer before last
viime kesänä;last summer
tänä kesänä;this summer
ensi kesänä;next summer
toissa viikolla;the week before last
viime viikolla;last week
tällä viikolla;this week
ensi viikolla;next week
toissa kuussa;the month before last
viime kuussa;last month
tässä kuussa;this month
ensi kuussa;next month
vuosi sitten;a year ago
vuoden päästä;a year from now
kolme vuotta sitten;three years ago
kolmen vuoden päästä;three years from now
tulevaisuus;the future
tulevaisuudessa;in the future


