Finnish;English
Ilma muuttui kylmäksi.;The weather turned cold.
Takki tuli märäksi.;The coat got wet.
Maalaa se punaiseksi!;Paint it red!
Hän kasvoi pitkäksi.;He grew tall.
Minä tulen aika nopeasti sairaaksi.;I get sick pretty quickly.
Se muuttui vedeksi.;It turned into water.
Sivut muuttuivat kirjaksi.;The pages turned into a book.
Pääsin ylioppilaaksi vuonna 2004.;I became a graduate in 2004.
Hän opiskelee toimittajaksi.;She studies to become a journalist.
Hän valmistui insinööriksi.;He graduated as an engineer.
Hän joutui työttömäksi.;He became unemployed.
Hän tuli raskaaksi.;She became pregnant.
Hän joutui vangiksi.;He was imprisoned.
Rakennetaan aita suojaksi hirviä vastaan!;Let's build a fence as protection against elks!
Laite on kehitetty apuvälineeksi.;The device has been developed as an aid.
Lakana sopii pöytäliinaksi.;The sheet is suitable as a tablecloth.
Hänet on kasvatettu kuninkaaksi.;He's been raised to be a king.
Kirja on tarkoitettu käytettäväksi opetuksessa.;The book is meant to be used in education.
Kakku on tehty syötäväksi.;Cake is made to be eaten.
Minä käännän sen suomeksi.;I will translate it to Finnish.
Sano se suomeksi!;Say it in Finnish!
Kuinka sanotaan viroksi "kirja"?;How do you say "kirja" in Estonian?
Käänsin satukirjan englannista suomeksi.;I translated a fairytale book from English to Finnish.
Minä menen kesäksi Suomeen.;I'm going to Finland for the summer.
Matkustatteko te kotiin jouluksi?;Are you going home for Christmas?
Matkustan Lappiin viikoksi.;I'm traveling to Lapland for a week.
Menen Suomeen kolmeksi viikoksi.;I'm going to Finland for three weeks.
Hän lähti kaupungille pariksi tunniksi.;He went into town for a couple of hours.
Vien sen kotiin viikonlopuksi.;I'm taking it home for the weekend.
anteeksi;I'm sorry.
lopuksi;in the end
miksi;why
aluksi;in the beginning
ensiksi;first, firstly
onneksi;luckily
lisäksi;in addition
esimerkiksi;for example
tarpeeksi;enough
terveydeksi;bless you
toiseksi;second, secondly
