Finnish;English;hungarian
Istun bussissa lukemassa.;I'm sitting in the bus reading.;Ülök a buszon és olvasok.
Makaan sängyssä itkemässä.;I'm laying in the bed crying.;Sírva fekszem az ágyban.
Seison jonossa odottamassa.;I'm standing in the queue waiting.;Sorban állok és várok.
Olen eläintarhassa ottamassa kuvia.;I'm in the zoo taking pictures;Az állatkertben vagyok, fotózom.
Tulen Prismasta ostamasta kukkia.;"I come from Prisma "from" buying flowers.";Prismából jövök virágot venni.
Nousen vihdoin sängystä lukemasta.;"I finally get up from the bed "from" reading.";Végre kikelek az ágyból az olvasástól.
Lähden kylpyhuoneesta itkemästä.;"I leave "from" the bathroom "from" crying.";Sírva hagyom el a fürdőszobát.
Tulen Espanjasta lomailemasta.;"I come from Spain "from" vacationing.";Spanyolországból jöttem nyaralni.
Menen kauppaan ostamaan kukkia.;I go to the store to buy flowers.;Elmegyek a boltba virágot venni.
Lähden puistoon ottamaan aurinkoa.;I go to the park to sunbathe.;Kimegyek a parkba napozni.
Saavun baariin tapaamaan kavereitani.;I arrive at the bar to meet my friends.;Megérkezem a bárba, hogy találkozzam a barátaimmal.
Menen Egyptiin sukeltamaan.;I go to Egypt to dive.;Egyiptomba megyek merülni.
Opin suomea puhumalla ystävilleni.;I learn Finnish by talking to my friends.;A barátaimmal beszélgetve tanultam meg finnül.
Rentoudun hengittämällä rauhallisesti.;I calm down by breathing calmly.;Nyugodt légzéssel ellazulok.
Lukitsen oven kääntämällä avaimen.;I lock the door by turning the key.;A kulcs elfordításával bezárom az ajtót.
Varoitin ihmisiä huutamalla.;I warned people by screaming.;Kiabálással figyelmeztettem az embereket.
Olin 3 päivää syömättä.;"I was "without eating" for three days.";3 napig nem ettem.
Poistuin talosta hengittämättä savua.;"I left the house "without breathing" the smoke.";Füst beszívása nélkül hagytam el a házat.
Hän aloitti lukematta sääntöjä.;"He started "without reading" the rules.";A szabályok elolvasása nélkül kezdte.
Lähdin sanomatta sanaakaan.;"I left "without saying" even a word.";Szó nélkül távoztam.
Kielsin sinua tulemasta.;I forbade you to come.;Mondtam, hogy ne gyere.
Pyydän sinua odottamaan.;I ask you to wait.;Arra kérlek, hogy várj.
Jouduin odottamaan.;I ended up having to wait.;várnom kellett.
Kannustin sinua yrittämään.;I encouraged you to try.;Bátorítottam, hogy próbáld ki.
Äidin leipoma kakku on paras.;[The cake mom baked] is the best.;Az anyuka által sütött sütemény a legjobb.
Rakastan äidin leipomaa kakkua.;I love [the cake mom baked].;Imádom az édesanyám által sütött süteményt.
Kirjoittamani kirje ei saapunut.;[The letter I wrote] didn't arrive.;Nem érkezett meg a levél, amit írtam.
Rakentamasi vaja lässähti.;[The shed you built] fell flat.;Az ön által épített fészer megereszkedett.
Olin nukkumaisillani kun kello soi.;I was [on the verge of sleeping] when the bell rang.;Már aludni készültem, amikor megszólalt a csengő.
Mari oli tukehtumaisillaan ruokaansa.;Mari was [about to choke] on her food.;Mari éppen megfulladt az ételtől.
Hän oli hyppäämäisillään sillalta.;He was [on the verge of jumping] off the bridge.;Le akart ugrani a hídról.
Olimme nääntymäisillämme nälkään.;We were [about to starve] to death.;Éhezni készültünk.
