Finnish (basic);Finnish (perfekti);Finnish (negatiivinen perfekti)
minä + nukkua;minä olen nukkunut;minä en ole nukkunut
sinä + nukkua;sinä olet nukkunut;sinä et ole nukkunut
hän + nukkua;hän on nukkunut;hän ei ole nukkunut
me + nukkua;me olemme nukkuneet;me emme ole nukkuneet
te + nukkua;te olette nukkuneet;te ette ole nukkuneet
he + nukkua;he ovat nukkuneet;he eivät ole nukkuneet
minä + juoda;minä olen juonut;minä en ole juonut
sinä + juoda;sinä olet juonut;sinä et ole juonut
hän + juoda;hän on juonut;hän ei ole juonut
me + juoda;me olemme juoneet;me emme ole juoneet
te + juoda;te olette juoneet;te ette ole juoneet
he + juoda;he ovat juoneet;he eivät ole juoneet
minä + ommella;minä olen ommellut;minä en ole ommellut
sinä + ommella;sinä olet ommellut;sinä et ole ommellut
hän + ommella;hän on ommellut;hän ei ole ommellut
me + ommella;me olemme ommelleet;me emme ole ommelleet
te + ommella;te olette ommelleet;te ette ole ommelleet
he + ommella;he ovat ommelleet;he eivät ole ommelleet
minä + tavata;minä olen tavannut;minä en ole tavannut
sinä + tavata;sinä olet tavannut;sinä et ole tavannut
hän + tavata;hän on tavannut;hän ei ole tavannut
me + tavata;me olemme tavanneet;me emme ole tavanneet
te + tavata;te olette tavanneet;te ette ole tavanneet
he + tavata;he ovat tavanneet;he eivät ole tavanneet
minä + häiritä;minä olen häirinnyt;minä en ole häirinnyt
sinä + häiritä;sinä olet häirinnyt;sinä et ole häirinnyt
hän + häiritä;hän on häirinnyt;hän ei ole häirinnyt
me + häiritä;me olemme häirinneet;me emme ole häirinneet
te + häiritä;te olette häirinneet;te ette ole häirinneet
he + häiritä;he ovat häirinneet;he eivät ole häirinneet
minä + rohjeta;minä olen rohjennut;minä en ole rohjennut
sinä + rohjeta;sinä olet rohjennut;sinä et ole rohjennut
hän + rohjeta;hän on rohjennut;hän ei ole rohjennut
me + rohjeta;me olemme rohjenneet;me emme ole rohjenneet
te + rohjeta;te olette rohjenneet;te ette ole rohjenneet
he + rohjeta;he ovat rohjenneet;he eivät ole rohjenneet
minä + kertoa;minä olen kertonut;minä en ole kertonut
sinä + kertoa;sinä olet kertonut;sinä et ole kertonut
hän + kertoa;hän on kertonut;hän ei ole kertonut
me + kertoa;me olemme kertoneet;me emme ole kertoneet
te + kertoa;te olette kertoneet;te ette ole kertoneet
he + kertoa;he ovat kertoneet;he eivät ole kertoneet
minä + myydä;minä olen myynyt;minä en ole myynyt
sinä + myydä;sinä olet myynyt;sinä et ole myynyt
hän + myydä;hän on myynyt;hän ei ole myynyt
me + myydä;me olemme myyneet;me emme ole myyneet
te + myydä;te olette myyneet;te ette ole myyneet
he + myydä;he ovat myyneet;he eivät ole myyneet
minä + nousta;minä olen noussut;minä en ole noussut
sinä + nousta;sinä olet noussut;sinä et ole noussut
hän + nousta;hän on noussut;hän ei ole noussut
me + nousta;me olemme nousseet;me emme ole nousseet
te + nousta;te olette nousseet;te ette ole nousseet
he + nousta;he ovat nousseet;he eivät ole nousseet
minä + haluta;minä olen halunnut;minä en ole halunnut
sinä + haluta;sinä olet halunnut;sinä et ole halunnut
hän + haluta;hän on halunnut;hän ei ole halunnut
me + haluta;me olemme halunneet;me emme ole halunneet
te + haluta;te olette halunneet;te ette ole halunneet
he + haluta;he ovat halunneet;he eivät ole halunneet
minä + valita;minä olen valinnut;minä en ole valinnut
sinä + valita;sinä olet valinnut;sinä et ole valinnut
hän + valita;hän on valinnut;hän ei ole valinnut
me + valita;me olemme valinneet;me emme ole valinneet
te + valita;te olette valinneet;te ette ole valinneet
he + valita;he ovat valinneet;he eivät ole valinneet
minä + vanheta;minä olen vanhennut;minä en ole vanhennut
sinä + vanheta;sinä olet vanhennut;sinä et ole vanhennut
hän + vanheta;hän on vanhennut;hän ei ole vanhennut
me + vanheta;me olemme vanhenneet;me emme ole vanhenneet
te + vanheta;te olette vanhenneet;te ette ole vanhenneet
he + vanheta;he ovat vanhenneet;he eivät ole vanhenneet
