Finnish;english
esimerkiksi (esim.);for example (e.g.)
ja niin edelleen (jne.);et cetera (etc.), and so on
katso (ks.);see (see)
muun muassa (mm.);among others (among others)
tai muuta sellaista (tms.);or something like that (etc.)
ynnä muuta sellaista (yms.);and so on (etc.)
niin sanottu (ns.);so-called (so-called)
sosiaalinen media (some);social media
Mulla on pyörä.;I have a bike.
Mä osaan soittaa kitaraa.;I can play the guitar.
Mä harrastan musiikin kuuntelemista.;I enjoy listening to music.
Mä luen paljon.;I read a lot.
Mä asun Hervannassa.;I live in Hervanta.
Mä asun keskustassa.;I live in the city center.
Mä en ymmärrä italiaa.;I don't understand Italian.
Mulla on kissa.;I have a cat.
Mä en ole somessa / en käytä somea.;I'm not on social media / I don't use social media.
Mä tykkään laittaa ruokaa.;I like to cook.
Mä käyn usein saunassa.;I often go to the sauna.
Mä puhun vähintään kolmea kieltä.;I speak at least three languages.
Mun lempiväri on vihreä.;My favorite color is green.
Mä matkustan usein ratikalla.;I often travel by tram.
Mulla on koira.;I have a dog.
Mä tykkään matematiikasta.;I like math.
Mä puhun joka päivä suomea.;I speak Finnish every day.
Mä laulan hyvin.;I sing well.
Mä tykkään Suomen talvesta.;I like Finnish winter.
Mä harrastan liikuntaa.;I do sports.
liiallinen;excessive
saari, saarten;island, islands'
luonto;nature
mielenosoitus;demonstration
ympäristöjärjestö;environmental organization
liikaa;over-
jätteet, jätteitä;refuse, waste
vedenkulutus;water consumption
kuluttaa;consume
rannikko;coast
matkailija;tourist
asukas, asukkaat;resident, residents
pilata;to spoil, to ruin
lisätä;to increase
huolestunut;concerned, worried
katsoo televisiota;watching television
surffaa internetissä;surf the internet
käy metsässä kävelyllä;go for a walk in the forest
käy shoppailemassa;go shopping
pelaa tietokoneella;play on the computer
viettää aikaa perheen kanssa;spend time with family
tapaa ystäviä kahvilassa;meet friends at a cafe
käy kuntosalilla;go to the gym
kalastaa;fish
sienestää;to mushroom
keilaa;bowling
nukkuu pitkään;sleeps for a long time
ompelee tai neuloo;sews or knits
käy yökerhossa;go to a nightclub
kirjoittaa kirjeitä;to write letters
kutsuu ystäviä kylään;invites friends over
katsoo elokuvia;watches movies
matkustelee;travels
saunoo;sauna
