Finnish;English
Mä voin jakaa mun näytön / Mä jaan mun näytön.;I can share my screen.
Hetki / hetkinen / pieni hetki.;Just a moment.
Näetkö / näettekö mun näytön? (Näkyykö?);Can you see my screen?
Kuuluuko? / Kuuletko sä? / Kuuletteko te?;Can you hear?
Mä en kuule sua (Ei kuulu.);I can't hear you.
Sun mikki (mikrofoni) on mutella / Sun mikki on pois päältä.;Your microphone is muted.
Mun (internet)yhteys / netti on huono / heikko.;My (internet) connection is bad / weak.
Mun netti / yhteys pätkii;My internet / connection is breaking up.
Voitko laittaa sun mikin pois päältä?;Can you turn off your microphone?
Voitko laittaa sun kameran päälle?;Can you turn on your camera?
Kirjoita / Kirjoittakaa chatiin.;Write to the chat.
Tavataanko me Teamsissä vai Zoomissa?;Do we meet in Teams or Zoom?
Mä lähetän sulle linkin.;I will send you the link.
Mä laitan / lähetän linkin chatiin.;I will add a link to the chat.
