Finnish (nominative);Finnish (monikon gentiivi)
talo;talojen
katu;katujen
pallo;pallojen
pöllö;pöllöjen
kynä;kynien
isä;isien
leipä;leipien
pöytä;pöytien
sana;sanojen
kala;kalojen
teema;teemojen
kirja;kirjojen
koira;koirien
tukka;tukkien
loma;lomien
kooma;koomien
banaani;banaanien
tiimi;tiimien
posti;postien
tyyli;tyylien
järvi;järvien
sormi;sormien
lehti;lehtien
tyttö;tyttöjen
hylly;hyllyjen
aamu;aamujen
helppo;helppojen
metsä;metsien
kesä;kesien
kylmä;kylmien
hätä;hätien
hinta;hintojen
kissa;kissojen
marja;marjojen
liima;liimojen
kukka;kukkien
muna;munien
oja;ojien
tumma;tummien
äiti;äitien
pankki;pankkien
maali;maalien
bussi;bussien
ovi;ovien
kivi;kivien
nimi;nimien
pilvi;pilvien
nainen;naisten
suomalainen;suomalaisten
iloinen;iloisten
hevonen;hevosten
eteinen;eteisten
ihminen;ihmisten
työtön;työttömien
rasvaton;rasvattomien
koditon;kodittomien
järjetön;järjettömien
vesi;vesien (vetten)
susi;susien (sutten)
käsi;käsien (kätten)
reisi;reisien (reitten)
pieni;pienien (pienten)
meri;merien (merten)
sieni;sienien (sienten)
hiiri;hiirien (hiirten)
kieli;kielien (kielten)
huone;huoneiden (huoneitten)
perhe;perheiden (perheitten)
parveke;parvekkeiden (parvekkeitten)
koe;kokeiden (kokeitten)
maa;maiden (maitten)
suu;suiden (suitten)
jää;jäiden (jäitten)
harmaa;harmaiden (harmaitten)
vapaa;vapaiden (vapaitten)
tie;teiden (teitten)
vyö;vöiden (vöitten)
yö;öiden (öitten)
työ;töiden (töitten)
televisio;televisioiden (televisioitten)
keittiö;keittiöiden (keittiöitten)
museo;museoiden (museoitten)
video;videoiden (videoitten)
keskus;keskuksien (keskusten)
ostos;ostoksien (ostosten)
kasvis;kasviksien (kasvisten)
fiilis;fiiliksien (fiilisten)
ananas;ananaksien (ananasten)
kallis;kalliiden (kalliitten)
valmis;valmiiden (valmiitten)
hammas;hampaiden (hampaitten)
saapas;saappaiden (saappaitten)
ystävätär;ystävättärien (ystävätärten)
kuningatar;kuningattarien (kuningatarten)
valtiatar;valtiattarien (valtiatarten)
herttuatar;herttuattarien (herttuatarten)
puhelin;puhelimien (puhelinten)
puhallin;puhaltimien (puhallinten)
kahvinkeitin;kahvinkeittimien (kahvinkeitinten)
kiharrin;kihartimien (kiharrinten)
avain;avaimien (avainten)
olut;oluiden (oluitten)
kevyt;kevyiden (kevyitten)
lyhyt;lyhyiden (lyhyitten)
väsynyt;väsyneiden (väsyneitten)
tottunut;tottuneiden (tottuneitten)
kuollut;kuolleiden (kuolleitten)
opiskelija;opiskelijoiden (opiskelijain)
köyhä;köyhien (köyhäin)
pyhä;pyhien (pyhäin)
pappi;pappien (pappein)
vanhempi;vanhempien (vanhempain)
vanki;vankien (vankein)
kaikki;kaikkien (kaikkein)
vanha;vanhojen (vanhain)
puku;pukujen
hattu;hattujen
silta;siltojen
savuke;savukkeiden
soitin;soittimien
rakas;rakkaiden
keitin;keittimien
kauppa;kauppojen
kampa;kampojen
tavoite;tavoitteiden
opas;oppaiden
