Finnish;english
päivittää;update
postata;to post
somettaa;to use social media
olla somessa;be on social media
peukuttaa;thumbs up
seurata;follow
selailla;browse
blogata;blog
tubettaa;to YouTube
ajaa parta;shave
antaa;give
hukkua;drown
huuhdella;rinse
janottaa;make thirsty
juoda;drink
jättää;leave
kantaa;carry
keskustella;debate
kulua;wear
kuluttaa;consume
kylpeä;bathe
käydä;visit
käyttää;use
kääntää (pois päältä);turn (off)
laskea;calculate, lower
lukea ääneen;read out
nuolaista;lick
olla;be
oppia;learn
pestä;wash
syödä;eat
tarvita;need
tietää;know
tipahtaa;to drop
tiskata;do the dishes
tuottaa;produce
täyttää;fill
valita;choose
valua;flow, drain
vähentää;reduce
ylettää;reach
