Finnish;English
Mä tarjoon.;I'll buy.
Anteeks, mä jään tässä pois.;Excuse me, I'll stay out here.
Mitä sais olla?;What can I get you?
Sä taisit olla tässä mua ennen.;I think you were here before me.
Anteeks, ootsä jonossa?;Excuse me, are you in line?
Saataisko me lasku?;Can we have the bill?
Pitkästä aikaa!;It's been a long time!
Mitä sulle kuuluu?;How are you?
Sori, mikähän on seuraava pysäkki?;Sorry, what's the next stop?
Otatko mukaan vai syötkö täällä?;Are you taking me home or eating here?
(Sinun ystävä) on kipeänä.;Your friend is sick.
(Sinun ystävä) on saanut uuden työpaikan.;Your friend's got a new job.
(Sinun tuttava) jää eläkkeelle.;Your friend is retiring.
(Sinun ystävän) läheinen on kuollut.;Your friend's loved one has died.
(Sinun ystävä) kertoo, että hän on masentunut.;Your friend tells you they are depressed.
(Sinun ystävä) on mennyt kihloihin.;Your friend has got engaged.
(Sinun ystävä) kertoo, että hän on raskaana.;Your friend tells you she's pregnant.
(Sinun ystävä) on ostanut uuden asunnon.;Your friend has bought a new home.
eläke;pension
läheinen;a close relative
masentunut;depressed
mennä kihloihin;to get engaged
raskaana;pregnant
paino; print
näyttää;  look like
älyttömän, todella; very
tyytyväinen; satisfied
nä(m)ä;these
juttu; thing
helpottunut; relieved
saada pois alta, saada valmiiksi;finnish
ärsyttävä; annoying
jotenkin; somehow
stressata; to stress
ihan hirveesti, todella paljon; very much
homma, työ, tehtävä;task
Ihan totta?; Really?
Hyvä kuulla!; Good to hear!
innoissaan;excited
hanke, projekti;project
kauhuissaan; horrified
pelottaa (+ ssa/ssä); to be scared
miettiä; to think
pystyä (+ maan/mään); to be able to
hoitaa; to take care of
Miten niin?; How so?
kunnon;decent
rahoitus; funding
tietty, tietysti;naturally
tyyppi;person
Ei taatusti!; Not indeed!
olla hajalla;be broken
meijän, meidän;our
tilanne; situation
hankala, vaikea;difficult
yrittää; to try
keskittyä (+ MIHIN); to focus on
sen verran, niin paljon;this much
tän;tämän
aivan;ihan
raivona; furious
viikonlopuks(i); for the weekend
kuulemma; "I've heard this"
ehtiä; to have time
ehtiä junaan; to catch the train
Meidän piti mennä; We were supposed to go
päästä lähtemään; to be able to leave
harmittaa; to be sorry/annoyed
aatella; ajatella
kaikenlaista;paljon erilaista

hyvällä tuulella;in a good mood
huonolla tuulella;in a bad mood
(Mä oon) iloinen / onnellinen;(I am) happy / happy
(Mä oon) tyytyväinen;(I am) satisfied
(Mä oon) surullinen;(I am) sad
(Mä oon) vihainen;(I am) angry
(Mä oon) hajalla;(I am) broken
(Mä oon) harmissani;(I'm) annoyed
(Mä oon) pahoillani;(I'm) sorry
(Mä oon) raivoissani;(I'm) furious
(Mä oon) kauhuissani;(I'm) terrified
(Mä oon) innoissani;(I'm) excited
(Mä oon) iloissani;(I am) delighted
(Mä oon) onnessani;(I'm) happy
(Mä oon) ihmeissäni;(I'm) amazed
Ootsä innoissas?;Are you excited?
Se oli tosi pahoillaan;He was really sorry
(Mua) rasittaa;I'm a burdened
(Mua) stressaa;I'm stressed
(Mua) suututtaa;I'm angry
(Mua) ärsyttää;I'm annoyed
(Mua) naurattaa;Makes me laugh
(Mua) mietityttää;I wonder
(Mua) pelottaa;I'm scared
(Mua) huolestuttaa;I'm worried
(Mua) ahdistaa;I am anxious
(Mua) itkettää;I am crying
Mikä sua naurattaa?;What makes you laugh?
Emmiä stressaa nyt joku.;Emmi is stressed out about something.
Mulla on hyvä / paha mieli;I'm in a good / bad mood
Mulla on hyvä / loistava / outo / huono fiilis.;I'm in a good / great / weird / bad mood.
Onks sulla paha mieli?;Are you in a bad mood?
Leenalla oli varmaan aika kurja fiilis;Leena must have been in a pretty bad mood
