Finnish;Finnish (Monikon Paikallissijat)
talo (+ssa / ssä);taloissa
hylly (+sta / stä);hyllyistä
pöllö (+ssa / ssä);pöllöissä
sato (+lla / llä);sadoilla
kynä (+lta / ltä);kyniltä
kesä (+sta / stä);kesistä
pöytä (+lle);pöydille
hätä (+ssa / ssä);hädissä
sana (+ssa / ssä);sanoissa
kissa (+lle);kissoille
kirja (+ssa / ssä);kirjoissa
marja (+lta / ltä);marjoilta
koira (+lla / llä);koirilla
muna (+lle);munille
kooma (+ssa / ssä);koomissa
oja (+ssa / ssä);ojissa
banaani (+ssa / ssä);banaaneissa
pankki (+ssa / ssä);pankeissa
tili (+lle);tileille
bussi (+lle);busseille
ovi (+ssa / ssä);ovissa
kivi (+lla / llä);kivillä
sormi (+lla / llä);sormilla
järvi (+sta / stä);järvistä
uusi (+sta / stä);uusista
käsi (+lta / ltä);käsiltä
huone (+sta / stä);huoneista
kirje (+ssa / ssä);kirjeissä
parveke (+lta / ltä);parvekkeilta
osoite (+ssa / ssä);osoitteissa
nainen (+lle);naisille
eteinen (+sta / stä);eteisistä
sininen (+ssa / ssä);sinisissä
ihminen (+lla / llä);ihmisillä
maa (+ssa / ssä);maissa
suu (+sta / stä);suista
vapaa (+lla / llä);vapailla
harmaa (+lle);harmaille
tie (+lla / llä);teillä
yö (+lle);öille
täi (+sta / stä);täistä
rakas (+sta / stä);rakkaista
taivas (+ssa / ssä);taivaissa
opas (+lla / llä);oppailla
kallis (+sta / stä);kalliista
kaunis (+lla / llä);kauniilla
kauris (+sta / stä);kauriista
ruis (+ssa / ssä);rukiissa
mahdollisuus (+sta / stä);mahdollisuuksista
rakkaus (+ssa / ssä);rakkauksissa
ystävyys (+lla / llä);ystävyyksillä
pimeys (+ssa / ssä);pimeyksissä
työtön (+lla / llä);työttömillä
rahaton (+lta / ltä);rahattomilta
maidoton (+ssa / ssä);maidottomissa
puhelin (+sta / stä);puhelimista
avain (+lla / llä);avaimilla
puhallin (+ssa / ssä);puhaltimissa
kevyt (+sta / stä);kevyistä
olut (+ssa / ssä);oluissa
ohut (+lla / llä);ohuilla
tytär (+lla / llä);tyttärillä
herttuatar (+lta / ltä);herttuattarilta
tyttö (+lla / llä);tytöillä
pöytä (+lta / ltä);pöydiltä
silta (+lla / llä);silloilla
puku (+ssa / ssä);puvuissa
savuke (+ssa / ssä);savukkeissa
keitin (+lle);keittimille
pallo (+lla / llä);palloilla
helppo (+ssa / ssä);helpoissa
katu (+lle);kaduille
metsä (+ssa / ssä);metsissä
leipä (+lla / llä);leivillä
ystävä (+lla / llä);ystävillä
isä (+lle);isille
hinta (+lla / llä);hinnoilla
teema (+ssa / ssä);teemoissa
herra (+lle);herroille
liima (+sta / stä);liimoista
kukka (+sta / stä);kukista
loma (+lla / llä);lomilla
tumma (+lta / ltä);tummilta
tukka (+lla / llä);tukilla
äiti (+lle);äideille
posti (+lla / llä);posteilla
tyyli (+sta / stä);tyyleistä
tiimi (+sta / stä);tiimeistä
meri (+ssa / ssä);merissä
sieni (+lla / llä);sienillä
tuli (+lle);tulille
kieli (+ssa / ssä);kielissä
vuosi (+ssa / ssä);vuosissa
reisi (+lla / llä);reisillä
perhe (+lla / llä);perheillä
kone (+lta / ltä);koneilta
koe (+ssa / ssä);kokeissa
palaute (+lla / llä);palautteilla
hevonen (+lla / llä);hevosilla
iloinen (+lle);iloisille
toinen (+lta / ltä);toisilta
suomalainen (+sta / stä);suomalaisista
sää (+sta / stä);säistä
DVD (+lla / llä);DVD:illä
kuu (+ssa / ssä);kuissa
klisee (+lle);kliseille
vyö (+lla / llä);vöillä
työ (+ssa / ssä);töissä
suo (+sta / stä);soista
rikas (+lle);rikkaille
lipas (+ssa / ssä);lippaissa
itsekäs (+lla / llä);itsekkäillä
roskis (+ssa / ssä);roskiksissa
kirppis (+sta / stä);kirppiksistä
fiilis (+ssa / ssä);fiiliksissä
futis (+lle);futiksille
vastaus (+sta / stä);vastauksista
kysymys (+lla / llä);kysymyksillä
keskus (+sta / stä);keskuksista
tarjous (+lle);tarjouksille
koditon (+lle);kodittomille
rasvaton (+ssa / ssä);rasvattomissa
alkoholiton (+sta / stä);alkoholittomista
kiharrin (+ssa / ssä);kihartimissa
suoritin (+sta / stä);suorittimista
väsynyt (+lla / llä);väsyneillä
ollut (+ssa / ssä);olleissa
mennyt (+sta / stä);menneistä
kuningatar (+lle);kuningattarille
jumalatar (+sta / stä);jumalattarista
hattu (+sta / stä);hatuista
kampa (+sta / stä);kammoista
kauppa (+ssa / ssä);kaupoissa
tavoite (+lla / llä);tavoitteilla
rakas (+lta / ltä);rakkailta
hammas (+ssa / ssä);hampaissa
osoite (+sta / stä);osoitteista
