Finnish;Finnish (Monikon Paikallissijat)
talo (+ssa / ssä);taloissa
talo (+sta / stä);taloista
talo (+lla / llä);taloilla
talo (+lta / ltä);taloilta
talo (+lle);taloille
hylly (+ssa / ssä);hyllyissä
hylly (+sta / stä);hyllyistä
hylly (+lla / llä);hyllyillä
hylly (+lta / ltä);hyllyiltä
hylly (+lle);hyllyille
pöllö (+ssa / ssä);pöllöissä
pöllö (+sta / stä);pöllöistä
pöllö (+lla / llä);pöllöillä
pöllö (+lta / ltä);pöllöiltä
pöllö (+lle);pöllöille
sato (+ssa / ssä);sadoissa
sato (+sta / stä);sadoista
sato (+lla / llä);sadoilla
sato (+lta / ltä);sadoilta
sato (+lle);sadoille
kynä (+ssa / ssä);kynissä
kynä (+sta / stä);kynistä
kynä (+lla / llä);kynillä
kynä (+lta / ltä);kyniltä
kynä (+lle);kynille
kesä (+ssa / ssä);kesissä
kesä (+sta / stä);kesistä
kesä (+lla / llä);kesillä
kesä (+lta / ltä);kesiltä
kesä (+lle);kesille
pöytä (+ssa / ssä);pöydissä
pöytä (+sta / stä);pöydistä
pöytä (+lla / llä);pöydillä
pöytä (+lta / ltä);pöydiltä
pöytä (+lle);pöydille
hätä (+ssa / ssä);hädissä
hätä (+sta / stä);hädistä
hätä (+lla / llä);hädillä
hätä (+lta / ltä);hädiltä
hätä (+lle);hädille
sana (+ssa / ssä);sanoissa
sana (+sta / stä);sanoista
sana (+lla / llä);sanoilla
sana (+lta / ltä);sanoilta
sana (+lle);sanoille
kissa (+ssa / ssä);kissoissa
kissa (+sta / stä);kissoista
kissa (+lla / llä);kissoilla
kissa (+lta / ltä);kissoilta
kissa (+lle);kissoille
kirja (+ssa / ssä);kirjoissa
kirja (+sta / stä);kirjoista
kirja (+lla / llä);kirjoilla
kirja (+lta / ltä);kirjoilta
kirja (+lle);kirjoille
marja (+ssa / ssä);marjoissa
marja (+sta / stä);marjoista
marja (+lla / llä);marjoilla
marja (+lta / ltä);marjoilta
marja (+lle);marjoille
koira (+ssa / ssä);koirissa
koira (+sta / stä);koirista
koira (+lla / llä);koirilla
koira (+lta / ltä);koirilta
koira (+lle);koirille
muna (+ssa / ssä);munissa
muna (+sta / stä);munista
muna (+lla / llä);munilla
muna (+lta / ltä);munilta
muna (+lle);munille
kooma (+ssa / ssä);koomissa
kooma (+sta / stä);koomista
kooma (+lla / llä);koomilla
kooma (+lta / ltä);koomilta
kooma (+lle);koomille
oja (+ssa / ssä);ojissa
oja (+sta / stä);ojista
oja (+lla / llä);ojilla
oja (+lta / ltä);ojilta
oja (+lle);ojille
banaani (+ssa / ssä);banaaneissa
banaani (+sta / stä);banaaneista
banaani (+lla / llä);banaaneilla
banaani (+lta / ltä);banaaneilta
banaani (+lle);banaaneille
pankki (+ssa / ssä);pankeissa
pankki (+sta / stä);pankeista
pankki (+lla / llä);pankeilla
pankki (+lta / ltä);pankeilta
pankki (+lle);pankeille
tili (+ssa / ssä);tileissä
tili (+sta / stä);tileistä
tili (+lla / llä);tileillä
tili (+lta / ltä);tileiltä
tili (+lle);tileille
bussi (+ssa / ssä);busseissa
bussi (+sta / stä);busseista
bussi (+lla / llä);busseilla
bussi (+lta / ltä);busseilta
bussi (+lle);busseille
ovi (+ssa / ssä);ovissa
ovi (+sta / stä);ovista
ovi (+lla / llä);ovilla
ovi (+lta / ltä);ovilta
ovi (+lle);oville
kivi (+ssa / ssä);kivissä
kivi (+sta / stä);kivistä
kivi (+lla / llä);kivillä
kivi (+lta / ltä);kiviltä
kivi (+lle);kiville
sormi (+ssa / ssä);sormissa
sormi (+sta / stä);sormista
sormi (+lla / llä);sormilla
sormi (+lta / ltä);sormilta
sormi (+lle);sormille
järvi (+ssa / ssä);järvissä
järvi (+sta / stä);järvistä
järvi (+lla / llä);järvillä
järvi (+lta / ltä);järviltä
järvi (+lle);järville
uusi (+ssa / ssä);uusissa
uusi (+sta / stä);uusista
uusi (+lla / llä);uusilla
uusi (+lta / ltä);uusilta
uusi (+lle);uusille
käsi (+ssa / ssä);käsissä
käsi (+sta / stä);käsistä
käsi (+lla / llä);käsillä
käsi (+lta / ltä);käsiltä
käsi (+lle);käsille
huone (+ssa / ssä);huoneissa
huone (+sta / stä);huoneista
huone (+lla / llä);huoneilla
huone (+lta / ltä);huoneilta
huone (+lle);huoneille
kirje (+ssa / ssä);kirjeissä
kirje (+sta / stä);kirjeistä
kirje (+lla / llä);kirjeillä
kirje (+lta / ltä);kirjeiltä
kirje (+lle);kirjeille
parveke (+ssa / ssä);parvekkeissa
parveke (+sta / stä);parvekkeista
parveke (+lla / llä);parvekkeilla
parveke (+lta / ltä);parvekkeilta
parveke (+lle);parvekkeille
osoite (+ssa / ssä);osoitteissa
osoite (+sta / stä);osoitteista
osoite (+lla / llä);osoitteilla
osoite (+lta / ltä);osoitteilta
osoite (+lle);osoitteille
nainen (+ssa / ssä);naisissa
nainen (+sta / stä);naisista
nainen (+lla / llä);naisilla
nainen (+lta / ltä);naisilta
nainen (+lle);naisille
eteinen (+ssa / ssä);eteisissä
eteinen (+sta / stä);eteisistä
eteinen (+lla / llä);eteisillä
eteinen (+lta / ltä);eteisiltä
eteinen (+lle);eteisille
sininen (+ssa / ssä);sinisissä
sininen (+sta / stä);sinisistä
sininen (+lla / llä);sinisillä
sininen (+lta / ltä);sinisiltä
sininen (+lle);sinisille
ihminen (+ssa / ssä);ihmisissä
ihminen (+sta / stä);ihmisistä
ihminen (+lla / llä);ihmisillä
ihminen (+lta / ltä);ihmisiltä
ihminen (+lle);ihmisille
maa (+ssa / ssä);maissa
maa (+sta / stä);maista
maa (+lla / llä);mailla
maa (+lta / ltä);mailta
maa (+lle);maille
suu (+ssa / ssä);suissa
suu (+sta / stä);suista
suu (+lla / llä);suilla
suu (+lta / ltä);suilta
suu (+lle);suille
vapaa (+ssa / ssä);vapaissa
vapaa (+sta / stä);vapaista
vapaa (+lla / llä);vapailla
vapaa (+lta / ltä);vapailta
vapaa (+lle);vapaille
harmaa (+ssa / ssä);harmaissa
harmaa (+sta / stä);harmaista
harmaa (+lla / llä);harmailla
harmaa (+lta / ltä);harmailta
harmaa (+lle);harmaille
tie (+ssa / ssä);teissä
tie (+sta / stä);teistä
tie (+lla / llä);teillä
tie (+lta / ltä);teiltä
tie (+lle);teille
yö (+ssa / ssä);öissä
yö (+sta / stä);öistä
yö (+lla / llä);öillä
yö (+lta / ltä);öiltä
yö (+lle);öille
täi (+ssa / ssä);täissä
täi (+sta / stä);täistä
täi (+lla / llä);täillä
täi (+lta / ltä);täiltä
täi (+lle);täille
rakas (+ssa / ssä);rakkaissa
rakas (+sta / stä);rakkaista
rakas (+lla / llä);rakkailla
rakas (+lta / ltä);rakkailta
rakas (+lle);rakkaille
taivas (+ssa / ssä);taivaissa
taivas (+sta / stä);taivaista
taivas (+lla / llä);taivailla
taivas (+lta / ltä);taivailta
taivas (+lle);taivaille
opas (+ssa / ssä);oppaissa
opas (+sta / stä);oppaista
opas (+lla / llä);oppailla
opas (+lta / ltä);oppailta
opas (+lle);oppaille
kallis (+ssa / ssä);kalliissa
kallis (+sta / stä);kalliista
kallis (+lla / llä);kalliilla
kallis (+lta / ltä);kalliilta
kallis (+lle);kalliille
kaunis (+ssa / ssä);kauniissa
kaunis (+sta / stä);kauniista
kaunis (+lla / llä);kauniilla
kaunis (+lta / ltä);kauniilta
kaunis (+lle);kauniille
kauris (+ssa / ssä);kauriissa
kauris (+sta / stä);kauriista
kauris (+lla / llä);kauriilla
kauris (+lta / ltä);kauriilta
kauris (+lle);kauriille
ruis (+ssa / ssä);rukiissa
ruis (+sta / stä);rukiista
ruis (+lla / llä);rukiilla
ruis (+lta / ltä);rukiilta
ruis (+lle);rukiille
mahdollisuus (+ssa / ssä);mahdollisuuksissa
mahdollisuus (+sta / stä);mahdollisuuksista
mahdollisuus (+lla / llä);mahdollisuuksilla
mahdollisuus (+lta / ltä);mahdollisuuksilta
mahdollisuus (+lle);mahdollisuuksille
rakkaus (+ssa / ssä);rakkauksissa
rakkaus (+sta / stä);rakkauksista
rakkaus (+lla / llä);rakkauksilla
rakkaus (+lta / ltä);rakkauksilta
rakkaus (+lle);rakkauksille
ystävyys (+ssa / ssä);ystävyyksissä
ystävyys (+sta / stä);ystävyyksistä
ystävyys (+lla / llä);ystävyyksillä
ystävyys (+lta / ltä);ystävyyksiltä
ystävyys (+lle);ystävyyksille
pimeys (+ssa / ssä);pimeyksissä
pimeys (+sta / stä);pimeyksistä
pimeys (+lla / llä);pimeyksillä
pimeys (+lta / ltä);pimeyksiltä
pimeys (+lle);pimeyksille
työtön (+ssa / ssä);työttömissä
työtön (+sta / stä);työttömistä
työtön (+lla / llä);työttömillä
työtön (+lta / ltä);työttömiltä
työtön (+lle);työttömille
rahaton (+ssa / ssä);rahattomissa
rahaton (+sta / stä);rahattomista
rahaton (+lla / llä);rahattomilla
rahaton (+lta / ltä);rahattomilta
rahaton (+lle);rahattomille
maidoton (+ssa / ssä);maidottomissa
maidoton (+sta / stä);maidottomista
maidoton (+lla / llä);maidottomilla
maidoton (+lta / ltä);maidottomilta
maidoton (+lle);maidottomille
puhelin (+ssa / ssä);puhelimissa
puhelin (+sta / stä);puhelimista
puhelin (+lla / llä);puhelimilla
puhelin (+lta / ltä);puhelimilta
puhelin (+lle);puhelimille
avain (+ssa / ssä);avaimissa
avain (+sta / stä);avaimista
avain (+lla / llä);avaimilla
avain (+lta / ltä);avaimilta
avain (+lle);avaimille
puhallin (+ssa / ssä);puhaltimissa
puhallin (+sta / stä);puhaltimista
puhallin (+lla / llä);puhaltimilla
puhallin (+lta / ltä);puhaltimilta
puhallin (+lle);puhaltimille
kevyt (+ssa / ssä);kevyissä
kevyt (+sta / stä);kevyistä
kevyt (+lla / llä);kevyillä
kevyt (+lta / ltä);kevyiltä
kevyt (+lle);kevyille
olut (+ssa / ssä);oluissa
olut (+sta / stä);oluista
olut (+lla / llä);oluilla
olut (+lta / ltä);oluilta
olut (+lle);oluille
ohut (+ssa / ssä);ohuissa
ohut (+sta / stä);ohuista
ohut (+lla / llä);ohuilla
ohut (+lta / ltä);ohuilta
ohut (+lle);ohuille
tytär (+ssa / ssä);tyttärissä
tytär (+sta / stä);tyttäristä
tytär (+lla / llä);tyttärillä
tytär (+lta / ltä);tyttäriltä
tytär (+lle);tyttärille
herttuatar (+ssa / ssä);herttuattarissa
herttuatar (+sta / stä);herttuattarista
