Finnish (kysymys);Finnish (vastaus)
Missä uudet kirjat ovat? (Nuo hyllyt);Uudet kirjat ovat noilla hyllyillä.
Missä laivat liikkuvat? (Suuret meret);Laivat liikkuvat suurilla merillä.
Missä tarjoilijat ovat työssä? (Ravintolat ja yökerhot);Tarjoilijat ovat työssä ravintoloissa ja yökerhoissa.
Missä ihmiset istuvat puistossa? (Penkit);Ihmiset istuvat puistossa penkeillä.
Missä sihteerit ovat työssä? (Erilaiset toimistot);Sihteerit ovat työssä erilaisissa toimistoissa.
Missä lääkärit ovat työssä? (Sairaalat ja terveyskeskukset);Lääkärit ovat työssä sairaaloissa ja terveyskeskuksissa.
Missä ihmiset ottavat aurinkoa? (Uimarannat);Ihmiset ottavat aurinkoa uimarannoilla.
Mistä tämä luonto-ohjelma kertoo? (Afrikkalaiset eläimet);Tämä luonto-ohjelma kertoo afrikkalaisista eläimistä.
Millä sinä näet ja kuulet? (Silmät ja korvat);Minä näen ja kuulen silmillä ja korvilla.
Missä suomen kielen kurssit ovat? (Nämä salit);Suomen kielen kurssit ovat näissä saleissa.
Missä ruis, ohra, vehnä ja kaura kasvavat? (Pellot);Ruis, ohra, vehnä ja kaura kasvavat pelloilla.
Missä rakkaus asuu? (Sydämet);Rakkaus asuu sydämissä.
