Finnish;Finnish (KENEN, genetiivi);Finnish (KETÄ? partitiivi);Finnish (KENELLÄ?/ssa);Finnish (KENELTÄ?/sta);Finnish (KENELLE?/mihin);hungarian
minä, mä;minun, mun;minua, mua;minulla mulla;minulta, multa;minulle, mulle;én
sinä, sä;sinun, sun;sinua, sua;sinulla, sulla;sinulta, sulta;sinulle, sulle;te
hän, se;hänen, sen;häntä, sitä;hänellä, sillä;häneltä, siltä;hänelle, sille;Ő
me;meidän, meiän;meitä;meillä;meiltä;meille;mi
te;teidän, teiän;teitä;teillä;teiltä;teille;ti
he, ne;heidän, niiden, niitten;heitä, niitä;heillä, niillä;heiltä, niiltä;heille, niille;ők
tämä, tää;tämän, tän;tätä;tällä, tässä;tältä, tästä;tälle, tähän;ez (közelben lévő dolog, egyes szám)
tuo, toi;tuon, ton;tuota, tota;tuolla, tolla, tuossa, tossa;tuolta, tolta, tuosta, tosta;tuolle, tolle, tuohon, tohon;az (távolabb lévő dolog, egyes szám)
se;sen;sitä;sillä, siinä;siltä, siitä;sille, siihen;az (általános, semleges dolog, egyes szám)
nämä, nää;näiden, näitten;näitä;näillä, näissä;näiltä, näistä;näille, näihin;ezek (közelben lévő dolgok, többes szám)
nuo, noi;noiden;noita;noilla, noissa;noilta, noista;noille, noihin;azok (távolabb lévő dolgok, többes szám)
ne;niiden, niitten;niitä;niillä, niissä;niiltä, niistä;niille, niihin;azok (általános, semleges dolgok, többes szám)
