Finnish;English
kvanttilaskettaminen;quantum computing
kvanttilaskettamisesta;from quantum computing
kvanttitietokone;quantum computer
kvanttitietokoneissa;in quantum computers
kvanttibitti;quantum bit
kvanttibitit;quantum bits
superpositiotilalla;in superposition state
kvanttisuperpositio;quantum superposition
yhtälö;equation
aallonfunktio;wavefunction
(kvantti)tila;quantum state
Blochin pallo;Bloch sphere
Lomittuminen;quantum entanglement
systeemin tila;state of the system
lomittuneessa tilassa;in entangled state
operaattori;operator
operaattorit;operators
kvanttiportti;quantum gate
kvanttiportteja;quantum gates
Kvanttimekaniikassa;in quantum mechanics
rotaatiot Hilbertin avaruudessa;rotations in Hilbert space
rotaatio;rotation
avarus;space
Taulukossa;in the table
kvanttiteleportaatio;quantum teleportation
kvanttipiiri;quantum circuit
loputon tilaa;infinite number of states
vaikeuksia;difficulties
ajomme kvanttipiirit;we run the quantumcircuits
ajaa;to run code
Todennäköisyysjakauma;Probability Distribution
(mittauksen) tulos;result (of a measurement)
todennäköisyysjakauma;probability distribution
ei-kloonilause;no cloning theorem
kopioida kvanttitilan;copy the quantum state
dekoherenssi;decoherence
kvanttivirheenkorjaus;quantum error correction
murtamaan RSA-salakirjoituksen;break RSA encription
murtaa;to break
joitakin;some
ensimmäinen vaihe;first part
