English;Finnish;hungarian
Good morning;(Hyvää) huomenta!;Jó reggelt kívánok
Good afternoon!;(Hyvää) päivää!;Jó napot!
Hello! Hi!;Moi!, Hei!, Terve!;Helló! Szia!
Goodbye!;Näkemiin!;Viszontlátásra!
See you!;Nähdään!, Heihei!;Találkozunk!
How are you?;Mitä kuuluu?, Miten menee?;Hogy vagy?
Fine, thank you!;Kiitos hyvää!;Köszönöm, jól!
What's your name?;Mikä sinun nimesi on?;Mi a neved?
Where do you live?;Missä asut?;Hol laksz?
What's your address?;Mikä sinun osoitteesi on?;Mi a címed?
What's your telephone number?;Mikä sinun puhelinnumerosi on?;Mi a telefonszáma?
Excuse me, where is the bus station?;Anteeksi, missä on linja-autoasema?;Elnézést, hol van a buszpályaudvar?
What's the time?;Paljonko kello on?;Mennyi az idő?
I don't speak Finnish.;En puhu suomea.;Nem beszélek finnül.
Do you speak English?;Puhutko englantia?;Beszélsz angolul?
I don't understand.;En ymmärrä.;nem értem.
I understand.;Ymmärrän.;Megértem.
Could you speak more slowly, please!;Voisitko puhua hitaammin, kiitos!;Beszélhetnél lassabban, kérlek!
T/here you are, please!;Ole hyvä!;T/itt vagy, kérlek!
Thank you! Thanks!;Kiitos!, Kiitti!;Köszönöm! Kösz!
Excuse me!, I'm sorry!;Anteeksi!;Elnézést, sajnálom!
Help me, please!;Auttakaa minua, kiitos!;Segíts kérlek!
Help!;Apua!;Segítség!
Yes;Kyllä, Joo;Igen
No;Ei;Nem
Cheers!;Kippis!;Egészségére!
Monday;maanantai;hétfő
Tuesday;tiistai;kedd
Wednesday;keskiviikko;szerda
Thursday;torstai;csütörtök
Friday;perjantai;péntek
Saturday;lauantai;szombat
Sunday;sunnuntai;vasárnap
January;tammikuu;január
February;helmikuu;február
March;maaliskuu;március
April;huhtikuu;április
May;toukokuu;Lehet
June;kesäkuu;június
July;heinäkuu;július
August;elokuu;augusztus
September;syyskuu;szeptember
October;lokakuu;október
November;marraskuu;november
December;joulukuu;december
0;nolla;0
1;yksi;1
2;kaksi;2
3;kolme;3
4;neljä;4
5;viisi;5
6;kuusi;6
7;seitsemän;7
8;kahdeksan;8
9;yhdeksän;9
10;kymmenen;10
11;yksitoista;11
12;kaksitoista;12
20;kaksikymmentä;20
30;kolmekymmentä;30
100;sata;100
1000;tuhat;1000
academic year;lukuvuosi;tanév
basic user account;peruspalvelutunnus;alap felhasználói fiók
course;kurssi;tanfolyam
curricula guide;opinto-opas;tantervi útmutató
exam;tentti, koe;vizsga
faculty;tiedekunta;kar
grade;arvosana;fokozat
Learning Agreement;opintosuunnitelma;Tanulási megállapodás
learning diary;oppimispäiväkirja, luentopäiväkirja;tanulási napló
lecture;luento;előadás
Letter of Acceptance;hyväksymiskirje;Elfogadó levele
Registrar's Office;aktuaarinkanslia;Iktatóhivatal
semester;lukukausi;szemeszter
student;opiskelija;diák
student association;ainejärjestö;diákegyesület
student card;opiskelijakortti;diákigazolvány
student certificate;opiskelijatodistus;diáktanúsítvány
teaching schedules;opetusohjelma;tanítási menetrendek
Transcript of Records;opinto-ote;Feljegyzések átirata
university;yliopisto;egyetemi
airport;lentokenttä;repülőtér
ATM;pankkiautomaatti;ATM
bank;pankki;bank
bread;leipä;kenyér
bus;bussi, linja-auto;busz
bus/coach station;linja-autoasema;busz/autóbusz állomás
bus stop;bussipysäkki;buszmegálló
butter;voi;vaj
café;kahvila;kávézó
card;kortti;kártya
cash;käteinen;készpénz
child;lapsi;gyermek
cinema;elokuvateatteri;mozi
closed;kiinni, suljettu;zárva
clothes;vaatteet;ruhák
coffee;kahvi;kávé
credit card;luottokortti;hitelkártya
computer;tietokone;számítógép
conditioner (for hair);hoitoaine;kondicionáló (hajra)
conditioner/fabric softener;huuhteluaine;kondicionáló/öblítő
detergent;pyykinpesuaine;mosószer
department store;tavaratalo;áruház
envelope;kirjekuori;boríték
food;ruoka;étel
food store;ruokakauppa;élelmiszer üzlet
home;koti;itthon
house;talo;ház
hospital;sairaala;kórház
insurance;vakuutus;biztosítás
kiosk/corner shop;kioski;kioszk/sarokbolt
library;kirjasto;könyvtár
man;mies;Férfi
menu;ruokalista;menü
milk;maito;tej
mobile phone;puhelin, kännykkä;mobiltelefon
money;raha;pénz
museum;museo;múzeum
open;auki, avoinna;nyisd ki
passport;passi;útlevél
pen;kuulakärkikynä;toll
pencil;lyijykynä;ceruza
personal identity code;henkilötunnus;személyi azonosító kódot
pharmacy;apteekki;gyógyszertár
police station;poliisiasema;rendőrség
post office;posti;posta
pub, bar;pubi, baari;kocsma, bár
railway station;rautatieasema;vasútállomás
recycling;kierrätys;újrafeldolgozás
residence permit;oleskelulupa;tartózkodási engedély
restaurant;ravintola;étterem
room;huone;szoba
shop;kauppa;üzlet
tea;tee;tea
ticket;lippu;jegy
timetable;aikataulu;menetrend
toilet;WC, vessa;WC
toilet paper;WC-paperi, vessapaperi;vécé papír
train;juna;vonat
travel card;matkakortti;utazókártya
washing-up liquid;astianpesuaine, tiskiaine;mosogatószer
water;vesi;víz
woman;nainen;nő
