Finnish;English
materia;matter
ominaisuus;property
aine;substances
yhdistää;combine
hajota;separate
vuorovaikuttaa;interact 
kemia;chemistry
kemiallinen;chemical
reaktioyhtälö;chemical equation
alkuaine;element
molekyyli;molecule
ioni;ion
atomi;atom
atomipaino;atomic weight
reaktio;reaction
yhdiste;compound
sidos;bond
kaava;formula
metalli;metal
epämetalli;non-metal
happi;oxygen
vety;hydrogen
typpi;nitrogen
typpihappo;nitric acid
rikki;sulphur
rikkihappo;sulphuric acid
hiili;carbon
kalium;potassium
hiilihydraatti;carbohydrate
proteiini;protein
rasva;lipid, fat
kiinteä;solid
neste;liquid
kaasu;gas
liueta;to dissolve
liuos;solution
happo;acid
hapan;acidic
happamuus;acidity
emäs;base
tislaus;distillation
indikaattori;indicator
elektrolyysi;electrolysis
elektrolyytti;electrolyte
anodi;anode
katodi;cathode
