Finnish;English
Verbejä;Verbs
arvioida;determine
jakaa;to divide
kertoa;to multiply
vähentää;to subtract
laskea yhteen;to add up
lisätä;to add
tarkistaa;to check
laskea;to count
ratkaista;to solve
alleviivata;to underline
ympyröidä;to circle
vertailla;to compare
sieventää;to simplify
perustella;to prove
Geometria;Geometry
suora;straight line
jana;segment
ympyrä;circle
halkaisija;diameter
säde;radius
kulma;angle
suorakulma;right angle
kolmio;triangle
neliö;square
paraabeli;parabola
lieriö;cylinder
kartio;cone
kuutio;cube
pyramidi;pyramid
soikio;oval
suorakulmio;rectangle
särmä;edge
pystysuora;vertical
vaakasuora;horizontal
tilavuus;volume
pinta-ala;surface area
aste;degree
Muita sanoja;Other words
plus;plus
miinus;minus
summa;sum
tulos;result
yhtälö;equation
jakojäännös;remainder
kymmenylitys;ten-crossing
päässälasku;counting in your head
reaaliluku;real number
kokonaisluku;integral number
murtoluku;fraction
laskuoppi;arithemtic
laskutehtävä;arithmetical problem
aritmetiikka;arithmetic
luku;number
parillinen luku;even number
pariton luku;odd number
perusluku;cardinal number
järjestysluku;ordinal number
numero;figure
laskin;calculator
virhe;mistake
kertotaulu;multiplication table
kertolasku;multiplication
vähennyslasku;subtraction
jako;division
yhtä suuri kuin;equal to
