Finnish;English
Yhteiskunta;Society
yhteiskunnallinen;civil
yhteiskuntaluokka;social class
yhteiskuntatiede;sociology
valtio;nation
valtiollinen;national
valtiollistaa;to nationalize
valtiomies;statesman
valtionapu;government subsidy
valtionrahasto;state funds
valtiontalous;national economy
hallita;to govern
hallitus;government
Valtiojärjestelmä;Government system
valtakunta;kingdom
tasavalta;republic
demokratia;democracy
monarkia;monarchy
kuningaskunta;monarchy
yksinvalta;autocracy
diktatuuri;dictatorship
tyrannia;tyranny
totalitarismi;totalitarianism
keisarinkunta;empire
Hallitsija;Ruler
aatelisto;nobility
diktaattori;dictator
keisari;emperor
kreivi;count/earl
kuningatar;queen
kuningas;king
kuninkaallinen;royal
papisto;clergy
perillinen;heir
porvaristo;bourgeoisie
presidentti;president
prinsessa;princess
prinssi, ruhtinas;prince
prinssihallitsija;prince regent
tyranni;tyrant
valtaistuin;throne
yksinvaltias;autocrat
talonpoikaissääty;peasantry
rahvas;common people
Ministeriö;Government departments
pääministeri;prime minister
ulkoasiainministeri;minister of foreign affairs
valtiovarainministeri;minister of finance
ulkomaankauppaministeri;minister of foreign trade
opetusministeri;minister of education
kulttuuriministeri;minister of culture
oikeusministeri;minister of justice
sisäasiainministeri;minister of internal affairs
ympäristöministeri;minister of environment
asuntoministeri;minister of housing
puolustusministeri;minister of defence
maa- ja metsätalousministeri;minister of agriculture and forestry
liikenneministeri;minister of transport
kauppa- ja teollisuusministeri;minister of trade and industry
sosiaali- ja terveysministeri;minister of health and social affairs
työministeri;minister of employment
Politiikka;Politics
eduskunta;parliament
eduskuntavaalit;parliamentary election
edustajanpaikka;seat
ehdokas;candidate
enemmistö;majority
ennakkoäänestys;advance voting
iskulause;slogan
kansanedustaja;member of parliament
keskusvirasto;national board
kunnallisvaalit;municipal elections
kunnanvaltuusto;municipal council
lautakunta;board / commision
läänihallitus;provincial government
oikeisto;conservatives / right wing
oppositio;opposition
presidenttivaalit;presidential elections
puolue;political party
poliitikko;politician
poliittinen;political
täysistunto;plenum
valtuutettu;representative
vapaamielinen;liberal
vasemmisto;left wing
veto-oikeus;veto
vähemmistö;minority
äänestys;the voting
äänioikeus;right to vote
