Finnish;English;Hungarian
rohkea;brave;bátor
pelokas;scared;félénk, ilyedt
entinen, edellinen;previous;előző
nykyinen;current;jelenlegi
ensimmäinen;first;első
viimeinen;last;utolsó
erilainen;different;különböző
samanlainen;similar;hasonló
laaja;wide, broad;széles
suppea, ahdas;limited, narrow, cramped;szűk
tuttu;familiar;ismert
vieras;unfamiliar;idegen
seuraava;next;következő
julkinen;public;nyilvános
yksityinen;private;magán
tiukka;tight;szoros
kansallinen;national;nemzeti
kansainvälinen;international;nemzetközi
hieno;fine;finom
karkea;coarse;durva
varhainen;early;korai
myöhäinen;late;késői
turha;useless;haszontalan
valmis;ready;kész
keskeneräinen;unfinished, incomplete;félkész
suora;straight;egyenes
mutkikas, monimutkainen;winding, complex;bonyolult
fyysinen;physical;fizikai
henkinen;mental;szellemi
harvinainen;rare;ritka
yleinen;common;általános
vaarallinen;dangerous;veszélyes
turvallinen;safe;biztonságos
pohjoinen;northern;északi
eteläinen;southern;déli
positiivinen, myönteinen;positive;előnyös
negatiivinen, kielteinen;negative;hátrányos
monipuolinen;versatile;sokoldalú
yksipuolinen;one-sided;egysíkú
alhainen;low;alacsony
ylhäinen;high;magas
yksinkertainen;simple;egyszerű
rauhallinen, tyyni;calm;nyugodt
hätäinen;hasty, rash;sietetlen
vasen;left;bal
oikea;right;jobb
yhteinen;joint, common;közös
erillinen;separate;különálló
pitkäaikainen;long-term;hosszú távú
lyhytaikainen;short-term;rövid távú
perinteinen;traditional;hagyományos
moderni;modern;modern
kirjallinen;written;írott
suullinen;spoken;szóbeli
läheinen;close;közeli
kaukainen;remote;távoli
vakava;serious;komoly
ankara;harsh;súlyos
lempeä;gentle;gyengéd
kokonainen;complete;teljes
osittainen;partial;részleges
vakaa;stable;stabil
hullu;crazy;őrült
tervejärkinen;sane;eszét tudó
synkkä;gloomy;komor
kirkas;bright;ragyogó
jyrkkä;steep;meredek
loiva;gradual (slow);enyhe (meredekség)
vastahakoinen;reluctant;vonakodó
aulis;eager;lelkes
pakollinen;required;köteles
valinnainen;optional;választható
lojaali;loyal;hűséges
petollinen;deceitful;becstelen
tilava;spacious;tágas
nöyrä;humble;alázatos
ylpeä;proud;büszke
poikkeuksellinen;exceptional;rendkívüli
tavanomainen;conventional;hagyományos, megszokott
villi;wild;vad
