Finnish;English (Explanation);Hungarian (Magyarázat)
hidas kuin etana;as slow as a snail (very slow);olyan lassú, mint egy csiga (nagyon lassú)
ovela kuin kettu;as sly as a fox (untrustworthy);olyan ravasz, mint a róka (megbízhatatlan)
tyhmä kuin aasi;as stupid as a donkey (very stupid);olyan buta, mint egy szamár (nagyon buta)
tyhmä kuin saapas;as stupid as a boot (very stupid);olyan buta, mint egy csizma (nagyon buta)
iloinen kuin peipponen;as happy as a chaffinch (very happy);olyan boldog, mint egy pinty (nagyon boldog)
epäsiisti kuin sika;as untidy as a pig (very untidy);olyan rendetlen, mint egy disznó (nagyon rendetlen)
terve kuin pukki;as healthy as a billy-goat (very healthy);olyan egészséges, mint egy bak (nagyon egészséges)
köyhä kuin kirkon rotta;as poor as a church rat (very poor);olyan szegény, mint egy templomi patkány (nagyon szegény)
itsepäinen kuin pässi;as stubborn as a ram (extremely stubborn);olyan makacs, mint egy kos (rendkívül makacs)
itsepäinen kuin aasi;as stubborn as a donkey (extremely stubborn);olyan makacs, mint egy szamár (rendkívül makacs)
vapaa kuin taivaan lintu;free as a bird of the sky (completely free);olyan szabad, mint az ég madara (teljesen szabad)
syödä kuin hevonen;to eat like a horse (to eat a lot);úgy eszik, mint egy ló (sokat eszik)
syödä kuin sika;to eat like a pig (to eat very messily);úgy eszik, mint egy disznó (nagyon rendetlenül eszik)
kuin elefantti lasikaupassa;like an elephant in a china shop (very clumsy);olyan, mint egy elefánt a porcelánboltban (nagyon ügyetlen)
kuin nuori varsa kesälaitumella;like a young horse in a summer field (wild and happy);olyan, mint egy fiatal csikó a nyári legelőn (vad és boldog)
