Finnish;English;Hungarian
aasinsilta;segue from topic to another (donkey's bridge);átvezetés a témák között (szamárhíd)
baarikärpänen;person who hangs around in bars (bar fly);bárban időző személy (bárlégy)
elohiiri;myokymia, spasm in muscle around eye (life mouse);szem körüli izomrángás (élet egér)
etanaposti;conventional paper mail, post (snail mail);hagyományos levélküldés (csigapostai)
haukankatse;penetrating, scary, sharp look (hawk's gaze);átütő, éles tekintet (sas tekintet)
harakanvarpaat;unclear, messy writing, scrawl (magpie's toes);olvasatlan, csúnyán írt szöveg (szajkólábak)
harakkamylly;certain type of mill, smock mill (magpie mill);speciális típusú malom (szajkamalom)
hevosvoima;unit of power of engine (horsepower);teljesítménymérték (lóerő)
hevosenleikki;rough, raw, inappropriate play or joke (horse's play);durva, illetlen játék vagy tréfa (ló játék)
hiirenhiljaa;really quiet, quiet as a mouse (mouse's quiet);nagyon csendesen (egér csend)
hiirenkorvat;a new spring leaf about to unfold (mouse's ear);kipattanó tavaszi levél (egérfül)
hiirikäsi;repetitive strain injury in wrist (mouse hand);csukló túlterhelés (egérkéz)
hiirimatto;under computer mouse, mousepad (mouse carpet);egérpad (egérszőnyeg)
härkäpää;stubborn person, mule (bull head);makacs ember (bika fej)
härkäviikko;week with no public holidays (bull week);ünnep nélküli hét (bika hét)
häränsilmä;center of target, bullseye (bull's eye);céltábla közepe (bikaszem) / tükörtojás
joulupukki;Santa Claus (Christmas goat);Mikulás (karácsonyi kecske)
joutsenlaulu;artist's final product, performance (swan song);művész utolsó alkotása (hattyúdal)
katinkulta;mineral that looks like gold (fool's gold cat's gold);aranyszínű ásvány, hamis arany (macska arany)
kirpputori;second hand store (flea market);használtcikk piac (bolhapiac)
kissanpäivät;carefree, pleasant, luxurious life (cat's days);gondtalan, kényelmes élet (macska napok)
kissanristiäiset;trivial, unimportant party (cat's christening);jelentéktelen ünnepség (macska keresztelő)
kissansilmä;round rear reflector on a bicycle (cat's eye);kerékpár hátsó prizma (macskaszem)
koekaniini;living experimental subject, guinea pig (test rabbit);kísérleti alany (tesztnyúl)
koiranelämä;miserable life, dog's life (dog's life);nyomorúságos élet (kutyák élete)
koiranilma;awful weather (dog's weather);borzalmas idő (kutyás idő)
koirankorva;worn-out corner of page of book (dog's ear);lekopott könyvszeglet (kutya fül)
koiranleuka;person making mischievous jokes, joker (dog's jaw);tréfálkozó személy (kutya áll)
koiranuinti;way of swimming, dog paddle (dog's swimming);úszási stílus (kutyás úszás)
koirauni;light of feigned sleep (dog's sleep);színlelt alvás (kutya álom)
koiranvirka;unpleasant post or position (dog job);kellemetlen pozíció (kutya munka)
korttihai;professional card game cheater (card shark);kártyacsaló (kártya cápa)
korvamato;tune that's stuck in your head (ear worm);fülbemászó dallam (fülféreg)
kukonaskel;short distance or interval (cock's step);rövid távolság (kakaslépés)
käkikello;type of wall clock (cuckoo clock);falióra (kuvikló óra)
kännikala;drunk, drunkard (drunk fish);részeg (részeg hal)
käärmekeitto;something that strengthens figuratively (snake soup);erősítő dolog (kígyóleves)
laiskamato;lazy person (lazy worm);lusta ember (lusta féreg)
lehmäkauppa;counter-trade barter (cow trade);ellenügylet (tehénüzlet)
lehmänkäännös;a large, clumsy turn of car at intersection (cow turn);nagy, ügyetlen kanyar (tehénforduló)
leijonanosa;the majority of something, lion's share (lion's part);valaminek a nagy része (oroszlánrésze)
lepakkotuoli;steel tube fabric chair, butterfly chair (bat chair);acélcsöves szék (denevérszék)
linnuntie;straight line distance (bird's road);egyenes távolság (madárút)
lintukoto;place like paradise (home of birds);paradicsomi hely (madárfészek)
lintuperspektiivi;as seen from high above (bird's eye view);madártávlatból (madártávlat)
lukutoukka;avid book reader, bookworm (reading larva);nagy olvasó (könyvmoly)
madonluku;worst possible result (worm's number);legtöbb negatív eredmény (féregszám)
mursunviikset;thick, bushy, droopy moustache (walrus' moustache);vastag bajusz (fókabajusz)
myyräntyö;secret malicious undermining activity (mole job);titkos romboló tevékenység (vakondmunka)
nostokurki;crane to lift things (lifting crane);emelődaru (emelőkürt)
nälkäkurki;tall, skinny person (hunger crane);sovány, magas ember (éhes daru)
onnenmyyrä;lucky duck, happy camper (happy / lucky mole);szerencsés ember (szerencsés vakond)
oravanpyörä;rat race, treadmill (squirrel wheel);mókuskerék (mókuskerék)
outolintu;weird person, nutcase (strange bird);furcsa ember (különös madár)
pahanilmanlintu;bringer of bad news or bad luck (bad weather bird);balszerencse hozó (rosszidő madár)
pajunkissat;the furry catkins on a willow tree (willow's cat);fűzfa barkái (fűzkandúr)
perhosuinti;style of swimming (butterfly swimming);pillangóúszás (pillangóúszás)
poninhäntä;hairstyle (ponytail);lófarok frizura (lófarok)
poropeukalo;incompetent, ham-fisted person (reindeer thumb);ügyetlen ember (rénszarvas hüvelykujj)
porsaanreikä;loophole in document, agreement (piglet's hole);kiskapu (malaclyuk)
possumunkki;Finnish donut with jam inside (piglet donut);fánk lekvárral (malacfánk)
pukinparta;goatee (buck's beard);szakáll (bak szakáll)
pyryharakka;young, mischievous girl (snowfall magpie);fiatal, csintalan lány (hóesés szajkó)
rantaleijona;guy who shows off at beach (beach lion);strandon mutogatós férfi (strandoroszlán)
rauhankyyhky;symbol of peace (peace dove);béke szimbóluma (békeholló)
sahapukki;frame for sawing firewood, sawhorse (saw buck);fűrészbak (fűrészbak)
sammakkomies;diver in scuba gear (frogman);búvár (békamanó)
siansorkka;certain type of nautical knot, clove hitch (pig's hoof);tengeri csomó (disznóláb)
siilipuolustus;certain type of defence (hedgehog defence);védelmi módszer (sünvédő)
siilitukka;hair that stands up, crew cut (hedgehog hair);felálló haj (sünhaj)
simpukkapuhelin;type of phone, flip phone (clamshell phone);flip telefon (kagylótelefon)
sudenkuoppa;potential problem or danger, pitfall (wolf's pit);veszélyforrás (farkasgödör)
sudennälkä;ravenous hunger (wolf's hunger);őrült éhség (farkaséhség)
susipari;degrading term for unmarried couple (wolf pair);elítélő kifejezés házaspárra (farkaspár)
sähköjänis;mechanical hare in dog racing (electric rabbit);elektromos nyúl (elektromos nyúl)
teerenpeli;eye game, flirting (black grouse game);szemjáték, flört (fekete rigó játék)
teerenpilkku;freckle (black grouse comma);szeplő (fekete rigó pötty)
tiikerikakku;dry vanilla-chocolate cake, marble cake (tiger cake);sárga-csokoládés sütemény (tigriskuglóf)
tikkataulu;dartboard (woodpecker board);darts tábla (harkálytábla)
työmyyrä;hard worker, workhorse (work mole);szorgalmas ember (munka vakond)
uutisankka;false or misleading report or story, canard (news duck);félrevezető hír (hír kacsa)
vilukissa;someone who easily feels cold (cold cat);fázékony ember (hideg macska)
