Finnish;English;Hungarian
havupuu;coniferous tree;tűlevelű fa
lehtipuu;deciduous tree;lomblevelű fa
koivu;birch tree;nyírfa
rauduskoivu;silver birch;ezüst nyír
hieskoivu;white birch;fehér nyír
vaivaiskoivu;dwarf birch;törpe nyír
leppä;alder tree;nyárfa (nyárfaféle)
tervaleppä;common alder;közönséges nyár
harmaaleppä;grey alder;szürke nyár
pihlaja;rowan tree;hegylánc fa (hólyagfa)
kotipihlaja;rowan;ház körtefa (vagy otthoni hegylánc)
suomenpihlaja;Finnish whitebeam;finn fehér berkenye
ruotsinpihlaja;Swedish whitebeam;svéd fehér berkenye
kaunopihlaja;fair rowan;szép berkenye
tylppäliuskaorapihlaja;common hawthorn;közönséges galagonya
suippoliuskaorapihlaja;Scandinavian hawthorn;skandináv galagonya
haapa;aspen;rezgő nyár
metsähaapa;European aspen;európai rezgő nyár
paju;willow;fűzfa
jokipaju;almond willow;mandula-fűz
talvikkipaju;pyrola-leaved willow;pyrola levelű fűz
mustuvapaju;dark-leaved willow;sötét levelű fűz
outapaju;dark-leaved borealis willow;boreális sötét levelű fűz
halava;bay willow;babérfűz
raita;goat willow;kecskefűz
lehmus;linden tree;hársfa
jalava;elm tree;szilfa
vuorijalava;Scots elm;skót szil
kynäjalava;Russian elm;orosz szil
orapaatsama;common buckthorn;közönséges kökény
korpipaatsama;alder buckthorn;nyárfakökény
tuomi;bird cherry;cseresznye (madár)
tammi;common oak;tölgyfa
saarni;common ash;kőrisfa
vaahtera;maple tree;juharfa
kuusama;honeysuckle;madárhúr
metsäomenapuu;wild apple tree;vadalmafa
kataja;juniper;juniperusz (boróka)
marjakuusi;common yew;tiszafa
kuusi;spruce;fenyő
mänty;pine;boróka (fenyő)
punavaahtera;red maple;vörös juhar
punasaarni;green ash;zöld kőris
valkosaarni;white ash;fehér kőris
amerikanhaapa;quaking aspen;rezgő nyár (amerikai)
amerikanpyökki;American beech;amerikai bükk
amerikanlehmus;American basswood;amerikai hárs
paperikoivu;paper birch;papírnyír
muastakoivu;river birch;folyó nyír
keltakoivu;yellow birch;sárga nyír
saarnivaahtera;box elder;doft juhar (szelíd juhar)
saksanpähkinä;English walnut;diófa
hopealehmus;silver linden;ezüsthárs
douglaskuusi;douglas fir;douglasfenyő
euroopanvalkopyökki;European hornbeam;európai gyertyán
puistolehmus;common linden;közönséges hárs
valkopaju;white willow;fehér fűz
itkupaju;weeping willow;sírva fűz
vuorivaahtera;sycamore maple;szikla juhar
sokerivaahtera;sugar maple;cukor juhar
palsamipihta;balsam fir;balzsamfenyő
palmu;palm tree;pálmafa
kookospalmu;coconut tree;kókuszpálma
kirsikkapuu;cherry tree;cseresznyefa
runko, puunrungot;trunk, tree trunks;törzs, fatörzsek
latva, puunlatvat;treetop, tree-tops;fa csúcs, lombkorona
latvus;the crown of a tree;fa koronája
juuri, puunjuuret;root, tree roots;gyökér, fagyökér
juuristo;the root system;gyökérrendszer
oksa, puunoksat;branch, tree branches;ág, faágak
oksisto;the branch system;ágazat
lehti, puunlehdet;leaf, leaves of the tree;levél, fa levelei
lehvästö;foliage;lomb
kaarna;tree bark;kéreg
tuohi;birchbark;nyírfakéreg
vuosirenkaat;tree rings;évgyűrű
sydänpuu;heartwood;szívfa
pintapuu;sapwood;tuskafa (félkemény)
kanto, kannot;tree stump;fatönk, tuskó
neulaset;needles;tűlevelek
käpy, kävyt;cone, cones;makk, toboz
marja, marjat;berry, berries;gyümölcs, bogyók
pähkinä, pähkinät;nut, nuts;mogyoró, dió
siemen, siemenet;seed, seeds;magszem, magvak
taimi, taimet;seedling, sapling;csemete, palánta
koivunmahla;birch sap;nyírszirup
kukka, kukat;blossom, blossoms;virág, virágok
hedekukat;male flowers;hímvirág
emikukat;female flowers;női virág
hedenorkko;catkin;barka
siitepöly;pollen;pollen
pihka, hartsi;resin;gyanta
kasvaa;to grow;nő, fejlődik
kukkia;to blossom;virágzik
hedelmöittää;to fertilize;megporoz
pudottaa lehtensä;to drop its leaves;leveleit hullatja
kaataa puita;to fell trees;fákat kivág
haravoida lehtiä;to rake leaves;leveleket gereblyéz
sahata puu poikki;to saw a tree in half;félbe fűrészel egy fát
hakata polttopuita;to hack firewood;tüzelőfát hasít
pilkkoa puita;to chop wood;fát aprít
polttaa puuta;to burn wood;tüzel fát
veistää puusta eläimiä;to sculpt animals from wood;farag fából állatokat
selluloosa;cellulose;cellulóz
sahatavara;timber;építőfa
puutavara;lumber;faanyag
rakennuspuu;construction wood;építőanyag
vaneri;plywood;rétegelt lemez
viilu;veneer;forgácslap
lastulevy;chipboard;fa forgácslap
kuitulevy;fibreboard;rostlemez
kertopuu;laminated veneer lumber;ragasztott furnérfa
rimalevy;blockboard;réteges lap
puulauta;wooden board;fa deszka
sahatukki;saw log;fűrészáru rönk
halko, hirsi;log;hasáb, gerenda
pölkky;block;hasáb
seiväs;stake;karó
kalikka;round billet;fa rúd
puupaneeli;wood panel;fa panel
parketti;parquet;parketta
puulista;wooden strip;fa léc
liimapuu;glulam;ragasztott gerenda
paperi;paper;papír
terva;tar;kátrány
tärpätti;turpentine;térpentin
puusprii;methanol;metanol
pettuleipä;bark bread;kéreg kenyér
vihta / vasta;birch whisk;nyírfakörte
saunanlauteet;sauna benches;szauna pad
huonekalu;furniture;bútor
työkaluvarsi;tool shank;szerszám nyél
polttopuut;firewood;tüzelőfa
kokko, nuotio;bonfire, campfire;tábortűz
puutalo;wooden house;fa ház
hirsitalo;log house;gerendaház
hirsimökki;log cabin;gerendakunyhó
Hän sahasi omaa oksaansa.;He sawed his own branch., Meaning: He did something against his own best interest.;A saját ágát fűrészelte.,Jó szándéka ellen cselekedett. 
Minä vannon kautta kiven ja kannon.;I swear by stone and stump., Meaning: I swear, cross my heart and hope to die.;Kövön és tuskón esküszöm.,Esküszöm, szívemre teszem a kezem. 
Ero tuli puun takaa.;The divorce came from behind a tree., Meaning: The divorce came unexpected, surprisingly.;A válás a fa mögül jött.,A válás váratlanul jött. 
Hän haukkui väärää puuta.;He barked up the wrong tree., Meaning: He accused an innocent, unduly criticized someone.;A rossz fát ugatta.,Ártatlan embert vádolt, tévesen kritizált. 
Hän oli kuin puusta pudonnut.;He seemed to have fallen out of a tree., Meaning: He was at a loss, confused, stunned.;Olyan volt, mintha leesett volna a fáról.,Tanácstalan, zavarodott volt. 
Hän oli kuin puulla päähän lyöty.;He seemed to have been hit on the head with a tree., Meaning: He was at a loss, confused, stunned.;Olyan volt, mintha fával fejbe verték volna.,Tanácstalan, zavarodott volt. 
Hän puhui puuta heinää.;He talked some tree some hay., Meaning: He talked trivial, frivolous nonsense.;Fát és szénát beszélt., Triviális, értelmetlen dolgokat beszélt.
Hän joutui puun ja kuoren väliin.;He ended up between the tree and the bark., Meaning: He was caught in the middle, in a tight situation.;A fa és a kéreg közé került., Középen, szorult helyzetben volt.
Hän jäi puilla paljailla.;He was left on naked wood., Meaning: He lost everything, he was penniless.;Meztelen fákon maradt., Mindent elveszített, csődbe ment.
He olivat kuin samasta puusta veistetty.;They seemed to be sculpted from the same tree., Meaning: They were very similar, cut from the same cloth.;Olyanok voltak, mintha ugyanabból a fából faragták volna., Nagyon hasonlítottak egymásra.
Organisaatio pantiin uusiin puihin.;The organization was put in new trees., Meaning: The organization was revamped, renewed.;A szervezetet új fába ültették., A szervezet megújult, átalakult.
Sellaisia miehiä ei kasva joka oksalla.;Men like that don't grow on every branch., Meaning: Men like that are rare to come about.;Ilyen férfiak nem nőnek minden ágon., Az ilyen férfiak ritkák.
Hedelmistään puu tunnetaan.;From their fruit one knows the tree., Meaning: A person is known through their accomplishments.;A gyümölcséről ismerik fel a fát., Az embert tetteiről ismerik fel.
Joka kuuseen kurkottaa, se katajaan kapsahtaa.;Who reaches towards the spruce will stumble into the juniper., Meaning: If you are too ambitious, you're likely to fail.;Aki a lucfenyőre nyújtózik, a borókára esik., Ha túl ambíciózus vagy, kudarcot vallhatsz.
