Finnish;English;Hungarian
laiva;ship;hajó
vene;boat;csónak
soutuvene;rowboat;evezős csónak
purjevene;sailing boat;vitorlás hajó
kanootti;canoe;kenu
satama;harbor;kikötő
terminaali;terminal;terminál
laituri;pier, dock;móló
järvi;lake;tó
meri;sea;tenger
merisairas;seasick;tengeri beteg
kapteeni;captain;kapitány
miehistö;crew;legénység
aalto;wave;hullám
moottorivene;motorboat;motorcsónak
matkustaa laivalla;to travel by ship;hajóval utazni
nostaa ankkuri;to raise the anchor;felhúzni a horgonyt
nostaa lippu;to hoist the flag;felvonni a zászlót
nousta laivaan;to embark;felszállni a hajóra
nousta maihin;to disembark;partra szállni
poistua laivasta;to get off the ship;elhagyni a hajót
purjehtia;to sail;vitorlázni
soutaa;to row;evezni
upota;to sink;elsüllyedni
veneillä;to boat;csónakázni
risteillä;to cruise;körutazni
meloa;to paddle;evezni (kenuban)
hypätä veteen;to jump in the water;vízbe ugrani
istua veneessä;to sit in a boat;ülni a csónakban
aallonmurtaja;breakwater;gát
airot;oars;evezők
autolautta;car ferry;autókomp
haaksirikko;shipwreck;hajótörés
huvivene;yacht;jacht
hätäkutsu;Mayday;vészjelzés
ilmansuunnat;cardinal points;égtájak
kansimies;bowman;fedélzeti matróz
kippari, ruorimies;skipper, helmsman;kormányos
kurssi;course;irány
laituripaikka;berth;kikötőhely
laivasto;navy, fleet;haditengerészet, flottilla
majakka;lighthouse;világítótorony
matkustajalaiva;passenger ship;utas hajó
merimiessolmu;sailor's knot;tengeri csomó
pelastusliivi;life jacket;mentőmellény
pelastusvene;lifeboat;mentőcsónak
pelastusrengas;lifebuoy;mentőöv
perämies;mate, ship's officer;tiszt
reitti;route;útvonal
risteily;cruise;körutazás
risteilyalus;cruise ship;kikötői hajó
rantalaituri;wharf;parti móló
solmu;knot, hitch;csomó
telakka;shipyard, yard;hajógyár
sää, ilma;weather;időjárás
tuuli;wind;szél
avoin tuuli;free wind;nyílt szél
huono näkyvyys;poor sight;gyenge látási viszonyok
huono sää;bad weather;rossz idő
hyökyaalto;surge;hullámverés
kova aallokko;heavy sea;erős hullámzás
kova / navakka tuuli;strong breeze;erős szél
matala vesi;low tide;alacsony vízállás
merihädässä;in distress at sea;tengeri vészhelyzetben
merituuli;sea breeze;tengeri szellő
merivirta;sea current;tengeri áramlat
myrsky;storm;vihar
myötätuuleen;before the wind;hátszéllel
myötävirta;favorable current;kedvező áramlat
nouseva vesi;rising tide;emelkedő víz
nousuvesi;high water, tide;dagály
pilvinen taivas;overcast sky;felhős égbolt
rankkasade;pouring rain;zápor
sadekuuro;shower;esőszakasz
sivutuuli;crosswind;oldalszél
tihkusade;drizzle;szitálás
tuulenpuuska;gust of wind;széllökés
tuuli tyyntyy;the wind abates;a szél alábbhagy
tuuli kääntyy;the wind is shifting;a szél irányt vált
vaihteleva sää;unsettled weather;változékony idő
varoitus myrskyisestä tuulesta;gale warning;viharjelzés
vastatuuli;adverse wind;ellenirányú szél
vastavirta;counter current;ellenáramlat
vuorovesi;tide;ár-apály
yltyvä tuuli;increasing wind;erősödő szél
ajaa karille;to run aground;szárazföldre futni
ankkuroida;to anchor;lehorgonyozni
irrottaa köysi pollarista;to unbitt the rope;leoldani a kötelet a bollárdról
jalustaa purje;to flatten the sail;kiegyenesíteni a vitorlát
kiinnittää vene;to moor a boat;hajót kikötni
kiinnittää / sitoa vene laituriin;to attach the boat to the dock;hajót a mólóhoz kötni
kiivetä mastoon;to climb the mast;felmászni az árbocra
kääntää kurssi;to tack;irányt változtatni
laskea purjeet;to lower the sails;leereszteni a vitorlát
laskea vene vesille;to lower the boat into the water;vízre bocsátani a csónakot
mennä kumoon;to turn turtle;felborulni
navigoida;to navigate;navigálni
nostaa airot pystyyn;to toss the oars;evezőket felállítani
nostaa ylös (purje);to haul up;felhúzni (a vitorlát)
ohjata;to steer;kormányozni
peruuttaa;to go astern;hátramenni
pitää lippua;to fly the colors;zászlót kitűzni
plaanata;to plane;síkon siklani
telakoida;to dock;dokkolni
tulla laituriin;to berth;kikötni
työntää vene vesille;to push the boat into the water;vízre tolni a csónakot
vaihtaa purjeita;to shift sails;vitorlát cserélni
vähentää purjeita;to shorten the sails;vitorlát levágni (összehúzni)
ylittää Atlantti;to cross the Atlantic;átkelni az Atlanti-óceánon
ankkuri;anchor;horgony
fokka;forsail;elővitorla
hytti;cabin;kabin
hätäraketti;distress rocket;vészjelző rakéta
isomasto;mainmast;főárboc
isopurje;mainsail;fővitorla
kansi;deck;fedélzet
keula, kokka;bow, forward;orr, hajóorr
keulakansi;foredeck;orrfedélzet
keulaköysi;fore rope;orrkötél
keulapuomi;bowsprit;orrsugár
keulapurje;foresail;orrvitorla
köli;keel;finomtest
köysi, nuora;rope;kötél
köysikela;coil;kötéltekercs
masto;mast;árboc
paapuuri;larboard, port;baloldal
perä;stern;far
peräsin;rudder;kormánylapát
pohjatulppa;boat plug;fenékdugó
pollari;bollard;kikötőpilon
pressu, suojapeite;tarpaulin;ponyva
purje;sail;vitorla
ruori;ship's wheel;kormánykerék
ruuma;cargo hold;raktér
suojattu kansi;flush deck;fedett fedélzet
tuulenpuolen kansi;weather deck;szélvédett fedélzet
tyyrpuuri;starboard;jobb oldal
aurinkokansi;sun deck;napfedélzet
autokansi;car deck;autófedélzet
kansituoli;deck chair;fedélzeti szék
laivaannousu;embarkment;hajóra szállás
laivayhtiö;shipping company;hajótársaság
lomaristeily;holiday cruise;nyaralási körutazás
käydä risteilyllä;to go on a cruise;körutazáson részt venni
olla risteilyllä;to be on a cruise;körutazáson lenni
saaristoristeily;island cruise;szigeti körutazás
varata hytti;to reserve a cabin;kabin foglalása
Välimeren-risteily;Mediterranean cruise;Földközi-tengeri körutazás
Olen merisairas.;I'm seasick.;Tengeri beteg vagyok.
Istuimme veneessä ja soudimme.;We sat in the boat and we rowed.;Ültünk a csónakban és eveztünk.
Matkustan laivalla Tukholmaan.;I travel to Stockholm by ship.;Hajóval utazom Stockholmba.
Lähdin risteilylle ystävän kanssa.;I went on a cruise with a friend.;Elmentem egy körutazásra a barátommal.
Lähdin laivamatkalle Kööpenhaminaan.;I went on a boat trip to Copenhagen.;Hajóútra indultam Koppenhágába.
Ostin laivalipun Tukholmaan.;I bought a boat ticket to Stockholm.;Vettem egy hajójegyet Stockholmba.
Ostimme laivaliput Tallinnaan.;We bought ferry tickets to Tallinn.;Vettünk kompjegyeket Tallinnba.
Laiva liikennöi Tallinnan ja Tukholman väliä.;The ship operates between Tallinn and Stockholm.;A hajó Tallinn és Stockholm között közlekedik.
Laiva purjehti Tallinnaan.;The ship sailed to Tallinn.;A hajó Tallinnba vitorlázott.
Turku-Tukholma-reitti on suosittu.;The Turku-Stockholm route is popular.;A Turku-Stockholm útvonal népszerű.
Odotin laivaa terminaalissa.;I wait for the ship at the terminal.;A terminálnál vártam a hajót.
Laiva saapui laiturille.;The ship arrived at the dock.;A hajó megérkezett a mólóhoz.
Laiva saapui satamaan.;The ship arrived in the harbor.;A hajó megérkezett a kikötőbe.
Matkustajat nousivat laivaan.;The passengers boarded the ship.;Az utasok felszálltak a hajóra.
Nousimme laivaan Helsingissä.;We boarded the ship in Helsinki.;Felszálltunk a hajóra Helsinkiben.
Nousimme maihin keskipäivällä.;We went ashore at noon.;Délben partra szálltunk.
Otan aurinkoa aurinkokannella.;I sunbathe on the sun deck.;Napozom a napfedélzeten.
Autokansi on 108 metriä pitkä;The car deck is 108 meters long;Az autófedélzet 108 méter hosszú.
Makasin kansituolissa kannella.;I lay in a deck chair on the deck.;Feküdtem a fedélzeti széken a fedélzeten.
Millä kannella on ravintola?;On what deck is the restaurant?;Melyik fedélzeten van az étterem?
Istun laivan takakannella.;I sit on the back deck of the ship.;A hajó hátsó fedélzetén ülök.
Mihin aikaan autolautta lähtee?;What time does the car ferry leave?;Mikor indul az autókomp?
Hytti oli viihtyisä ja siisti.;The cabin was cozy and tidy.;A kabin kényelmes és tiszta volt.
Laivan miehistö oli ystävällinen.;The ship's crew was friendly.;A hajó legénysége barátságos volt.
Laivan kapteeni esittäytyi.;The ship's captain introduced himself.;A hajó kapitánya bemutatkozott.
Laivaannousu alkaa klo 16.45.;Embarkment starts at 4:45 pm.;A hajóra szállás 16:45-kor kezdődik.
