Finnish;English;Hungarian
keho;body;test
elintoiminnot;bodily functions;testi funkciók
lima;slime, phlegm;nyálka
haju;smell, stink;szag
pahanhajuinen;bad-smelling;rossz szagú
haista (pahalta);to smell bad;rosszul szagolni
erite, eritteet;secretion(s);váladék(ok)
vessa;toilet;WC
vessanpönttö;toilet bowl;WC csésze
vessaistuin;toilet seat;WC ülőke
huussi;(outside) toilet;kinti WC
peppu, pylly;bum, butt (kids' words);fenék (gyerekeknek)
takapuoli;rear end, ass (official term);farpofák (hivatalos)
pimppi;pee-pee, vagina (kids' word);punci (gyerekeknek)
pippeli, kikkeli;pee-pee, willy (kids' words);fiúi nemi szerv (gyerekeknek)
penis;penis;penisz
emätin, vagina;vagina;hüvely
peräaukko;anus;végbél
ruoansulatus;digestion;emésztés
ruoansulatushäiriö;indigestion;emésztési zavar
suoli;intestine;bél
suolisto;intestinal system;bélrendszer
paksusuoli;colon;vastagbél
ulostus;bowel movement;székletürítés
uloste;excrement;széklet
ulosteet;feces, stool;széklet (többes)
kakka;poop, poo;kaki
kova kakka;hard stool;kemény széklet
löysä kakka;loose stool;lágy széklet
pökäle, kikkare;turd;kupac, kaki
paska;shit;sarok, kaki
papanoita;pebble poop;kavics széklet
kakata;to poop;kakilni
ulostaa;to defecate;székletet üríteni
olla paskalla;to take a shit;kakitani
ummetus;constipation;székrekedés
ripuli;diarrhea;hasmenés
piereskely;farting;fingás
pieru;fart;böfögés, fing
haiseva pieru;smelly fart;büdös fing
hiljainen pieru;quiet fart;csendes fing
ilmavaiva;flatulence;puffadás
suolistokaasu;intestinal gas;bélgáz
päästää pieru, pierrä;to fart;fingeni engedni
pieraista;to break wind;szellenteni
löyhkä;stench;bűz
virtsaaminen;urinating;vizelés
kusi;piss;hugy
pissa;pee;pisi
virtsa;urine;vizelet
virtsata;to urinate;vizelni
pissata;to pee;pisilni
kusta;to piss;hugyálni
käydä kusella;to go for a pee;pisilni menni
virtsankarkailu;incontinence;inkontinencia
virtsarakko;urine bladder;húgyhólyag
vessahätä;call of nature;sürgős vizelési inger
pissavahinko;an accident;baleset (pisilés)
vaippa;diaper;pelenka
potta;potty;bili
hikoilu;sweating;izzadás
hiki;sweat;izzadság
hikoilla;to sweat;izzadni
haista hieltä;to smell sweaty;izzadságszagot érezni
kylmä hiki;cold sweat;hideg verejték
yöhikoilu;nightly sweats;éjszakai izzadás
haisevat kainalot;smelly armpits;büdös hónaljak
röyhtäily, röyhtäisy;belching;böfögés
röyhtäillä;to burp;böfögni
oksennus;vomit;hányás
oksentaa;to vomit;hányni
yrjö;puke (spoken);hányás (szleng)
yrjöä;to puke (spoken);hányni (szleng)
pahoinvointi;nausea;rosszullét
kuola, sylki;spittle, saliva;nyál
sylkirauhaset;salivary glands;nyálmirigyek
erittyä sylkeä;to secrete saliva;nyálat termelni
sylkeä;to spit;köpni
kuolata;to drool;nyáladzni
räkä;snot;orrmucin
vihreä räkä;green snot;zöld orrmucin
aivastus;sneeze;tüsszentés
aivastaa;to sneeze;tüsszenteni
niistää;to blow your nose;orrot fújni
kaivaa nenäänsä;to pick one's nose;orrát piszkálni
nenä vuotaa;nose is running;orrfolyás
nenä on tukossa;nose is blocked;eldugult orr
veri, verta;blood;vér
rupi;scab;var
haava;wound;seb
naarmu;scratch;karcolás
arpi;scar;hegesedés
nyppiä rupea;to pick a scab;varat szedni
raapia rupea;to scratch a scab;varat vakarni
kuukautiset;period;menstruáció
