Finnish;English;Hungarian
Ensimmäisen kohdan esittely;Introducing your first point;Az első pont bemutatása
Aloittaakseni, haluaisin ensin sanoa...;To begin with, I'd like to say...;Kezdésként szeretném elmondani...
Ihan ensiksi...;As a starting point...;Legelőször...
Ensimmäiseksi...;Firstly...;Először is...
Aluksi...;To begin with...;Bevezetésként...
Ensimmäisenä asiana...;As a first point...;Elsőként megemlíteném...
Selventäminen;Clarifying;Pontosítás
Tarkoitan, että...;I mean that...;Úgy értem, hogy...
Toisin sanoen...;In other words...;Más szóval...
Siis...;So...;Tehát...
Eli...;To rephrase...;Vagyis...
Tarkoitatko, että...;Do you mean, that...;Úgy érted, hogy...?
Tarkoitatko oikeasti, että...?;Do you really mean, that...;Tényleg úgy gondolod, hogy...?
Aiempaan viittaaminen;Referring to what you said earlier;Korábbiakra hivatkozás
Kuten sanoin alussa...;As I said in the beginning...;Ahogy az elején mondtam...
Kuten jo sanoin...;As I already said...;Ahogy már említettem...
Kuten mainitsin edellä...;As I mentioned earlier...;Amint korábban említettem...
Kerroin sinulle hetki sitten, että...;I told you a moment ago, that...;Az imént mondtam neked, hogy...
Kuten sanottu...;As has been said...;Amint elhangzott...
Niin kuin oli jo puhetta...;As has been said already...;Ahogy már szó volt róla...
Niin kuin sanoin (jo) aiemmin...;As I said earlier (already)...;Ahogy korábban (már) mondtam...
Niin kuin Pekka (jo) sanoi (aiemmin)...;As Pekka said (earlier already)...;Ahogy Péter (már) mondta (korábban)...
Lisääminen;Adding;Hozzáadás
Lisäksi...;Moreover...;Továbbá...
Toinen asia on...;Another thing is...;Másik dolog pedig az, hogy...
Myös...;Also...;Szintén...
Ja sitten vielä...;And still...;És még hozzá...
Vielä yksi asia...;Still one thing...;Még egy dolog...
Vielä halusin ottaa esille...;I still would like to explain...;Szeretnék még megemlíteni valamit...
Viimeisenä, mutta ei vähäisempänä...;Last but not least...;Végül, de nem utolsósorban...
Aiheeseen palaaminen;Returning to the topic;A témához való visszatérés
Joka tapauksessa...;Anyway...;Mindenesetre...
Missä olinkaan?;Where was I?;Hol is tartottam?
Palatakseni aiheeseen...;To return to the topic...;Visszatérve a témához...
Kuten olin sanomassa...;As I was saying...;Amint mondani akartam...
Mitä olin sanomassa?;What was I saying?;Mit is akartam mondani?
Yhteenveto;Summarizing;Összefoglalás
Yhteenvetona, olemme nyt käyneet läpi...;As an overview, we have now gone through...;Összefoglalásként most áttekintettük...
Lyhyesti asian voi siis sanoa...;In short, this can be explained as...;Röviden tehát úgy fogalmazható meg, hogy...
Lopuksi...;Finally...;Végül...
Jos tämä nyt vedetään yhteen...;If we draw a conclusion from this...;Ha ezt most összefoglaljuk...
Kaiken kaikkiaan siis...;So, all in all,...;Összességében tehát...
