Finnish;English;Hungarian
Aave (DC);The Spectre;A Szellem
Aaveajaja (Marvel);Ghost Rider;Szellem Lovas
Ampiainen (Marvel);Wasp;Darázs
Atomi (DC);Atom;Atom
Batman (Lepakkomies) (DC);Batman;Batman
Blade (Marvel);Blade;Penge
Daredevil (Marvel);Daredevil;Vakmerő
Deadpool (Marvel);Deadpool;Deadpool
Drax Tuhoaja (Marvel);Drax the Destroyer;Drax a Pusztító
Elohopea (Marvel);Quicksilver;Higany
Gamora (Marvel);Gamora;Gamora
Haukansilmä (Marvel);Hawkeye;Sólyomszem
Haukka (Marvel);Falcon;Sas
Haukkamies (DC);Hawkman;Sasmester
Haukkatyttö (DC);Hawkgirl;Saslány
Herra Fantastinen (Marvel);Mister Fantastic;Fantasztikus Úr
Hulk (Marvel);Hulk;Hulk
Hulktar (Marvel);She-Hulk;Hölgy Hulk
Hämähäkkimies (Marvel);Spiderman;Pókember
Ihmenainen (DC);Wonder Woman;Csodanő
Jäämies (Marvel);Iceman;Jégember
Kapteeni Amerikka (Marvel);Captain America;Amerika Kapitány
Kolossi (Marvel);Colossus;Kolosszus
Kuuritari (Marvel);Moon Knight;Hold Lovag
Kyborgi (DC);Cyborg;Kiborg
Kyklooppi (Marvel);Cyclops;Kiklopsz
Liekki (Ihmissoihtu, Marvel);The Human Torch;Emberember
Metsästäjä Marsista (DC);Martian Manhunter;Marsi Vadász
Musta Leski (Marvel);Black Widow;Fekete Özvegy
Muovimies (DC);Plastic Man;Műanyagember
Muurahaismies (Marvel);Ant-Man;Hangyaember
Möykky (Marvel);Thing;Döngö
Neiti Ihme (Marvel);Ms. Marvel;Csodanő (Ms.)
Näkymätön nainen (Marvel);Invisible Woman;Láthatatlan Nő
Painajainen (Marvel);Nightcrawler;Éjjeli Kúszó
Peto (Marvel);Beast;Szörnyeteg
Petopoika (DC);Beast Boy;Szörnyfiú
Professori X (Marvel);Professor X;Professor X
Red Tornado (DC);Red Tornado;Vörös Tornádó
Purppuranoita (Marvel);Scarlet Witch;Skarlát Boszorkány
Rautamies (Marvel);Iron Man;Vasember
Rautanyrkki (Marvel);Iron Fist;Vasököl
Raven (DC);Raven;Holló
Robin (DC);Robin;Robin
Rämeen olento (DC);Swamp Thing;Mocsári Lény
Salama (DC);Flash;Villám
Saturnustyttö (DC);Saturn Girl;Szaturnusz Lány
Sotakone (Marvel);War Machine;Háborúgép
Static (DC);Static;Statikus
Storm (Marvel);Storm;Vihar
Teräs (DC);Steel;Acél
Teräsmies (DC);Superman;Szuperember
Terästyttö (DC);Supergirl;Szuperlány
Thor (Marvel);Thor;Thor
Tohtori Kohtalo (DC);Doctor Fate;Végzet Doktor
Tohtori Outo (Marvel);Doctor Strange;Doktor Strange
Tähtilordi (Marvel);Star-Lord;Csillagúr
Tähtituli (DC);Starfire;Csillagtűz
Varjokissa (Marvel);Kitty Pryde;Árnyékcica
Vesimies (DC);Aquaman;Aquaman
Vihreä Lyhty (DC);Green Lantern;Zöld Lámpás
Vihreä Nuoli (DC);Green Arrow;Zöld Nyíl
Vision (Marvel);Vision;Vízió
Wolverine (Marvel);Wolverine;Farkasember
Ryhmä-X (Marvel);X-men;X-emberek
Ihmeneloset (Marvel);Fantastic Four;Fantasztikus Négyes
