Finnish;English;Hungarian
moottorivika;engine problem;motorhiba
hinata;to tow, tug;vontatni
hinausauto;tow truck;autómentő
huoltoauto;repair truck;szervizautó
huoltoasema;petrol / gas station;benzinkút
korjaamo;repair shop;javítóműhely
korjaus;repair;javítás
tiepalvelu;roadside assistance;útszéli segítség
työkalut;tools;szerszámok
hätävilkku;emergency flasher;vészvillogó
käynnistyskaapeli;jump lead;indítókábel
tunkki;jack;emelő
vararengas;spare tire;pótkerék
bensakanisteri;petrol can;benzin kannája
epäkunnossa;out of order;használhatatlan
vika;problem, fault;hiba
jumissa;stuck;beragadt
viallinen;faulty, defective;hibás
tukossa;clogged;eldugult
rikki;broken;törött
huonokuntoinen;in poor condition;rossz állapotú
ruostunut;rusted, corroded;rozsdásodott
ruosteinen;rusty;rozsdás
lommoinen;dented;horpadt
kulunut;worn-out;kopott
vahinko;damage;kár
rengasrikko;flat tire;defekt
Onko lähistöllä korjaamoa?;Is there a repair shop in the vicinity?;Van a közelben autószerviz?
Voisitteko soittaa puolestani tiepalveluun?;Could you call to roadside assistance for me?;Tudna hívni helyettem útszéli segítséget?
Voisitko viedä minut lähimmälle korjaamolle?;Could you take me to the closest car repair shop?;El tudna vinni a legközelebbi autószervizbe?
Voisinko saada teiltä hiukan bensiiniä?;Could I get a bit of gasoline from you?;Kaphatnék egy kis benzint önöktől?
Voisitteko auttaa renkaanvaihdossa?;Could you help me to change the tire?;Tudna segíteni a kerékcserében?
Millainen vika?;What kind of a problem?;Milyen hiba van?
Autossani on jotain vikaa.;There's a problem with my car.;Valami baj van az autómmal.
Autoni ei käynnisty / lähde käyntiin.;My car won't start.;Az autóm nem indul.
Auto starttaa huonosti.;The car starts badly.;Az autó rosszul indul.
Moottorissa on jotain vikaa.;There's a problem with the engine.;Valami baj van a motorral.
Moottori ylikuumenee.;The engine overheats.;A motor túlmelegszik.
Moottori sammuu heti käynnistämisen / startin jälkeen.;The engine dies immediately after start-up.;A motor azonnal leáll a beindítás után.
