Finnish;English;Hungarian
Puhelin on saanut iskun;The phone has received a shock;A telefon ütést kapott
Puhelin tippui maahan;The phone fell on the ground;A telefon leesett a földre
Puhelimeni putosi ja hajosi;My phone fell and broke;A telefonom leesett és eltört
Puhelimeni tippui vessanpönttöön;My phone fell into the toilet bowl;A telefonom a WC-be esett
Pudotin puhelimeni;I dropped my phone;Elejtettem a telefonom
En ole pudottanut puhelintani;I haven't dropped my phone;Nem ejtettem el a telefonom
Puhelin toimi aamulla vielä normaalisti;The phone still worked normally in the morning;A telefon még reggel normálisan működött
Puhelimeni on rikki;My phone is broken;A telefonom tönkrement
Puhelimeni ei toimi;My phone doesn't work;A telefonom nem működik
Puhelimeni ei käynnisty;My phone doesn't turn on;A telefonom nem kapcsol be
Puhelin ei suostu käynnistymään;The phone won't turn on;A telefon nem akar bekapcsolni
Puhelin ei mene päälle;The phone doesn't turn on;A telefon nem kapcsol be
Puhelimeni on lakannut toimimasta;My phone has stopped working;A telefonom abbahagyta a működést
Puhelimeni sammui ihan yllättäen;My phone turned off unexpectedly;A telefonom váratlanul kikapcsolt
Puhelin on jumissa;The phone is frozen;A telefon befagyott
Puhelimeni jumittui kesken puhelun;My phone froze during a call;A telefonom lefagyott a hívás közben
Puhelimeni on hidas;My phone is slow;A telefonom lassú
Puhelimen muisti on täynnä;The phone's memory is full;A telefon memóriája tele van
Puhelin ei reagoi mihinkään;The phone doesn't respond to anything;A telefon semmire sem reagál
Sovellus ei käynnisty;The application won't start;Az alkalmazás nem indul el
Puhelin ei suostu päivittymään;The phone won't (refuses to) update;A telefon nem hajlandó frissülni
Puhelimeni ei lukkiudu;My phone won't lock;A telefonom nem záródik
Puhelin ei lataudu enää;The phone doesn't charge anymore;A telefon már nem tölt
Puhelimen akku ei lataudu;The phone's battery won't charge;A telefon akkumulátora nem tölt
Akku latautuu hitaasti;The battery charges slowly;Az akkumulátor lassan töltődik
Akku kestää noin tunnin;The battery lasts about an hour;Az akkumulátor körülbelül egy órát bír
Akku kuluu nopeasti;The battery empties quickly;Az akkumulátor gyorsan merül
Akku tyhjenee liian nopeasti;The battery drains too quickly;Az akkumulátor túl gyorsan lemerül
Laturin USB-kaapeli on rikki;The charger's USB cable is broken;A töltő USB-kábele eltört
Puhelimen akku on hyytynyt;The phone's battery has frozen;A telefon akkumulátora lefagyott
Puhelimen lasi on rikki;The glass of the phone is broken;A telefon üvege eltört
Etulasi on rikki;The front glass is broken;Az első üveg eltört
Puhelimen näyttö on rikki;The phone's screen is broken;A telefon kijelzője eltört
Puhelimen näyttö on pimeänä;The phone's screen stays dark;A telefon kijelzője sötét marad
Näyttö meni rikki;The screen broke;A kijelző eltört
Puhelimen näyttö naarmuuntui;The phone's screen was scratched;A telefon kijelzője megkarcolódott
Kamera ei tarkenna;The camera doesn't focus;A kamera nem fókuszál
Kuvassa on värivirheitä;There are color defects in the image;A képen színhibák vannak
Kuva on pölyinen;The picture is dusty;A kép poros
Kamerasovellus ei aukea;The camera application doesn't open;A kamera alkalmazás nem nyílik meg
Takakamera hajosi;The rear camera broke;A hátlapi kamera eltört
Vika on takakamerassa;The fault is in the rear camera;A hiba a hátlapi kamerában van
Kamera ei enää toimi kuten sen pitäisi;The camera doesn't work like it should anymore;A kamera már nem működik rendesen
Takakamera on vaurioitunut;The rear camera is damaged;A hátlapi kamera sérült
Kamera on lakannut toimimasta;The camera has stopped working;A kamera abbahagyta a működést
Kameran linssiin tuli särö;The camera's lens is cracked;A kamera lencséje megrepedt
Linssi on naarmuuntunut;The lens is scratched;A lencse megkarcolódott
Linssin sisäpinnalla on kosteutta;There is moisture on the inside of the lens;A lencse belső felületén nedvesség van
Linssissä on halkeama;There's a crack in the lens;A lencsében repedés van
Puhelin tuuttaa koko ajan varattua;The phone gives the busy signal all the time;A telefon folyamatosan foglaltat jelez
Puhelin ei piippaa;The phone doesn't beep;A telefon nem sípol
Mikrofoni rahisee;The microphone rustles;A mikrofon sistereg
En kuule mitään;I can't hear anything;Nem hallok semmit
Puhelimeni on lukittu;My phone is locked;A telefonom zárolva van
En muista PIN-koodiani;I can't remember my PIN;Nem emlékszem a PIN kódomra
En löydä puhelintani enää;I can't find my phone anymore;Már nem találom a telefonom
Puhelimeni on kadonnut;My phone has disappeared;A telefonom eltűnt
Joku varasti puhelimeni;Someone stole my phone;Valaki ellopta a telefonom
Puhelimeni on varastettu;My phone has been stolen;A telefonomat ellopták
Mun kännykkä on pöllitty!;My cell phone was stolen! (spoken language);Ellopták a mobilomat!
Vika on itse laitteessa;The problem is with the device itself;A hiba magában az eszközben van
Se on pelkkä mekaaninen vika;It's just a mechanical fault;Ez csak egy mechanikai hiba
Vika on akussa;The battery is the problem;A hiba az akkumulátorban van
Onko puhelin vielä korjattavissa?;Can the phone still be fixed?;Meg lehet még javítani a telefont?
Laite kannattaa tuoda huoltoon;You should have the device serviced;Érdemes az eszközt szervizbe vinni
Vapauta lisää tilaa poistamalla kuvia;Delete pictures to free up more space;Törölj képeket a több hely felszabadításához
Ota varmuuskopio;Make a backup;Készíts biztonsági másolatot
Muista asentaa päivityksiä!;Be sure to install updates!;Ne felejtsd el telepíteni a frissítéseket!
Irrota akku;Remove the battery;Vedd ki az akkumulátort
Käynnistä puhelin uudelleen;Restart the phone;Indítsd újra a telefont
Paina mitä tahansa näppäintä;Press any key;Nyomj meg bármelyik gombot
Paina näppäintä pitkään;Press and hold the key;Tartsd lenyomva a gombot
Anna SIM-kortin PIN-koodi;Enter the SIM card's PIN;Add meg a SIM-kártya PIN kódját
Syötä PIN-koodi;Enter the PIN code;Írd be a PIN kódot
Ota virransäästö käyttöön;Enable power saving;Kapcsold be az energiatakarékos üzemmódot
Tätä ei kannata enää korjailla;There's no point fixing this anymore;Ezt már nem érdemes javítani
Korjaus ylittää uuden vastaavan hinnan;The repair exceeds the price of a new phone of the same kind;A javítás ára meghaladja egy új ugyanolyan típusú telefon árát
Puhelin on korjauskelvoton;The phone is unrepairable;A telefon javíthatatlan
