Finnish;English;Hungarian
palautus;rebate, return, refund;visszatérítés
palauttaa;to return;visszaadni
palautusoikeus;money back guarantee;visszafizetési garancia
30 päivän palautusoikeus;30 day return policy;30 napos visszatérítési politika
vaihto-oikeus;exchange policy;cserepolitika
vaihtaa;exchange;cserélni
peruutusoikeus, peruuttamisoikeus;cancellation rights;lemondási jog
perua kauppa;to cancel a trade;üzletet törölni
asiakas;customer;ügyfél
tyytyväinen;satisfied;elégedett
tyytyväisyys;satisfaction;elégedettség
asiakastyytyväisyys;customer satisfaction;ügyfélelégedettség
asiakaskokemus;customer experience;ügyfélélmény
kuluttajariitakunta;consumer disputes board;fogyasztói viták bizottsága
ostopäätös;decision to purchase;vásárlási döntés
Tulin katumapäälle.;I had second thoughts.;Meghátráltam
En ole tyytyväinen vaatteen väriin.;I'm not satisfied with the color of the clothes.;Nem vagyok elégedett a ruha színével
En ole tyytyväinen vaatteen tyyliin.;I'm not satisfied with the style of the clothes.;Nem vagyok elégedett a ruha stílusával
Vaate on vääränkokoinen.;The garment is the wrong size.;A ruha rossz méretű
Vaate on liian löysä vyötärön kohdalla.;The garment is too loose at the waist.;A ruha túl bő a deréknál
Vaate on liian tiukka vatsan kohdalla.;The garment is too tight on the stomach.;A ruha túl szoros a hasnál
Vaate on joissakin kohdissa liian tiukka ja joissakin taas liian löysä.;The garment is too tight in some places and too loose in others.;A ruha egyes részeken túl szoros, máshol túl bő
Vaatteen hihat ovat järjettömän pitkät.;The sleeves of the garment are insanely long.;A ruha ujjai őrülten hosszúak
Vaate saapui liian myöhään.;The clothing arrived too late.;A ruha túl későn érkezett
Vaate saapui rikkinäisenä.;The garment arrived broken.;A ruha sérülten érkezett
Vaate ei vastaa netin kuvausta.;The garment doesn't match the product description.;A ruha nem felel meg az internetes leírásnak
Ostin vaatteen kännissä.;I bought the clothing when I was drunk.;Részegen vettem meg a ruhát
Vaatteesta puuttuu nappi.;A button is missing from the clothing.;Hiányzik egy gomb a ruháról
Vaatteessa on tahra.;There's a stain on the garment.;Foltos a ruha
Vaatteessa on suuri reikä.;There's a large hole in the garment.;Nagy lyuk van a ruhán
Vaatteessa on ryppyjä.;There are wrinkles in the garment.;Ráncos a ruha
Vaatteen laatu on huono.;The quality of the garment is poor.;A ruha minősége gyenge
Luulin vaatteen paidaksi mutta se onkin mekko.;I thought the garment was a shirt, but it is a dress.;Azt hittem, ing, de ruha
