Finnish;English;Hungarian
vety;hydrogen;hidrogén
helium;helium;hélium
litium;lithium;lítium
beryllium;beryllium;berillium
boori;boron;bór
hiili;carbon;szén
typpi;nitrogen;nitrogén
happi;oxygen;oxigén
fluori;fluorine;fluor
neon;neon;neon
natrium;sodium;nátrium
magnesium;magnesium;magnézium
alumiini;aluminium;alumínium
pii;silicon;szilícium
fosfori;phosphorus;foszfor
rikki;sulfur;kén
kloori;chlorine;klór
argon;argon;argon
kalium;potassium;kálium
kalsium;calcium;kalcium
skandium;scandium;skandium
titaani;titanium;titán
vanadiini;vanadium;vanádium
kromi;chromium;króm
mangaani;manganese;mangán
rauta;iron;vas
koboltti;cobalt;kobalt
nikkeli;nickel;nikkel
kupari;coppe;rréz
sinkki;zinc;cink
gallium;gallium;gallium
germanium;germanium;germánium
arseeni;arsenic;arzén
seleeni;selenium;szelén
bromi;bromine;brom
krypton;krypton;kripton
rubidium;rubidium;rubídium
strontium;strontium;stroncium
yttrium;yttrium;ittrium
zirkonium;zirconium;cirkónium
niobium;niobium;niobium
molybdeeni;molybdenum;molibdén
teknetium;technetium;teknécium
rutenium;ruthernium;ruthénium
rodium;rhodium;ródium
palladium;palladium;palládium
hopea;silver;ezüst
kadmium;cadmium;kadmium
indium;indium;indium
tina;tin;ón
antimoni;antimony;antimon
telluuri;tellurium;tellúr
jodi;iodine;jód
ksenon;xenon;xenon
cesium;caesium;cézium
barium;barium;bárium
lantaani;lanthanum;lantán
cerium;cerium;cérium
praseodyymi;praseodymium;praseodímium
neodyymi;neodymium;neodímium
prometium;promethium;promécium
samarium;samarium;szamárium
europium;europium;európium
gadolinium;gadolinium;gadolínium
terbium;terbium;terbium
dysprosium;dysprosium;diszpózium
holmium;holmium;holmium
erbium;erbium;érbium
tulium;thulium;túlium
ytterbium;ytterbium;itterbium
lutetium;lutetium;lutécium
hafnium;hafnium;háfnium
tantaali;tantalum;tantalum
volframi;tungsten;volfrám
renium;rhenium;rénium
osmium;osmium;ósmium
iridium;iridium;irídium
platina;platinum;platina
kulta;gold;arany
elohopea;mercury;higany
tallium;thallium;tallium
lyijy;lead;ólom
vismutti;bismuth;bizmut
polonium;polonium;polónium
astatiini;astatine;asztácium
radon;radon;radon
frankium;francium;franciumm
radium;radium;rádium
aktinium;actinium;aktínium
torium;thorium;tórium
protaktinium;protactinium;protaktínium
uraani;uranium;urán
neptunium;neptunium;neptúnium
plutonium;plutonium;plutónium
amerikium;americium;amerícium
curium;curium;kúrium
berkelium;berkelium;berkélium
kalifornium;californium;kalifórnium
einsteinium;einsteinium;einsteínium
fermium;fermium;fermium
mendelevium;mendelevium;mendelevium
nobelium;nobelium;nobelium
lawrencium;lawrencium;lawrencium
rutherfordium;rutherfordium;rutherfordium
dubnium;dubnium;dubnium
seaborgium;seaborgium;seaborgium
bohrium;bohrium;bóhrium
hassium;hassium;hássium
meitnerium;meitnerium;meitnérium
darmstadtium;darmstadtium;darmstadtium
röntgenium;roentgenium;röntgén
kopernikium;copernicium;kopernícium
nihonium;nihonium;nihónium
flerovium;flerovium;fleróvium
moskovium;moscovium;moszkóvium
livermorium;livermorium;livermórium
tennessiini;tennessine;tennesszin
organesson;organesson;orgonéz
