Finnish;English;Hungarian
asettaa X ehdolle;to nominate X (as a candidate);X jelölésére állít
asettua ehdokkaaksi;to run for (a position);jelöltként indulni
eduskuntavaalit;parliamentary elections;országgyűlési választások
ehdokas;candidate;jelölt
ehdokasnumero;candidate number (on ballot);jelöltszám
enemmistövaali;majority election, first-past-the-post election;többségi választás
ennakkoäänestys;early voting, advance polling;előzetes szavazás
ennakkoäänestyspaikka;early voting polling station;előszavazóhelyiség
epäily vaalivilpistä;suspicion of electoral fraud;választási csalás gyanúja
esivaali;primary election;előválasztás
eurokansanedustajien vaalit;election of members of the European Parliament;európai parlamenti képviselőválasztás
Euroopan parlamentin vaalit;European Parliament elections;európai parlamenti választások
EU-vaalit, eurovaalit;EU elections, European elections;EU-s választások
hajotusvaalit;(early) elections caused by the parliament being dissolved;feloszlatás miatti választások
heikko vaalimenestys;poor electoral success;gyenge választási eredmény
hukkaääni;wasted vote;elveszett szavazat
istuva presidentti;sitting president;hivatalban lévő elnök
johtava ehdokas;leading candidate;vezető jelölt
järjestää eduskuntavaalit;to hold parliamentary elections;országgyűlési választást tartani
järjestää vaalit;to hold elections;választást szervezni
keskusvaalilautakunta;Central Election Commission;központi választási bizottság
kirjeäänestys;postal vote;levélszavazás
käydä uurnilla;to go vote, literally "to visit the ballot box";urnához járulni
käydä äänestämässä;to go vote;szavazni menni
listavaali(t) / henkilövaali(t);single-member election / list vote, list system vote;egyéni választás / listás szavazás
olla ehdolla;to run for;jelöltként indulni (egy pozicióért)
olla ehdolla vaaleissa;to be a candidate in the elections;választásokon jelöltnek lenni
oppositio, oppositiopuolue;opposition, opposition party;ellenzék, ellenzéki párt
pitää presidentinvaalit;to hold presidential elections;elnökválasztást tartani
presidenttiehdokas;presidential candidate;elnökjelölt
puolueen vaaliteema;party's election theme;párt választási témája
pyrkiä presidentiksi;to run for president;elnöknek pályázni
enemmistö;the majority;többség
seurakuntavaalit;church elections;egyházközségi választások
suora kansanvaali;direct election (elected directly by the people);közvetlen népszavazásos választás
toimikausi;term (e.g. of a president);mandátumidőszak
tutustua ehdokkaisiin;to get to know the candidates;megismerni a jelölteket
uskoa vaalilupauksia;to believe the election / campaign promises;elhinni a választási ígéreteket
uusintavaali(t);repeat election, re-election;megismételt választás
vaalijuliste;election poster;választási plakát
vaalikahvit;tradition to go for a cup of coffee right after voting;választás utáni kávézás (szokás)
vaalikampanja vaalitaistelu;election campaign;választási kampány
vaalikeskustelu;election debate;választási vita
vaalikone;application that helps voters find a suitable candidate;választási iránytű (alkalmazás)
vaalilupaus;election promise, campaign promise;választási ígéret
vaalimökki;campaign booth (placed in city centers to talk to voters);kampánybódé
vaaliohjelma;electoral platform;választási program
vaalipetos, vaalivilppi;election fraud, electoral fraud;választási csalás
vaalipiiri;constituency, electoral district;választókerület
vaalipropaganda;electoral propaganda, election propaganda;választási propaganda
vaalipuhe;campaign speech;választási beszéd
