Finnish;English;Hungarian
ansaita;to earn;keresni
investoida;to invest;befektetni
haaskata / tuhlata rahaa;to waste money;pénzt pazarolni
kavaltaa rahaa;to embezzle money;pénzt eltulajdonítani
käyttää rahaa;to use / to spend money;pénzt használni / költeni
lahjoittaa;to donate;adományozni
lainata;to borrow / to lend;kölcsönözni / kölcsönadni
maksaa;to pay / to cost;fizetni / kerülni valamennyibe
maksaa kortilla (pic);to pay with a bank card;kártyával fizetni
maksaa käteisellä;to pay in cash;készpénzzel fizetni
maksaa luotolla;to pay with a credit card;hitelkártyával fizetni
maksaa takaisin;to pay back;visszafizetni
olla rahapulassa;to be short of money;pénzhiányban lenni
ostaa;to buy;venni
periä;to inherit;örökölni
rahastaa;to collect fares;jegyet szedni
rahoittaa;to finance;finanszírozni
rikastua;to get rich;meggazdagodni
saada sairauspäivärahaa;to receive sickness benefits;betegség miatti juttatást kapni
suorittaa maksu;to make a payment;fizetést teljesíteni
säästää;to save;megtakarítani
vaihtaa rahaksi;to cash in;pénzzé tenni
vaihtaa valuuttaa;to exchange currency;valutát váltani
varastaa;to steal;lopni
vaurastua;to get wealthy, prosper;gazdagodni
veloittaa tililtä;to charge an account;terhelni a számlát
verottaa;to tax;adóztatni
kassanhoitaja;cashier;pénztáros
kauppias;shop-keeper;kereskedő
kerjäläinen;beggar;koldus
myyjä;sales person;eladó
osakas;stock holder / shareholder;részvényes
palkansaaja;wage earner;bérmunkás
pankkiiri;banker;bankár
pankkivirkailija;bank clerk;banki alkalmazott
pankinjohtaja;bank manager;bankigazgató
pankkiryöstäjä;bank robber;bankrabló
perijä;inheritor, heir;örökös
pummi;bum, sponger;csöves
pörssimeklari;stock broker;részvénybróker
rahastaja;conductor;jegyellenőr
rahastonhoitaja;treasurer;kincstárnok
rahoittaja;financer;finanszírozó
varas;thief;tolvaj
vakuutuksenantaja;insurer;biztosító
vakuutuksenottaja;the insured;biztosított
vakuutusasiamies;insurance agent;biztosítási ügynök
verokarhu;the taxman;adóellenőr
veronmaksaja;taxpayer;adózó
köyhä;poor;szegény
rikas;rich;gazdag
köyhyysraja;poverty line;szegénységi küszöb
rahahuolet;financial worries;pénzügyi gondok
rahapula;lack of money;pénzhiány
rahaton;penniless;pénztelen
rahapulassa;short of cash;pénzhiányban
rahavaikeudet;financial difficulties;pénzügyi nehézségek
konkurssi / vararikko;bankruptcy;csőd
apuraha;grant;ösztöndíj, támogatás
avustus;aid, benefit;támogatás
harmaa raha;gray money;szürke pénz
hinta;price, cost;ár, költség
hyvitys;rebate, credit;jóváírás
juomaraha, tippi;tip, drinking money;borravaló
katteeton sekki;a bad cheque;kifizethetetlen csekk
kolikko;coin;érme
korvaus;compensation;kártérítés
lomaraha;holiday pay;üdülési pótlék
lompakko, rahapussi;wallet;pénztárca
lunnasraha;ransom;zsarolási díj
löytöpalkkio;finder's fee;talált tárgy jutalom
maksu, palkka;payment, salary;fizetés
palkankorotus;pay rise;bérnövelés
palkkio;fee; díj / jutalom
peliraha;play money;játékpénz
perintörahat;inheritance money;örökség
pikkuraha;petty cash;aprópénz
päiväraha;daily allowance;napi juttatás
rahakukkaro;coin purse;érmetartó
rahakokoelma;coin collection;érmeg gyűjtemény
rahasto;fund;alap
rahoitus;finance;finanszírozás
rahalahjoitus;donation;pénzadomány
sakko;fine;bírság
sekki;cheque;csekk
seteli;bank note;bankjegy
stipendi;stipend, scholarship;ösztöndíj
taloudellinen tuki;financial support;pénzügyi támogatás
tasaraha;exact change;pontos összeg
taskuraha;pocket money;zsebpénz
vaihtoraha;change (coins);visszajáró
vakuus;guarantee deposit;letét
vakuutusmaksu;premium;biztosítási díj
viikkoraha;weekly allowance;hetipénz
vuokra;rent;bérleti díj
arvonlisävero;VAT;ÁFA
jäännösvero;residual tax;maradványadó
veroasteikko, veroprosentti;tax scale, rate;adókulcs
veroilmoitus;tax form;adóbevallás
verollinen / veronalainen;taxable;adóztatható
veronkanto;collection of taxes;adóbeszedés
veronkierto;tax avoidance;adóelkerülés
veropalautus;tax refund;adóvisszatérítés
verorasitus;tax burden;adóterhelés
verotoimisto;tax office;adóhivatal
veroton;tax free;adómentes
verotus;taxation;adóztatás
raha-asiat;financial affairs;pénzügyek
rahaliitto;monetary union;valutaunió
rahamaailma;financial world;pénzügyi világ
rahamarkkinat;financial market;pénzpiac
rahanvaihto;money exchange;pénzváltás
valuuttakurssi;exchange rate;árfolyam
rahan arvo;value of money;pénz értéke
kassavirta;cash flow;készpénzforgalom
kauppatiede;economics;közgazdaságtan
osake;share;részvény
investointi;investment;befektetés
pörssi;stock exchange;tőzsde
"Aika on rahaa.";Time is money.;Az idő pénz.
"Raha rauhoittaa.";Money brings peace.;A pénz nyugalmat hoz.
"Raha tulee rahan luokse.";Money comes to money.;A pénz a pénzhez jön.
"Köyhällä ei ole varaa ostaa halpaa.";A poor person can't afford to buy cheap stuff.;A szegény nem engedheti meg magának az olcsót.
Onko sulla fyrkkaa?;Do you have money?;Van pénzed?
Anna ne fyrkat mulle.;Give me the money.;Add ide a pénzt.
Onks sul paljo hilloo?;Do you have a lot of money?;Van sok pénzed?
Mis mun hillot viipyy?;Where is my money?;Hol van a pénzem?
Mul ei oo yhtää fyffee.;I don't have any money.;Nincs egy fillérem sem.
