Finnish;English;Hungarian
Yhteiskunta;Society;Társadalom
yhteiskunnallinen;civil;Társadalmi
yhteiskuntaluokka;social class;Társadalmi osztály
yhteiskuntatiede;sociology;Szociológia
valtio;nation;Állam
valtiollinen;national;Állami
valtiollistaa;to nationalize;Nemzeti tulajdonba venni
valtiomies;statesman;Államférfi
valtionapu;government subsidy;Állami támogatás
valtionrahasto;state funds;Állami alapok
valtiontalous;national economy;Nemzeti gazdaság
hallita;to govern;Kormányozni
hallitus;government;Kormány
Valtiojärjestelmä;Government system;Államrend
valtakunta;kingdom;Királyság
tasavalta;republic;Köztársaság
demokratia;democracy;Demokrácia
monarkia, kuningaskunta;monarchy;Monarchia
yksinvalta;autocracy;Önálló uralom
diktatuuri;dictatorship;Diktatúra
tyrannia;tyranny;Tyrannia
totalitarismi;totalitarianism;Totalitarizmus
keisarinkunta;empire;Birodalom
Hallitsija;Ruler;Uralom
aatelisto;nobility;Arisztokrácia
diktaattori;dictator;Diktátor
keisari;emperor;Császár
kreivi;count/earl;Gróf
kuningatar;queen;Királynő
kuningas;king;Király
kuninkaallinen;royal;Királyi
papisto;clergy;Papság
perillinen;heir;Örökös
porvaristo;bourgeoisie;Polgárság
presidentti;president;Elnök
prinsessa;princess;Hercegnő
prinssi, ruhtinas;prince;Herceg
prinssihallitsija;prince regent;Helytartó herceg
tyranni;tyrant;Tyrannus
valtaistuin;throne;Trónus
yksinvaltias;autocrat;Autokrata
talonpoikaissääty;peasantry;Parasztság
rahvas;common people;Köznép
Ministeriö;Government departments;Minisztérium
pääministeri;prime minister;Miniszterelnök
ulkoasiainministeri;minister of foreign affairs;Külügyminiszter
valtiovarainministeri;minister of finance;Pénzügyminiszter
ulkomaankauppaministeri;minister of foreign trade;Külkereskedelmi miniszter
opetusministeri;minister of education;Oktatási miniszter
kulttuuriministeri;minister of culture;Kulturális miniszter
oikeusministeri;minister of justice;Igazságügyi miniszter
sisäasiainministeri;minister of internal affairs;Belügyminiszter
ympäristöministeri;minister of environment;Környezetvédelmi miniszter
asuntoministeri;minister of housing;Lakásügyi miniszter
puolustusministeri;minister of defence;Védelmi miniszter
maa- ja metsätalousministeri;minister of agriculture and forestry;Mező- és erdőgazdasági miniszter
liikenneministeri;minister of transport;Közlekedési miniszter
kauppa- ja teollisuusministeri;minister of trade and industry;Kereskedelmi és ipari miniszter
sosiaali- ja terveysministeri;minister of health and social affairs;Egészségügyi és szociális miniszter
työministeri;minister of employment;Munkaügyi miniszter
Politiikka;Politics;Politika
eduskunta;parliament;Parlament
eduskuntavaalit;parliamentary election;Parlamenti választások
edustajanpaikka;seat;Képviselői hely
ehdokas;candidate;Jelölt
enemmistö;majority;Többség
ennakkoäänestys;advance voting;Előzetes szavazás
iskulause;slogan;Szlogen
kansanedustaja;member of parliament;Országgyűlési képviselő
keskusvirasto;national board;Központi hivatal
kunnallisvaalit;municipal elections;Önkormányzati választások
kunnanvaltuusto;municipal council;Képviselő-testület
lautakunta;board / commision;Bizottság
läänihallitus;provincial government;Tartományi kormány
oikeisto;conservatives / right wing;Jobboldal
oppositio;opposition;Ellenzék
presidenttivaalit;presidential elections;Elnökválasztás
puolue;political party;Párt
poliitikko;politician;Politikus
poliittinen;political;Politikai
täysistunto;plenum;Teljes ülés
valtuutettu;representative;Képviselő
vapaamielinen;liberal;Liberális
vasemmisto;left wing;Baloldal
veto-oikeus;veto;Vétó
vähemmistö;minority;Kisebbség
äänestys;the voting;Szavazás
äänioikeus;right to vote;Szavazati jog
