VT;Finnish;English;Positive;Negative
3;olla;to be;(minä) olen;(minä) en ole
1;istua;to sit;(minä) istun;(minä) en istu
1;seisoa;to stand;(minä) seison;(minä) en seiso
2;syödä;to eat;(minä) syön;(minä) en syö
2;juoda;to drink;(minä) juon;(minä) en juo
1;odottaa;to wait;(minä) odotan;(minä) en odota
1;ymmärtää;to understand;(minä) ymmärrän;(minä) en ymmärrä
1;muistaa;to remember;(minä) muistan;(minä) en muista
1;unohtaa;to forget;(minä) unohdan;(minä) en unohda
3;ajatella;to think;(minä) ajattelen;(minä) en ajattele
1;tietää;to know;(minä) tiedän;(minä) en tiedä
4;osata;to be able to;(minä) osaan;(minä) en osaa
3;opiskella;to study;(minä) opiskelen;(minä) en opiskele
1;oppia;to learn;(minä) opin;(minä) en opi
1;kysyä;to ask;(minä) kysyn;(minä) en kysy
4;vastata;to answer;(minä) vastaan;(minä) en vastaa
1;pyytää;to request;(minä) pyydän;(minä) en pyydä
1;sanoa;to say;(minä) sanon;(minä) en sano
1;kertoa;to tell;(minä) kerron;(minä) en kerro
3;keskustella;to chat;(minä) keskustelen;(minä) en keskustele
1;nukkua;to sleep;(minä) nukun;(minä) en nuku
4;herätä;to wake up;(minä) herään;(minä) en herää
3;nousta;to get up;(minä) nousen;(minä) en nouse
4;maata;to lay down;(minä) makaan;(minä) en makaa
3;pestä;to wash;(minä) pesen;(minä) en pese
4;tiskata;to wash dishes;(minä) tiskaan;(minä) en tiskaa
4;siivota;to clean;(minä) siivoan;(minä) en siivoa
2;imuroida;to vacuum;(minä) imuroin;(minä) en imuroi
2;uida;to swim;(minä) uin;(minä) en ui
3;kävellä;to walk;(minä) kävelen;(minä) en kävele
3;pyöräillä;to ride a bike;(minä) pyöräilen;(minä) en pyöräile
1;ajaa;to drive;(minä) ajan;(minä) en aja
3;juosta;to run;(minä) juoksen;(minä) en juokse
4;pelata;to play sports;(minä) pelaan;(minä) en pelaa
1;leikkiä;to play (child);(minä) leikin;(minä) en leiki
1;soittaa;to play / to call;(minä) soitan;(minä) en soita
1;ottaa;to take;(minä) otan;(minä) en ota
1;antaa;to give;(minä) annan;(minä) en anna
4;lainata;to borrow / lend;(minä) lainaan;(minä) en lainaa
4;tavata;to meet;(minä) tapaan;(minä) en tapaa
1;tutustua;to get to know;(minä) tutustun;(minä) en tutustu
2;tehdä;to do;(minä) teen;(minä) en tee
2;nähdä;to see;(minä) näen;(minä) en näe
1;katsoa;to watch;(minä) katson;(minä) en katso
3;tulla;to come;(minä) tulen;(minä) en tule
3;mennä;to go;(minä) menen;(minä) en mene
1;lähteä;to leave;(minä) lähden;(minä) en lähde
2;jäädä;to stay;(minä) jään;(minä) en jää
1;saapua;to arrive;(minä) saavun;(minä) en saavu
2;käydä;to visit;(minä) käyn;(minä) en käy
2;tuoda;to bring;(minä) tuon;(minä) en tuo
