Finnish;English
Yrtit ja Mausteet;Herbs and Spices
anis;aniseed
aromisuola;aroma of salt
basilika;basil
cayennepippuri;cayenne pepper
chili;chili
curry;curry
fenkoli;fennel
inkivääri;ginger
kaneli;cinnamon
kardemumma;cardamom
koiruoho;wordwood
korianteri;coriander
kumina;cumin
kurkuma;turmeric
laventeli;lavender
limetti;lime
maustepippuri;allspice
meirami;marjoram
minttu;mint
muskottipähkinä;nutmeg
mustapippuri;black pepper
oregano;oregano
paprika;paprika
persilja;parsley
piparjuuri;horseradish
piparminttu;peppermint
pippuri;pepper
punapippuri;red pepper
rakuuna;tarragon
rosmariini;rosmary
ruohosipuli;chives
sahrami;saffron
salvia;sage
seesami;sesame
sitruunamelissa;lemon balm
sokeri;sugar
suola;salt
tilli;dill
timjami;thyme
vanilja;vanilla
viherminttu;spearmint
viinimarja;currant
