Finnish;English;Hungarian
lintu;bird;madár
linnut;birds;madarak
fasaani;pheasant;fácán
haikara;stork;gólya
hanhi;goose;lúd
harakka;magpie;szarka
haukka;hawk;sas
joutsen;swan;hattyú
kakadu;cockatoo;kakadu
kanahaukka;goshawk;karvalyuk
kivitasku;wheatear;kőcinke
kolibri;hummingbird;kolibri
korppi;raven;rétisas
kotka;eagle;réti sas
kottarainen;starling;szarka (starling)
kuovi;curlew;kanyargó
kurki;crane;daru
kyyhky;dove;gerle
käki;cuckoo;kukukk
leivonen;lark;pacsirta
lokki;gull;sirály
maakotka;golden eagle;arany sas
metso;wood grouse;önálló tőkés réti
metsästyshaukka;falcon; sólyom
naakka, varis;rook, crow;varjú
närhi;jay;szajkó
palokärki;black woodpecker;fekete harkály
peipponen;chaffinch;pinty
pelikaani;pelican;pelikán
pingviini;penguin;pingvin
pulu;pigeon;galamb
punatulkku;bullfinch;kardinalis
pääskynen;swallow;fecske
pöllö;owl;bagoly
rastas;fieldfare;rigó
riikinkukko;peacock;páva
satakieli;nightingale;csalogány
sorsa;wild duck;vadkacsa
strutsi;ostrich;strucc
talitiainen;great tit;széncinege
teeri;black grouse;fekete rigó
tervapääsky;swift;fecskeféle
tiira;tern;süllő
tikka;woodpecker; harkály
tilhi;waxwing;szőlőrigó
törmäpääsky;bank swallow;partifecske
varpunen;sparrow;veréb
västäräkki;wagtail;csíz
haukkametsästys;falconry;sólyommérés
hautoa munia;to brood eggs;tojásokon kotlani
häkkilintu;cage bird;kalitkában tartott madár
höyhen;feather;toll
kuoriutua munasta;to hatch;kikel a tojásból
lentää;to fly;repülni
liitäminen;gliding flight;siklás
linnunlaulu;bird vocalization;madárdal
linnunparvi;bird flock;madárraj
linnunpesä;bird's nest;madárfészek
linnunpoikanen;chick, nestling;fióka
linnunpönttö;nest box;odú
lintubongaus;bird watching;madármegfigyelés
lintuhäkki;aviary;madárház
munia;to lay eggs;tojást rakni
muuttolintu;migratory bird;vonuló madár
nokka;beak;csőr
pesintä;nesting;fészkelés
pesiä;to nest;fészkelni
petolintu;bird of prey;ragadozó madár
pyrstö;tail;farok
pyrstösulat;tail feathers;faroktollak
ruokkia;to feed;etetni
räpylät;flippers;uszony
siipi;wing;szárny
siivet;wings;szárnyak
sulka;feather, plume;toll, tolltoll
untuvat;down feathers;pehelytollak
Aikainen lintu madon nappaa.;The early bird catches the worm., You have to be proactive if you want something.;A korai madár kapja el a férget.
Eihän korppi korpilta silmää puhkaise.;After all, a raven doesn't pierce the eye of a raven., Colleagues / partners look after one another.;Hiszen a varjú nem bökdösi a varjú szemét.
Ei yksi pääsky kesää tee.;One swallow doesn't make the summer., You can't really base any conclusions on one occurrence.;Egy fecske még nem csinál nyarat.
