Finnish;English;Hungarian
makean veden kala;freshwater fish;édesvízi hal
suolaisen veden kala;salt water fish;sós vízi hal
ahven;perch;perch
ankerias, nahkiainen;eel, lamprey;angolna
delfiini;dolphin;delfin
harjus;greyling;viza
harmaanieriä;lake trout;tavi pisztráng
hauki, mullo;pike, mullet;csuka
kampela, punakampela;flounder, plaice;lepényhal
kapakala;dried cod;szárított tőkehal
karppi;carp;ponty
kiiski;ruffe;keleti apróhal
kirjolohi;rainbow trout;szivárvány pisztráng
kolja, seiti;haddock;kolja
kuha;pikeperch;sügér
kuore;smelt;ezüstös hal
lahna;bream;lepény
lohi;salmon;lazac
makrilli;mackerel;makréla
meriahven;sea bass;kék sügér
meriantura;sole;nyelvhal
merilohi;Atlantic salmon;atlanti lazac
meritaimen;sea trout;tengeri pisztráng
miekkakala;swordfish;kardhal
miekkavalas;killer whale;gyilkos bálna
miljoonakala;guppy;guppi
muikku;vendace;muikku
nieriä;char;seb hal
pallas;halibut;laposhal
pallokala;pufferfish;gömbhal
piikkikampela;turbot;turbóhal
piraija;piranha;pirána
puna-ahven;red snapper;piros sügér
puronieriä;brook trout;patak pisztráng
rausku;manta ray;ördögcápa
ruutana;sturgeon;ősziharcsa
ryhävalas;humpback whale;humpback bálna
sardelli;anchovy;anchovi
seepia;cuttlefish;tintahal
siika, suutari;lake whitefish, tench;csukahal
silakka;Baltic herring;balti hering
silli;herring;hering
sinivalas;blue whale;kék bálna
särki;roach; vörös hal
säyne;ide, chub;sápi
taimen;trout;pisztráng
tiikerihai;tiger shark;tigriscápa
tonnikala;tuna;tonhal
turska;cod;tőkehal
simpukka;clam, mussel;kagyló
rapu;(hard-shell) crab;rák
äyriäinen;crayfish;őshüllő rák
hummeri;lobster;homár
osteri;oyster;osztriga
katkarapu;prawn, shrimp;garnélarák
langustirapu;spiny lobster;tarajos homár
merihevonen;seahorse;tengeri ló
meritähti;seastar;tengeri csillag
kalmari;squid;kalmar
meduusa;jellyfish;medúza
mustekala;octopus;polip
merimakkara;sea cucumber;tengeri uborka
meressä;in a / the sea;a tengerben
järvessä;in a / the lake;a tóban
aalto, aallot;wave, waves;hullám, hullámok
vedenpinta;surface of the water;vízfelszín
meren pohja;seabed;tengerfenék
evä;fin;úszó
suomu;scale; pikkely
selkärangaton;invertebrate;gerinctelen
lonkero;tentacle;csáp
merirokko;barnacle;rákfejű kagyló
pyrstö;fish tail;farok
koralli;coral;korall
plankton;plankton;plankton
Hän on kuin kala vedessä;He's like a fish in the water, He's in his element somewhere.;Olyan, mint a hal a vízben
Kateus vie kalatkin vedestä;Jealousy removes the fish from the water as well, When you're jealous you see nothing positive anymore.;A féltékenység még a halakat is eltávolítja a vízből
Ei kala miestä hae, jollei mies kalaa;A fish won't try to get a man if the man doesn't try to get the fish, If you want something, you have to go for it.;A hal nem keres embert, ha az ember nem keresi a halat
Isoa kalaa kannattaa pyytää, vaikkei aina saisikaan;You should ask for a big fish, even if you don't get it, It's always worth asking for something.;Érdemes nagy halat kérni, még ha nem is kapod meg
Tyynessä vedessä ne suuret kalat kutevat;It's in still waters that the big fish spawn, Still waters run deep;A nagy halak nyugodt vizekben ívnak
