Finnish;English;Hungarian
hyönteinen;insect;rovar
ötökkä, kovakuoriainen;bug, beetle;bogár
kärpänen;fly;légy
hyttynen / sääski;mosquito;szúnyog
perhonen;butterfly;pillangó
ampiainen;wasp;darázs
mehiläinen;bee;méh
kimalainen;bumblebee;poszméh
paarma;horsefly;lócsípő
leppäkerttu;ladybug;katicabogár
sudenkorento;dragonfly;szitakötő
heinäsirkka;grasshopper;szöcske
muurahainen;ant;hangya
hämähäkki;spider;pók
mato;worm;féreg
punkki;tick;kullancs
kirppu;flea;bolha
täi;louse;tetű
lude;bedbug;ágyi poloska
satiainen;groin louse;ágyéktetű
loinen;parasite;parazita
syöpäläiset;vermin;kártevők
toukka;larva;hernyó
verkkosilmät;compound eyes;összetett szem
siipi;wing;szárny
pölyttäjä;pollinator;megporzó
munia;to lay eggs;tojást rakni
parvi;swarm;raj
kuningatar;queen;királynő
kuhnuri;drone;darázs hím
siitepöly;pollen;virágpor
tuntosarvet;antennae;érzékszerv
mehiläisyhdyskunta, mehiläispesä;bee colony, beehive;méhkas
hunajakenno;honeycomb;mézsejt
parveilu;swarming;rajzás
muurahaiskeko;ant hill;hangyaboly
Hän ei tee pahaa kärpäsellekään.;He doesn't do bad even to flies., He's harmless, really nice.;Még a legyeknek sem árt.
Älä tee kärpäsestä härkästä.;Don't make a fly into a "härkänen"., Don't make a mountain out of a mole hill.;Ne csinálj legyből bivalyt.
Olisi ollut kiva olla kärpäsenä katossa tarkkailemassa.;It would have been nice to watch as a fly from the ceiling., I'd have liked to look in undetected.;Jó lett volna legyként a plafonról figyelni.
Minulla on perhosia vatsassa.;I have butterflies in my stomach., I'm excited / nervous.;Pillangóim vannak a gyomromban.
