Finnish;English;Hungarian
nisäkäs;mammal;emlős
ahma;wolverine;hiúzborz
apina;monkey;majom
delfiini;dolphin;delfin
dromedaari;dromedary;egypúpú teve
fretti;ferret;rókaferret
gepardi;cheetah;gepárd
gorilla;gorilla;gorilla
haisunäätä;skunk;prérifarkas
hamsteri;hamster;törpesün
hevonen;horse;ló
hiiri;mouse;egér
hirvi, metsäkauris;moose, roe deer;őz
hylje;seal;fóka
härkä;ox;ökör
ihminen;human;ember
ilves;lynx;hiúz
jaguaari;jaguar;jaguár
jänis;rabbit;nyúl
karhu;bear;medve
karitsa;lamb;bárány
karja;cattle;szarvasmarha
karju;boar;vaddisznó
kettu;fox;róka
kirahvi;giraffe;zsiráf
kissa;cat;macska
koala;koala;koala
kojootti;coyote;kóbor farkas
kuusipeura, saksanhirvi;fallow deer, red deer;gímszarvas
lammas;sheep;juhr
lehmä;cow;tehén
leijona;lion;oroszlán
leopardi;leopard;leopárd
lepakko;bat;pillecukor
liito-orava;flying squirrel;repülő mókus
majava;beaver;hód
marsu;guinea pig;tengeri malac
mursu;walrus;walrus
myyrä;mole;vakond
mäyrä;badger;borz
naali;arctic fox;északi róka
norsu;elephant;elefánt
näätä;marten;nyest
orava;squirrel;mókus
ori;stallion;mén
panda;panda;panda
peura;caribou;szarvas
poro;reindeer;rénszarvas
pukki;billy goat;kecskebakk
sarvikuono;rhino;orrszarvú
saukko;otter;vidra
siili;hedgehog;sün
sika;pig;disznó
sonni;bull;bika
supikoira;raccoon dog;mosómedvekutya
susi;wolf;farkas
tamma;mare;kanca
tiikeri;tiger;tigris
valas;whale;bálna
varsa;foal;csikó
vasikka;calf;bika borjú
visentti;bison;wisent
vuohi;goat;kecske
Terve kuin pukki.;Healthy as a billy goat., Very healthy.;Egészséges, mint a bak.
Hänellä on oma lehmä ojassa.;He / she has their own cow in the ditch., They have their own good in mind.;Van saját érdeke.
Älä osta sikaa säkissä.;Don't buy a pig in a bag., Don't buy something without checking it first.;Ne vegyél zsákbamacskát.
Rahalla saa ja hevosella pääsee.;With money you get (something) and with a horse you get (somewhere)., Everything has its price.;Mindennek ára van.
Koira on ihmisen paras ystävä.;The dog is man's best friend.;A kutya az ember legjobb barátja.
