Finnish;English;hungarian
Kysymyksiä lääkärikäynnillä;Questions at the doctor's office;Kérdések az orvos látogatásán
Mikä sinua vaivaa?;What's wrong with you?;Mi a baj veled?
Mikä teitä vaivaa?;What's wrong with you (politer)?;Mi bajod van?
Minkälaista vaivaa teillä on?;What's troubling you?;Milyen bajod van?
Mikä tuo sinut tänne?;What brings you here?;Mi szél hozta ide?
Milloin olet viimeksi käynyt lääkärillä?;When have you last been at the doctor's?;Mikor voltál utoljára orvosnál?
Milloin nämä oireet alkoivat?;When did these symptoms start?;Mikor kezdődtek ezek a tünetek?
Kuinka kauan nämä oireet ovat jatkuneet?;How long have these symptoms continued?;Mennyi ideig tartanak ezek a tünetek?
Kuinka kauan sinulla on ollut yskä?;How long have you had a cough?;Mióta köhög?
Onko sinulla ollut kuumetta, Onko lämpöä ollut?;Have you had a fever?;lázas volt?
Onko sinulla kuumetta?;Do you have a fever?;lázad van?
Mihin sattuu?;Where does it hurt?;Hol fáj?
Missä tilanteessa kipu tulee?;In what situations does it hurt?;Milyen helyzetben jelentkezik a fájdalom?
Onko tämä kipeä tästä kohdasta?;Does it hurt in this spot?;Fáj ez a rész?
Sattuuko tämä?;Does this hurt?;Ez fáj?
Kuinka voimakasta kipu on?;How strong is the pain?;Mennyire erős a fájdalom?
Onko teillä ennen ollut tällaisia oireita?;Have you had these kinds of symptoms before?;Voltak már ilyen tüneteid?
Harrastatko mitään liikuntaa?;Do you do any sports?;Csinálsz valamilyen gyakorlatot?
Mitä olet syönyt / juonut?;What have you eaten  /drunk?;mit ettél / ittál?
Oletko syönyt mitään erikoista?;Have you eaten anything unusual?;Ettél valami különlegeset?
Muistatko yhtään, milloin tuo tapahtui?;Can you at all recall when that happened?;Emlékszel egyáltalán, mikor történt?
Muistatko yhtään, mikä lääke se oli?;Can you at all recall what medicine that was?;Emlékszel egyáltalán, milyen gyógyszer volt ez?
Onko sinulla allergioita?;Do you have allergies?;Allergiás vagy valamire?
Otatko tällä hetkellä mitään lääkkeitä?;Are you currently using any medication?;Szed-e jelenleg valamilyen gyógyszert?
Onko sinulla muuta kuin tämä lääke käytössä?;Are you using any medicines besides this?;Használ mást, mint ezt a gyógyszert?
Miten olet nukkunut viime aikoina?;How have you slept lately?;Hogy aludtál mostanában?
Oletko koskaan ollut leikkauksessa?;Have you ever been in surgery?;Voltál már műtéten?
Oireiden kuvailu;Describing the symptoms;A tünetek leírása
Minua pyörryttää.;I feel dizzy.;Szédülök.
Minä olen sairas.;I'm sick.;Beteg vagyok.
Minä voin pahoin.;I feel sick.;Betegnek érzem magam.
Minulla on huono olo.;I feel bad.;Rosszul érzem magam.
Minä olen vilustunut.;I have a cold.;Megfáztam.
Tähän koskee.;It hurts here.;Erre vonatkozik.
Minua oksettaa.;I feel like throwing up, I'm nauseous.;Betegnek érzem magamat.
Olen oksentanut.;I have thrown up.;felhánytam.
Minulla on kuumetta.;I have a fever.;Lázam van.
Minulla ei ole kuumetta.;I don't have a fever.;nincs lázam.
Olen saanut haavan.;I have cut myself.;Van egy sebem.
Olen polttanut itseni.;I've burned myself.;Megégettem magam.
Olen kaatunut.;I've fallen.;elestem.
Selkä on kipeä. Selkää särkee. Minulla on selkä kipeä.;My back hurts.;Fáj a hátam. Fáj a hátam. Fáj a hátam.
Käärme on purrut minua.;A snake bit me.;Egy kígyó megharapott.
Minulla on yhtäkkiä alkanut särkeä päätä.;I've started to get headaches suddenly.;hirtelen megfájdul a fejem.
Pari viikkoa sitten alkoi sattua tähän kohtaan.;A few weeks ago it started hurting here.;Pár hete elkezdett itt fájni.
En ole pystynyt kävelemään normaalisti.;I haven't been able to walk normally.;Nem tudtam normálisan járni.
En ole pystynyt kumartumaan.;I haven't been able to bend over.;Nem tudtam lehajolni.
Niskani tuntuu todella jäykältä.;My neck feels really stiff.;Nagyon merevnek érzem a nyakam.
Hengittäminen on vaikeaa.;It's hard to breathe.;Nehéz a légzés.
Minulla on kovia pääkipuja.;I have terrible headaches.;erős fejfájásom van.
Minulla on ripuli.;I have diarrhea.;Hasmenésem van.
Vatsaan sattuu todella paljon.;My stomach really hurts.;Nagyon fáj a hasam.
Niska on jumissa.;My neck is stuck.;A nyak elakadt.
Lääkärin kehotuksia;Doctor requests;Orvosi utasítások
Riisu alusvaatteisiisi / alusvaatteisillesi.;Strip down to your underwear.;Vetkőzz le a fehérneműre / alsóneműre.
Ota paita pois. Riisu paitasi.;Remove your shirt.;Vedd le az inget. Vedd le a pólód.
Otapa kenkä pois.;Please remove your shoe.;Vegye le a cipőjét.
Hengitä sisään!;Breathe in!;Lélegezz be!
Hengitä ulos!;Breathe out!;Kilélegez!
Hengitä ihan normaalisti!;Just breathe normally!;Lélegezz normálisan!
Hengitä ulos hitaasti!;Breathe out slowly!;Lassan lélegezzen ki!
Pidätä hengitystäsi!;Hold your breath!;Tartsa vissza a lélegzetét!
Älä pidätä hengitystäsi.;Don't hold your breath.;Ne tartsa vissza a lélegzetét.
Tutkitaan vähän!;Let's check this out!;Kutassunk egy kicsit!
Punnitaan sinut / teidät.;Let's weigh you (singular / plural).;Megmérjük Önt/Téged.
Mikä verran painatte?;How much do you weigh?;Mennyi a súlyod?
Kurkistetaan korviin.;Let's take a look in your ears.;Nézzünk a fülekbe.
Anna kun kuuntelen keuhkoja.;Let me listen to your lungs.;Hadd hallgassam a tüdőt.
Mitataan verenpainetta.;Let's measure your blood pressure.;Mérjük meg a vérnyomást.
Katsotaanpa sitten verenpaineet.;Let's look at the blood pressure then.;Akkor nézzük a vérnyomást.
