Finnish;English
jokamiehenoikeudet;everyman's rights
marjat;berries
boysenmarja;boysenberry
juolukka;bog whortleberry
karhunvatukka;blackberry
karpalo;cranberry
karviaismarja;gooseberry
kirsikka;cherry
lakka;cloudberry
lillukka;stone bramble
mansikka;strawberry
mesimarja;arctic bramble
metsämansikka;wild strawberry
mustikka;blueberry
mustaherukka;blackcurrant
pihlajanmarja;rowanberry
punaherukka;red currant
puolukka;lingonberry
tyrni;buckthorn
vadelma;raspberry
variksenmarja;black crowberry
viinimarja;currant
hillomarja;berry for jam
luonnonmarja;berry in nature
metsämarja;berry in forest
puutarhamarja;berry in garden
talousmarja;cultivated berry
pakastemarja;frozen berry
marja;berry
pensas;shrub, bush
sato;harvest
hillo;jam
hyytelö;jelly
kiisseli;kissel
(tuore)mehu;juice
marjakeitto;berry soup
mustikkapiirakka;blueberry pie
makea;sweet
hapan;sour
raaka;green, raw
kypsä;ripe
kypsyä;to ripen
kukkia;to blossom
poimia marjoja, marjastaa;to pick berries
kerätä;to collect
mennä marjaan;to go to pick berries
olla marjassa;to be picking berries
säilöä;to conserve
survoa;to crush
marjastaja;berry picker
mehumaija;steam juicer
mehustin;steam juicer
