Finnish;English
lintu;bird
linnut;birds
fasaani;pheasant
haikara;stork
hanhi;goose
harakka;magpie
haukka;hawk
joutsen;swan
kakadu;cockatoo
kanahaukka;goshawk
kivitasku;wheatear
kolibri;hummingbird
korppi;raven
kotka;eagle
kottarainen;starling
kuovi;curlew
kurki;crane
kyyhky;dove
käki;cuckoo
leivonen;lark
lokki;gull
maakotka;golden eagle
metso;wood grouse
metsästyshaukka;falcon
naakka;rook
närhi;jay
palokärki;black woodpecker
peipponen;chaffinch
pelikaani;pelican
pingviini;penguin
pulu;pigeon
punatulkku;bullfinch
pääskynen;swallow
pöllö;owl
rastas;fieldfare
riikinkukko;peacock
satakieli;nightingale
sorsa;wild duck
strutsi;ostrich
talitiainen;great tit
teeri;black grouse
tervapääsky;swift
tiira;tern
tikka;woodpecker
tilhi;waxwing
törmäpääsky;bank swallow
varis;crow
varpunen;sparrow
västäräkki;wagtail
haukkametsästys;falconry
hautoa munia;to brood eggs
häkkilintu;cage bird
höyhen;feather
kuoriutua munasta;to hatch
lentää;to fly
liitäminen;gliding flight
linnunlaulu;bird vocalization
linnunparvi;bird flock
linnunpesä;bird's nest
linnunpoikanen;chick, nestling
linnunpönttö;nest box
lintubongaus;bird watching
lintuhäkki;aviary
munia;to lay eggs
muuttolintu;migratory bird
nokka;beak
pesintä;nesting
pesiä;to nest
petolintu;bird of prey
pyrstö;tail
pyrstösulat;tail feathers
ruokkia;to feed
räpylät;flippers
siipi;wing
siivet;wings
sulka;feather, plume
untuvat;down feathers
