Finnish;English;Hungarian
kasvot, naama;face;arc
pää;head;fej
huuli, huulet;lip, lips;ajak
suu;mouth;száj
kieli;tongue;nyelv
nenä;nose;orr
sierain, sieraimet;nostril, nostrils;orrlyuk
poski, posket;cheek, cheeks;orca
poskipää, poskipäät;cheekbone, cheekbones;járomcsont
otsa;forehead;homlok
silmä, silmät;eye, eyes;szem
silmäripsi, ripset;eyelash, lashes;szempilla
hiukset, tukka;hair;haj
ohimo, ohimot;temple, temples;halánték
korva, korvat;ear, ears;fül
kulmakarvat;eyebrows;szemöldök
leuka;chin;áll
kaula;neck;nyak
niska;back of the neck;tarkó
takaraivo;back of head;fej hátsó része
vatsa;stomach;gyomor
maha;belly;has
vyötärö;waist;derék
napa;navel, belly button;köldök
rintakehä, rinta;chest;mellkas
rinta, rinnat;breast, breasts;mell
tissit (informal);boobs;cici
selkä;back;hát
alaselkä;lower back;derék alsó része
yläselkä;upper back;háti rész
selkäranka;spine;gerinc
kylki, kyljet;side, sides;oldal
lonkka, lonkat;hip, hips;csípő
peppu, takapuoli;butt;fenék
kainalo, kainalot;armpit, armpits;hónalj
käsi, kädet;hand, arm;kéz, kar
käsivarsi, käsivarret;arm, arms;kar
kämmen, kämmenet;palm of hand(s);tenyér
kädenselkä, kädenselät;back of hand(s);kézfej
nyrkki, nyrkit;fist, fists;ököl
sormi, sormet;finger, fingers;ujj
etusormi, etusormet;index finger, index fingers;mutatóujj
peukalo, peukalot;thumb, thumbs;hüvelykujj
keskisormi, keskisormet;middle finger, middle fingers;középsőujj
nimetön, nimettömät;ring finger, ring fingers;gyűrűsujj
pikkurilli, pikkurillit;little finger, little fingers;kisujj
kynsi, kynnet;nail, nails;köröm
ranne, ranteet;wrist, wrists;csukló
kyynärpää, kyynärpäät;elbow, elbows;könyök
kyynärvarsi, käsivarret;forearm, forearms;alkar
olkapää, olkapäät;shoulder, shoulders;váll
olkavarsi, olkavarret;upper arm, upper arms;felkar
jalka, jalat;leg, foot;láb
jalkaterä, jalkaterät;foot, feet;lábfej
jalkapohja, jalkapohjat;sole of foot, soles of feet;talp
kantapää, kantapäät;heel, heels;sarok
polvi, polvet;knee, knees;térd
nilkka, nilkat;ankle, ankles;boka
pohje, pohkeet;calf, calves;vádli
sääri, sääret;shin, shins;lábszár
reisi, reidet;thigh, thighs;comb
lantio;pelvis;medence
varvas, varpaat;toe, toes;lábujj
