Finnish;English;Hungarian
Luut;Bones;Csontok
häntäluu;tail bone;farokcsont
kylkiluu;rib;borda
kyynärluu;ulna;singcsont
lantioluu;pelvic bone;medencecsont
lapaluu;shoulder blade;lapocka
nenäluu;nasal bone;orrcsont
nikamat;vertebrae;csigolyák
olkaluu;humerus;felkarcsont
poskiluu;cheekbone;járomcsont
pääkallo;skull;koponya
rintalasta;sternum;szegycsont
rystyset;knuckles;bütykök
selkäranka;spine;gerinc
solisluu;clavicle;kulcscsont
haima;pancreas;hasnyálmirigy
keuhkot;lungs;tüdők
kohtu;womb;méh
laskimo;vein;véna
maksa;liver;máj
mahalaukku;stomach;gyomor
munasarja;ovaries;petefészek
munuaiset;kidneys;vesék
paksusuoli;colon;vastagbél
perna;spleen;lép
peräsuoli;rectum;végbél
ohutsuoli;small intestine;vékonybél
sappirakko;gall bladder;epehólyag
suoli;bowel, gut;bele
sydän;heart;szív
umpisuoli;appendix;vakbél
valtimo;artery;artéria
verisuoni;blood vessel;ér
virtsarakko;bladder;húgyhólyag
aivot;brain;agy
Mun äijän käytös ottaa aivoon.;(My guy's behavior takes to the brain.) My guy's behavior annoys me.;A fickóm viselkedése idegesít.
Hänellä ei ollut selkärankaa kieltäytyä lahjuksista.;(He didn't have the spine to turn down the bribes.) He wasn't strong enough not to accept the bribes.;Nem volt gerince, hogy visszautasítsa a kenőpénzt.
Hänellä on kirjailijan verta suonissaan.;(He has the blood of a writer in his veins.) He's a born writer, is talented, has an affinity for writing.;Íróvér van az ereiben.
Se ei mahdu kallooni.;(It doesn't fit in my skull.) I don't understand, don't believe it.;Nem fér a fejembe.
Hän huusi täysin keuhkoin.;(He screamed with full lungs.) He screamed as loud as he could.;Teljes tüdőből kiabált.
Hänellä on sydän paikallaan.;(She has the heart on its place.) She's good-hearted, she tries to do well.;Jó szíve van, kedves, jószívű.
