Finnish;English;Hungarian
Mikä sinua vaivaa?;What's wrong with you?;Mi a bajod?
Mikä teitä vaivaa?;What's wrong with you (politer)?;Mi a problémájuk?
Minkälaista vaivaa teillä on?;What's troubling you?;Milyen problémájuk van?
Mikä tuo sinut tänne?;What brings you here?;Mi hozott ide?
Milloin olet viimeksi käynyt lääkärillä?;When have you last been at the doctor's?;Mikor voltál utoljára orvosnál?
Milloin nämä oireet alkoivat?;When did these symptoms start?;Mikor kezdődtek ezek a tünetek?
Kuinka kauan nämä oireet ovat jatkuneet?;How long have these symptoms continued?;Mennyi ideje tartanak ezek a tünetek?
Kuinka kauan sinulla on ollut yskä?;How long have you had a cough?;Mennyi ideje van köhögésed?
Onko sinulla ollut kuumetta?;Have you had a (higher)fever?;Volt lázad?
Onko sinulla kuumetta?;Do you have a fever?;Van lázad?
Onko lämpöä ollut?;Have you had a fever?;Volt-e hőemelkedésed?
Mihin sattuu?;Where does it hurt?;Hol fáj?
Missä tilanteessa kipu tulee?;In what situations does it hurt?;Milyen helyzetekben fáj?
Onko tämä kipeä tästä kohdasta?;Does it hurt in this spot?;Fáj itt ezen a helyen?
Sattuuko tämä?;Does this hurt?;Ez fáj?
Kuinka voimakasta kipu on?;How strong is the pain?;Milyen erős a fájdalom?
Onko teillä ennen ollut tällaisia oireita?;Have you had these kinds of symptoms before?;Volt már hasonló tünetük korábban?
Harrastatko mitään liikuntaa?;Do you do any sports?;Végez valamilyen sportot?
Mitä olet syönyt / juonut?;What have you eaten / drunk?;Mit ettél / ittál?
Oletko syönyt mitään erikoista?;Have you eaten anything unusual?;Ettél valami különöset?
Muistatko yhtään, milloin tuo tapahtui?;Can you at all recall when that happened?;Emlékszel egyáltalán, mikor történt ez?
Muistatko yhtään, mikä lääke se oli?;Can you at all recall what medicine that was?;Emlékszel, milyen gyógyszer volt az?
Onko sinulla allergioita?;Do you have allergies?;Vannak allergiáid?
Otatko tällä hetkellä mitään lääkkeitä?;Are you currently using any medication?;Szedsz jelenleg valamilyen gyógyszert?
Onko sinulla muuta kuin tämä lääke käytössä?;Are you using any medicines besides this?;Használsz más gyógyszert ezen kívül?
Miten olet nukkunut viime aikoina?;How have you slept lately?;Hogyan aludtál mostanában?
Oletko koskaan ollut leikkauksessa?;Have you ever been in surgery?;Voltál valaha műtéten?
Minua pyörryttää.;I feel dizzy.;Szédülök.
Minä olen sairas.;I'm sick.;Beteg vagyok.
Minä voin pahoin.;I feel sick.;Rosszul érzem magam.
Minulla on huono olo.;I feel bad.;Rosszullétet érzek.
Minä olen vilustunut.;I have a cold.;Megfáztam.
Tähän koskee.;It hurts here.;Itt fáj.
Minua oksettaa.;I feel like throwing up / I'm nauseous.;Hányingerem van.
Olen oksentanut.;I have thrown up.;Hánytam.
Minulla on kuumetta.;I have a fever.;Lázam van.
Minulla ei ole kuumetta.;I don't have a fever.;Nincs lázam.
Olen saanut haavan.;I have cut myself.;Megvágtam magam.
Olen polttanut itseni.;I've burned myself.;Megégettem magam.
Olen kaatunut.;I've fallen.;Elesettem.
Selkä on kipeä. Selkää särkee. Minulla on selkä kipeä.;My back hurts.;Fáj a hátam.
Käärme on purrut minua.;A snake bit me.;Megcsípett egy kígyó.
Minulla on yhtäkkiä alkanut särkeä päätä.;I've started to get headaches suddenly.;Hirtelen elkezdett fájni a fejem.
Pari viikkoa sitten alkoi sattua tähän kohtaan.;A few weeks ago it started hurting here.;Néhány hete kezdett fájni itt.
En ole pystynyt kävelemään normaalisti.;I haven't been able to walk normally.;Nem tudtam rendesen járni.
En ole pystynyt kumartumaan.;I haven't been able to bend over.;Nem tudtam lehajolni.
Niskani tuntuu todella jäykältä.;My neck feels really stiff.;A nyakam nagyon merevnek tűnik.
Hengittäminen on vaikeaa.;It's hard to breathe.;Nehezen kapok levegőt.
Minulla on kovia pääkipuja.;I have terrible headaches.;Erős fejfájásom van.
Minulla on ripuli.;I have diarrhea.;Hasmenésem van.
Vatsaan sattuu todella paljon.;My stomach really hurts.;Nagyon fáj a hasam.
Niska on jumissa.;My neck is stuck.;A nyakam be van feszülve.
Riisu alusvaatteisiisi / alusvaatteisillesi.;Strip down to your underwear.;Vedd le az alsóneműdet.
Ota paita pois. Riisu paitasi.;Remove your shirt.;Vedd le az ingedet.
Otapa kenkä pois.;Please remove your shoe.;Kérlek, vedd le a cipődet.
Hengitä sisään!;Breathe in!;Lélegezz be!
Hengitä ulos!;Breathe out!;Lélegezz ki!
Hengitä ihan normaalisti!;Just breathe normally!;Csak lélegezz normálisan!
Hengitä ulos hitaasti!;Breathe out slowly!;Lassan lélegezz ki!
Pidätä hengitystäsi!;Hold your breath!;Tartsd vissza a lélegzeted!
Älä pidätä hengitystäsi.;Don't hold your breath.;Ne tartsd vissza a lélegzeted!
Tutkitaan vähän!;Let's check this out!;Nézzük meg egy kicsit!
Punnitaan sinut / teidät.;Let's weigh you (singular / plural).;Mérjük meg a súlyodat / a súlyotokat.
Mikä verran painatte?;How much do you weigh?;Mennyit nyomsz?
Kurkistetaan korviin.;Let's take a look in your ears.;Nézzünk bele a füledbe.
Anna kun kuuntelen keuhkoja.;Let me listen to your lungs.;Hadd hallgassam meg a tüdejét.
Mitataan verenpainetta.;Let's measure your blood pressure.;Mérjük meg a vérnyomást.
Katsotaanpa sitten verenpaineet.;Let's look at the blood pressure then.;Nézzük meg a vérnyomást akkor.
Näytä kieltäsi.;Show your tongue.;Mutasd a nyelved.
Nousepa seisomaan.;Please stand up.;Kérlek, állj fel.
Verenpaine on (hieman) liian korkea.;The blood pressure is (a little) too high.;A vérnyomás (kissé) túl magas.
Verenpaineesi on matala.;Your blood pressure is low.;A vérnyomásod alacsony.
Älä huoli.;Don't worry.;Ne aggódj.
Mitään turvotusta ei näy.;There is no swelling visible.;Nem látszik semmi duzzanat.
Sinun pitää käydä rokotuksessa.;You need to get vaccinated.;Be kell oltatnod magad.
Tarvitset jäykkäkouristusrokotuksen.;You need a vaccine for tetanus.;Tetanusz elleni oltásra van szükséged.
Kirjoitan sinulle lähetteen silmälääkärille.;I'll write you a referral to an eye specialist.;Írok neked beutalót szemészhez.
Biopsia osoittaa kasvaimen.;The biopsy shows a tumor.;A biopszia daganatot mutat.
Testitulokset ovat saapuneet.;The test results have come in.;Megérkeztek a vizsgálati eredmények.
Verikokeessa ei näkynyt mitään erikoista.;There was nothing special visible in the blood test.;A vérvizsgálatban nem látszott semmi különös.
Verikokeessa ei löytynyt viruksen vasta-aineita.;The blood test didn't detect any antibodies to the virus.;A vérvizsgálat nem talált antitesteket a vírusra.
Verikokeessa ei todettu mitään poikkeavaa.;There were no abnormalities in the blood tests.;A vérvizsgálatban nem találtak rendellenességet.
Testitulokset saapuvat parissa päivässä.;The test results will arrive in a couple of days.;A vizsgálati eredmények pár napon belül megérkeznek.
Kirjoitan sinulle reseptin.;I'll write you a prescription.;Felírok neked egy receptet.
Sinulla on sähköinen resepti.;You have an electronic prescription.;Elektronikus recepted van.
Paranet todennäköisesti parissa päivässä.;You will probably recover in a couple of days.;Valószínűleg pár nap alatt fel fogsz gyógyulni.
Oireet eivät viitaa mihinkään vakavampaan.;The symptoms don't imply anything more serious.;A tünetek nem utalnak komolyabb problémára.
Kirjoitan sinulle kolmen päivän sairausloma.;I'll write you three days of sickness leave.;Felírok neked három nap betegszabadságot.
Mene kotiin ja lepää.;Go home and rest.;Menj haza és pihenj.
Ota tämä lääke kolme kertaa päivässä.;Take this medicine three times a day.;Ezt a gyógyszert vedd be naponta háromszor.
Ota tämä lääke heti aamulla.;Take this medicine right away in the morning.;Vedd be ezt a gyógyszert reggel azonnal.
Ota tämä lääke ennen nukkumaanmenoa.;Take this medicine before bedtime.;Vedd be ezt a gyógyszert lefekvés előtt.
Käy apteekissa hakemassa nämä lääkkeet.;Go get these medicines from the pharmacy.;Menj a gyógyszertárba ezekért a gyógyszerekért.
Juo runsaasti nestettä mutta vältä alkoholia.;Drink a lot of fluids but avoid alcohol.;Igyál sok folyadékot, de kerüld az alkoholt.
Varaa uusi vastaanottoaika viikon päästä.;Reserve a new apointment for next week.;Foglalj új időpontot a következő hétre.
Ota yhteyttä, jos oireet jatkuvat.;Contact us if the symptoms persist.;Lépj kapcsolatba velünk, ha a tünetek továbbra is fennállnak.
Katsotaan, miltä se kahden kuukauden päästä näyttää.;Let's see how it looks two months from now.;Nézzük meg, hogy két hónap múlva hogy néz ki.
