Finnish;English;Hungarian
ahdistushäiriö;anxiety disorder;szorongásos zavar
aivohalvaus;a stroke;agylágyulás
aivotärähdys;a concussion;agycsapás
ajos, paise;an abscess;tályog
allergia;allergy;allergia
anemia;anemia;vérszegénység
auringonpistos;sunstroke;napgörcs
astma;asthma;asztma
bronkiitti;bronchitis;hörghurut
emätintulehdus;vaginal infection;hüvelyfertőzés
epilepsia;epilepsy;epilepszia
eturauhassyöpä;prostate cancer;prosztatarák
flunssa;flu, influenza;influenza
heinänuha;hay-fever;szénanátha
hengitysvaikeuksia;difficulty breathing;légzési nehézség
ihotauti;skin disease;bőrbetegség
ihottuma;a rash;kiütés
inkontinenssi;incontinence;inkontinencia
keskenmeno;miscarriage;vetélés
keuhkokuume;pneumonia;tüdőgyulladás
kitarisantulehdus;tonsillitis;mandulagyulladás
korvatulehdus;ear infection;fülgyulladás
lavantauti;typhoid;typhus
leukemia;leukemia;leukémia
malaria;malaria;malária
masennus;depression;depresszió
merisairaus;sea-sickness;tengeri betegség
migreeni;migraine;migrén
munuaiskivi;kidney stone;vesekő
nivelreuma;arthritis;ízületi gyulladás
noidannuoli;lumbago;derékfájás
närästys;heartburn;gyomorégés
pahoinvointi;nausea;hányinger
paleltuma;frostbite;fagyás
paniikkikohtaus;panic attack;pánikroham
polio;polio;polio
rintasyöpä;breast cancer;mellrák
sairaus;illness;betegség
tartunta;infection;fertőzés
tuberkuloosi;tuberculosis;tuberkulózis
raskausmyrkytys;pre-eclampsia;terhességi toxémia
reumatismi;rheumatism;reuma
ripuli;diarrhea;hasmenés
ruokamyrkytys;food poisoning;ételmérgezés
sappikivi;gall stone;epekő
selkäsärky, selkäkipu;back ache;hátfájás
sikotauti;mumps;mumpsz
sokeritauti, diabetes;diabetes;cukorbetegség
sokki;shock;shock
sukupuolitauti;venereal disease;nemi betegség
sydänkohtaus;heart attack;szívinfarktus
sydänvika;heart problem;szívprobléma
syöpä;cancer;rák
trauma;trauma;trauma
traumaperäinen stressihäiriö;PTSD;poszttraumás stressz zavar
tuhkarokko;scarlet fever;skarlát
ummetus;constipation;székrekedés
umpisuolentulehdus;appendicitis;vakbélgyulladás
unettomuus;insomnia;inszomnia
vatsahaava;stomach ulcer;gyomorfekély
vesirokko;chicken pox;bárányhimlő
Olen sairas.;I'm sick.;Beteg vagyok.
Minulla on huono olo.;I don't feel well.;Rosszul érzem magam.
En voi hyvin.;I'm not doing well.;Nem vagyok jól.
En tiedä, mikä minua vaivaa.;I don't know what's wrong with me.;Nem tudom, mi bajom van.
Tarvitsen lääkärin.;I need a doctor.;Orvosra van szükségem.
Tarvitsen lääkettä.;I need medication.;Gyógyszerre van szükségem.
Haluan varata ajan lääkärille.;I want to make an appointment with a doctor.;Időpontot szeretnék kérni az orvoshoz.
Voisitko soittaa ambulanssin?;Could you call an ambulance?;Tudnál mentőt hívni?
Tarvitsen lääkärintodistuksen.;I need a doctor's note.;Orvosi igazolásra van szükségem.
En voi tulla kouluun tänään.;I can't come to school today.;Ma nem tudok iskolába menni.
En voi tulla töihin tänään.;I can't come to work today.;Ma nem tudok dolgozni menni.
