Finnish;English;hungarian
Pää;Head;Fej
kasvot, naama;face;arc
hammas;tooth;fog
hiukset, tukka;hair;haj
huuli;lip;ajak
kaula;neck;nyak
kieli;tongue;nyelv
korva;ear;fül
kulmakarvat;eyebrows;szemöldök
leuka;chin;állkapocs
nenä;nose;orr
niska;back of the neck;nyak hátsó része
ohimo;temple;a fej oldala a szemek mögött
otsa;forehead;homlok
poski;cheek;arcát
poskipää;cheekbone;arccsont
ripsi;eyelash;szempilla
sierain;nostril;orrlyuk
silmä;eye;szem
suu;mouth;száj
takaraivo;back of head;nyakszirt
Raajat;Appendages;Végtagok
jalka;leg;láb
jalka(terä);foot;láb(fej)
jalkapohja;sole of foot;a lábfej
kantapää;heel;sarok
kyynärpää;elbow;könyök
kyynärvarsi;forearm;alkar
kämmen;palm of hand;tenyér
käsi;hand;kéz
käsi(varsi);arm;kar
kädenselkä;back of hand;a kézfejét
nilkka;ankle;boka
olkapää;shoulder;váll
olkavarsi;upper arm;felkar
pohje;calf;vádli
polvi;knee;térd
ranne;wrist;csukló
reisi;thigh;comb
sormi;finger;ujj
sääri;shin;Lábszár
varvas;toe;lábujj
Runko;Torso;Test
alaselkä;lower back;hát alsó része
kainalo;armpit;hónalj
kylki;side;oldal
lonkka;hip;csípő
napa;navel;köldök
peppu, takapuoli;butt;fenék
rinta;breast, chest;mell
tissit;boobs;fajankó
rinnat;breasts;mellek
rintakehä;chest;mellkas
selkä;back;hát
selkäranka;spine;gerinc
vatsa;stomach;has
vyötärö;waist;derék
yläselkä;upper back;felső hát
