Finnish;English;hungarian
Luut;Bones;Csontok
häntäluu;tail bone;farkcsont
kylkiluu;rib;borda
kyynärluu;ulna;singcsont
lantioluu;pelvic bone;csípőcsont
lapaluu;shoulder blade;lapockacsont
nenäluu;nasal bone;orrcsont
nikamat;vertebrae;csigolyák
olkaluu;humerus;humerus, felkarcsont
poskiluu;cheekbone;arccsont
pääkallo;skull;koponya
rintalasta;sternum;szegycsont
rystyset;knuckles;ujjpercek
selkäranka;spine;gerinc
solisluu;clavicle;kulcscsont
Sisäelimet;Intestines;Zsigerek
haima;pancreas;hasnyálmirigy
keuhkot;lungs;tüdők
kohtu;womb;méh
laskimo;vein;véna
maksa;liver;máj
mahalaukku;stomach;gyomor
munasarja;ovaries;petefészek
munuaiset;kidneys;a vesék
paksusuoli;colon;vastagbél
perna;spleen;lép
peräsuoli;rectum;végbél
ohutsuoli;small intestine;vékonybél
sappirakko;gall bladder;epehólyag
suoli;bowel, gut;bél(rendszer)
sydän;heart;szív
umpisuoli;appendix;vakbél
valtimo;artery;artéria
verisuoni;blood vessel;Véredény
virtsarakko;bladder;hólyag
aivot;brain;agy
