Finnish;English
aamiainen;breakfast
Juotavaa;Drinks
kahvi;coffee
kahvi maidolla;coffee with milk
kahvi kerman kera;coffee with cream
musta kahvi;coffee without milk
kahvi maitovaralla;a coffee with space for milk
kofeiiniton kahvi;decaffeinated coffee
latte;latte
tee;tea
tee sitruunan kera;tea with lemon
maito;milk
kaakao;hot cocoa
tomaattimehu;tomato juice
tuoremehu;fruit juice
appelsiinimehu;orange juice
Munat;Eggs
(kanan)muna;egg
kovaksi keitetty muna;hard-boiled egg
pehmeäksi keitetty muna;soft-boiled egg
kinkkua ja munia;ham and eggs
pekonia ja munia;bacon and eggs
munakokkeli;scrambled eggs
paistettu muna;fried egg
uppomuna;poached egg
munavoi;egg butter
Leivonnaiset;Baked goods
leipä;bread
leipäviipale;a slice of bread
paahdettu leipä;toast
tumma leipä;brown bread
vaalea leipä;white bread
ruisleipä;rye bread
kauraleipä;oat bread
karjalanpiirakka;Karelian pasty
pulla;bun (pic)
voileipä;sandwich
sämpylä;roll
voisarvi;croissant
gluteeniton leipä;gluten-free bread
Muuta;Other
murot;cereal
puuro;porridge
mysli;muesli
hunaja;honey
sokeri;sugar
hillo;jam
marmeladi;marmelade
maapähkinävoi;peanut butter
suklaalevite;chocolate spread
leivänpäälliset;cold cuts
meetvursti;salami
