Finnish;English
Vaatteet;Clothes
aamutakki;dressing gown
alushame;petticoat
alushousut;underpants
aluspaita;undershirt
alusvaatteet;underwear
anorakki;anorak
bikinit;bikini
bleiseri;blazer
bokserit;boxershorts
esiliina, essu;apron
farkkupaita;jeans shirt
farkut;jeans
farmarit;blue jeans
frakki;tailcoat
hame;skirt
hiihtohousut;ski trousers
housupuku;trouser suit
housut;pants
huppari;hoodie
iltapuku;evening gown
jakku;jacket
jakkupuku;two piece dress and jacket
kauluspaita;button-up shirt
kesämekko;summer dress
korsetti;corset
kylpytakki;bathrobe
liivi;waistcoat, vest
lyhyet housut;short pants
mekko;dress
minihame;mini skirt
mokkajakku;suede jacket
mokkatakki;suede coat
nahkatakki;leather jacket
neulepusero;pullover
neuletakki;cardigan
paita;shirt
pikkuhousut;panties
polvisukat;knee socks
poolopaita;turtle neck
puku;suit
pusero;blouse
pyjama;pajamas
päällystakki;overcoat
rintaliivit;bra
sadetakki;raincoat
solmio;tie
shortsit;shorts
stoola;stole
sukat;socks
sukkahousut;tights
suojahaalari;coverall
takki;coat
toppatakki;quilted jacket
toppi;top
tuulipuku;windbreaker
T-paita;T-shirt
tunika;tunic
turkistakki;fur jacket
turkki;fur coat
tuulipusero;windcheater
työvaatteet;work clothes
uimamyssy;bathing cap
uimahousut;bathing trunks
uimapuku;swimsuit
verryttelypuku;sweatsuit
villapusero, villapaita;sweater
villatakki;cardigan
virkapuku;uniform
yöpaita;nightgown
yöpuku;night clothes
äitiyshousut;maternity pants
Asusteet;Accessories
hartiahuivi;shawl
hattu;hat
hiussolki;hair clip
huivi, kaulaliina;scarf
kaulakoru;necklace
kihlasormus;engagement ring
korvakorut;earrings
käsineet;gloves
käsilaukku;hand bag
lippalakki;cap
lippis;cap (spoken)
myssy;cap
nenäliina;handkerchief
pipo;woolly hat, beanie
rannekello;watch
rannerengas;bracelet
sormus;ring
olkihattu;straw hat
päähuivi;head scarf
vihkisormus;wedding ring
vyö;belt
Osat;Parts
hakaneula;safety pin
hiha;sleeve
hihaton;sleeveless
huppu;hood
kalvosin;cuff
kaula-aukko;neckline
kaulus;collar
kengännauhat;shoelaces
lahje;pants' leg
nappi;button
sauma;seam
tarranauha;velcro
tasku;pocket
vetoketju;zipper
vuori;inside lining
Materiaalit;Materials
kashmir;cashmere
keinokuitu;synthetic fibre
mohair;mohair
nahka;leather
pellava;linen
pitsi;lace
puuvilla;cotton
sametti;velvet
silkki;silk
turkis;fur
villa;wool
Kuviot;Patterns
yksivärinen;one color
raidallinen;striped
ruudullinen;checkered
kuviollinen;patterned
pilkullinen;dotted
