Finnish;English
Minä juon kahvia;I drink coffee
Viini;Wine
punaviini;red wine
valkoviini;white wine
burgundiviini;burgundy
roséviini;rose wine
omenaviini;apple wine
samppanja;champagne
kuohuviini;sparkling wine
hapan;sour
kuiva;dry
kypsä;mature
makea;sweet
mieto;mild
sekoitus;blended
uusi;new
vanha;old
vuosikerta;vintage
väkevä;strong
Muut alkoholijuomat;Other alcoholic drinks
aprikoosilikööri;apricot liqueur
brandy;brandy
gini;gin
grogi;grog
kalja;table beer
katkerot;bitters
kirsikkalikööri;cherry liqueur
konjakki;cognac
kossu;Koskenkorva
lasi olutta;a glass of beer
likööri;liqueur
munalikööri;advocaat
munkkilikööri;Benedictine
olut;beer
keskiolut;medium strength beer
pontikka;home-distilled liquor
pullotettu olut;bottled beer
punssi;punch
rommi;rum
siideri;cider
tölkkiolut;canned beer
viina;liquor
viski;whiskey
vodka;vodka
Alkoholittomat juomat;Alcohol free drinks
appelsiinijuoma;orangeade
appelsiinimehu;orange juice
energiajuoma;energy drink
greippimehu;grapefruit juice
hanavesi;tap water
kaakao;cocoa
kahvi;coffee
kivennäisvesi;tonic
limsa;lemonade
maito;milk
maitokahvi;coffee with milk
mehu;juice
mineraalivesi;mineral water
mustaherukkamehu;blackcurrant juice
pirtelö;milkshake
sima;mead
sitruunamehu;lemon juice
smoothie;smoothie
soodavesi;soda
tee;tea
tuoremehu;fresh juice
