Finnish;English;hungarian
Perussanoja;Basic words;Alapszavak
perhe;family;család
veli;brother;fiú testvér
sisko, sisar;sister;nővér, nővér
vanhemmat;parents;szülők
äiti;mother;Mama
isä;father;apa
vanhempi;parent;idősebb
lapsi;child;gyermek
tyttö, tytär;daughter;lány, lánya
poika;son;fiú
vaimo;wife;feleség
mies;husband;Férfi
pikkusisko;little sister;húg
isosisko;older sister;nővér
pikkuveli;little brother;kölyök testvér
isoveli;older brother;nagy Testvér
isovanhemmat;grandparents;nagyszülők
isoäiti;grandmother;nagymama
isoisä;grandfather;nagyapa
lastenlapset;grandchildren;unokák
täti;aunt;néni
setä;uncle (father's side);nagybácsi (apa testvére)
eno;uncle (mother's side);nagybácsi (anya testvére)
serkku;cousin;unokatestvér
käly;sister-in-law;sógornő
lanko;brother-in-law;Sógor
anoppi;mother-in-law;anyós
appi;father-in-law;após
miniä;daughter-in-law;menye
vävy;son-in-law;vő
Hieman vaikeampia sanoja;Somewhat more difficult words;Kicsit nehezebb szavak
sisarukset;siblings;testvérek
perheenjäsenet;family members;családtagok
sukulaiset;extended family;rokonai
sukulainen;relative;relatív
sisarenpoika;nephew (sister's son);unokaöcs (lánytestvér fia)
veljenpoika;nephew (brother's son);unokaöcs (fiútestvér fia)
sisarentytär;niece (sister's daughter);unokahúg (lánytestvér lánya)
veljentytär;niece (brother's daughter);unokahúg (fiútestvér lánya)
pojantytär;granddaughter (son's daughter);lány unoka (fiú lánya)
tyttärentytär;granddaughter (daughter's daughter);lány unoka (lány lánya)
pojanpoika;grandson (son's son);unokája
tyttärenpoika;grandson (daughter's son);lány unoka (lány fia)
pikkuserkku;second cousin;másod-unokatestvér
isoisänisä;great-grandfather;dédnagyapa
lapsenlapsen lapsi;great-grandchild;unoka gyermeke
kummivanhemmat;godparents;keresztszülők
kummisetä;godfather;keresztapa
kummitäti;godmother;keresztanya
kummipoika;godson;isten fia
kummitytär, kummityttö;goddaughter;keresztlány, keresztlány
Hiukan puhekieltä;A little spoken language;Kicsit köznyelvi
mummo, mummi, mummu, muori;grandma;nagymama, nagymama, nagymama, anya
pappa, ukki, ukko, vaari;grandpa;papa, ukki, ukko, vaari
isi, iskä, faija;dad, daddy;apa, apa, faija
naimisissa;married;házas
mennä naimisiin;to get married;megházasodni
avioliitto;marriage;házasság
aviomies;husband in marriage;férj
aviovaimo;wife in marriage;házas felesége
avoliitto;cohabitation;együttélés
avomies;common-law husband;nyitott ember
avovaimo;common-law wife;közös feleség
parisuhde;relationship;kapcsolat
parisuhteessa;in a relationship;kapcsolatban
kihloissa;engaged;elkötelezett
mennä kihloihin;to get engaged;belemerül
naimaton;unmarried;nőtlen
eronnut;divorced;elvált
leski;widow, widower;özvegy
kumppani;partner;Társ
puoliso;spouse;házastárs
isäpuoli;stepfather;mostohaapa
äitipuoli;stepmother;mostohaanya
sisarpuoli;stepsister;mostohanővér
velipuoli;stepbrother;mostoha testvér
tytärpuoli;stepdaughter;mostoha lánya
poikapuoli;stepson;mostohafiú
huoltaja;caregiver, guardian;gondnok
holhooja;guardian;gyám
orpo;orphan;árva
sijaisperhe;foster family;örökbefogadó szülők
adoptio;adoption;örökbefogadás
adoptoitu;adopted;fogadott
adoptoida;to adopt;örökbe fogadni
adoptioäiti;adoptive mother;örökbefogadó anya
biologinen äiti;biological mother;biológiai anya
yksinhuoltaja;single parent;elvált szülő
