Finnish;English;Hungarian
boysenmarja;boysenberry;boysenbogyó
juolukka;bog whortleberry;tőzegáfonya
karhunvatukka;blackberry;szeder
karpalo;cranberry;vörös áfonya
karviaismarja;gooseberry;egres
kirsikka;cherry;cseresznye
lakka;cloudberry;molyos áfonya
lillukka;stone bramble;kőmálna
mansikka;strawberry;eper
mesimarja;arctic bramble;sarkvidéki málna
metsämansikka;wild strawberry;erdei szamóca
mustikka;blueberry;áfonya
mustaherukka;blackcurrant;feketeribizli
pensasmustikka;highbush blueberry;magas áfonyabokor
pihlajanmarja;rowanberry;tárnics
punaherukka;red currant;piros ribizli
puolukka;lingonberry;vörösáfonya
tyrni;buckthorn;homoktövis
vadelma;raspberry;málna
variksenmarja;black crowberry;havasi ribiszke
viinimarja;currant;ribizli
hillomarja;berry for jam;lekvárbogyó
luonnonmarja;berry in nature;természetes bogyó
metsämarja;berry in forest;erdei bogyó
puutarhamarja;berry in garden;kerti bogyó
talousmarja;cultivated berry;művelt bogyó
pakastemarja;frozen berry;fagyasztott bogyó
marja;berry;bogyó
pensas;shrub, bush;bokor
sato;harvest;termés
hillo;jam;lekvár
hyytelö;jelly;zselé
kiisseli;kissel;kásáté
(tuore)mehu;juice;gyümölcslé
marjakeitto;berry soup;bogyóleves
mustikkapiirakka;blueberry pie;áfonyás pite
makea;sweet;édes
hapan;sour;savas
raaka;green, raw;nyers
kypsä;ripe;érett
kypsyä;to ripen;érni
kukkia;to blossom;virágozni
marjastaa, poimia marjoja;to pick berries;bogyózni
kerätä;to collect;gyűjteni
mennä marjaan;to go to pick berries;bogyózni menni
olla marjassa;to be picking berries;bogyózni lenni
säilöä;to conserve;tartósítani
survoa;to crush;összetörni
marjastaja;berry picker;bogyószedő
mehumaija, mehustin;steam juicer;gőzös prés
Oma maa mansikka, muu maa mustikka.;Literally: Own country strawberry, other country blueberry. (Things are better at home.);Saját hazádban eper, máshol áfonya. 
Se maksaa mansikoita.;Literally: It costs strawberries. (It's really expensive.);Eperbe kerül. 
He ovat kuin kaksi marjaa.;Literally: They are like two berries. (They're very similar, like two peas in a pod.);Olyanok, mint két bogyó.
Hän lähti herrojen kanssa marjaan.;Literally: He went picking berries with the gentlemen. (He trusts unsubstantiated promises.);Elment bogyózni az urakkal.
Se oli kirsikka kakun päällä.;Literally: It was the cherry on top of the cake. (It was the highpoint, the thing that made it perfect.);Ez volt a hab a tortán.
