Finnish;English;Hungarian
Viini;Wine;Bor
punaviini;red wine;vörösbor
valkoviini;white wine;fehérbor
burgundiviini;burgundy;burgundi bor
roséviini;rose wine;rozébor
omenaviini;apple wine;almabor
samppanja;champagne;pezsgő
kuohuviini;sparkling wine;habzóbor
hapan;sour;savanyú
kuiva;dry;száraz
kypsä;mature;érett
makea;sweet;édes
mieto;mild;enyhe
sekoitus;blended;keverék
uusi;new;új
vanha;old;régi
vuosikerta;vintage;évjárat
väkevä;strong;erős
Muut alkoholijuomat;Other alcoholic drinks;Egyéb alkoholos italok
aprikoosilikööri;apricot liqueur;baracklikőr
brandy;brandy;brandy
gini;gin;gin
grogi;grog;grog
kalja;table beer;gyenge sör
katkerot;bitters;keserűlikőr
kirsikkalikööri;cherry liqueur;cseresznyelikőr
konjakki;cognac;konyak
kossu;Koskenkorva;Koskenkorva (finn vodka)
lasi olutta;a glass of beer;egy pohár sör
likööri;liqueur;likőr
munalikööri;advocaat;tojáslikőr
munkkilikööri;Benedictine;bencés likőr
olut;beer;sör
keskiolut;medium strength beer;középerős sör
pontikka;home-distilled liquor;pálinka (házi főzésű)
pullotettu olut;bottled beer;üveges sör
punssi;punch;puncs
rommi;rum;rum
siideri;cider;almabor (cider)
tölkkiolut;canned beer;dobozos sör
viina;liquor;tömény ital
viski;whiskey;whisky
vodka;vodka;vodka
Alkoholittomat juomat;Alcohol free drinks;Alkoholmentes italok
appelsiinijuoma;orangeade;narancsízű üdítő
appelsiinimehu;orange juice;narancslé
energiajuoma;energy drink;energiaital
greippimehu;grapefruit juice;grapefruitlé
hanavesi;tap water;csapvíz
kaakao;cocoa;kakaó
kahvi;coffee;kávé
kivennäisvesi;tonic;ásványvíz (szénsavas)
limsa;lemonade;üdítőital
maito;milk;tej
maitokahvi;coffee with milk;tejeskávé
mehu;juice;lé, gyümölcslé
mineraalivesi;mineral water;ásványvíz
mustaherukkamehu;blackcurrant juice;feketeribizli-lé
pirtelö;milkshake;turmix
sima;mead;mézsör
sitruunamehu;lemon juice;citromlé
smoothie;smoothie;turmixital
soodavesi;soda;szóda
tee;tea;tea
tuoremehu;fresh juice;friss gyümölcslé
Viina on viisasten juoma.;Literally: Liquor is the drink of the wise.Only those who know how to drink responsibly should drink.;Szó szerint: A tömény ital a bölcsek itala.Csak az igazi mértékletesek igyanak.
Kahvihammasta kolottaa.;Literally: The coffee tooth hurts.I'm in the mood for coffee.;Szó szerint: Fáj a kávéfogam.Kávéra vágyom.
Kylmä kahvi kaunistaa.;Literally: Cold coffee makes you beautiful.Cold coffee is better than no coffee.;Szó szerint: A hideg kávé megszépít.A hideg kávé is jobb a semminél.
