Finnish;English;Hungarian
Liharuokia;Meat dishes;Húsételek
filee;fillet;filé
fileeselkä;sirloin;hátszín
gulassi;goulash;gulyás
hampurilainen;hamburger;hamburger
jänis;hare;nyúl (vadnyúl)
jauheliha;minced meat;darált hús
kani;rabbit;házi nyúl
kääryle;collared beef;töltött káposzta (húsos tekercs)
kinkku;ham;sonka
kyljykset;chops;karaj
lampaanliha;mutton;bárányhús
lihahöystö;ragout;ragú
lihakääryleet;beef rolls;hústekercs
lihapullat;meat balls;húsgombóc
makkara;sausage;kolbász
maksalaatikko;liver casserole;májkása (rakott májétel)
muhennos;stew;pörkölt
naudanliha;beef;marhahús
pihvi;steak;sült hús, steak
piirakka;pie;pité
sianliha;pork;sertéshús
sianlihamakkarat;pork sausages;sertéskolbász
vasikanliha;veal;borjúhús
vasikanpää;calf's head;borjúfej
villisika;wild boar;vaddisznó
viilokki;fricassee;vagdalt, ragu
Siipikarja;Poultry;Baromfi
ankka;duck;kacsa
broilerinliha, kana;chicken;csirkehús
fasaani;pheasant;fácán
hanhi;goose;lúd
kalkkuna;turkey;pulyka
kanalintu;fowl;baromfi (szárnyas)
kurppa;snipe;szalonka
kyyhkynen;pigeon;galamb
peltopyy;partridge;fogoly
viiriäinen;quail;fürj
Ruhonosat;Carcasse parts;Húsrészek
aivot;brains;agy
etuselkä;chuck;nyak (marha)
kieli;tongue;nyelv
kylki;flank;oldalas
lapa;shoulder;lapocka
maksa;liver;máj
munuaiset;kidneys;vese
paisti;joint;pecsenye (sült)
potka;shank;csülök
reisi;leg;comb (húsrész)
rinta;brisket;szegy
ulkofilee;sirloins;bélszín
Valmistustavat;Cooking ways;Elkészítési módok
fileoitu;filleted;filézett
grillattu;grilled;grillezett
haudutettu;stewed;párolt
höyrytetty;steamed;gőzölt
jauhettu;minced;darált
keitetty;boiled;főtt
kypsennetty;cooked;megsütött / főzött
leivitetty;breaded;rántott
marinoitu;marinated;pácolt
muhennettu;braised, stewed;pörkölt, párolt
paistettu;fried;sült
savustettu;smoked;füstölt
suolattu;salted;sózott
tyhjiökypsennetty;sous-vide;szuvidált
Minä en syö lihaa.;I don't eat meat.;Nem eszem húst.
Minä olen kasvissyöjä.;I'm a vegetarian.;Vegetáriánus vagyok.
Minä olen vegaani.;I'm a vegan.;Vegán vagyok.
En syö mitään eläinperäisiä tuotteita.;I don't eat any animal products.;Nem fogyasztok állati eredetű termékeket.
Millaisesta lihasta sinä tykkäät?;What kind of meat do you like?;Milyen húsokat szeretsz?
Syötkö mieluummin kalaa vai lihaa?;Do you rather eat fish or meat?;Inkább halat vagy húst eszel?
Syötäisiinkö lihapullia tänään?;Could we eat meatballs today?;Együnk ma húsgombócot?
Syön joka päivä makkaroita.;I eat sausages every day.;Minden nap eszem kolbászt / virslit.
Haluan vähentää lihansyöntiä.;I want to eat less meat.;Csökkenteni akarom a húsevést.
En syö porsaanlihaa.;I don't eat pork.;Nem eszem sertéshúst.
Uskontoni kieltää sianlihan syömisen.;My religion forbids me from eating pork.;A vallásom tiltja a sertéshús fogyasztását.
Suuria määriä raakaa lihaa ei kannata syödä.;You shouldn't eat large quantities of raw meat.;Nagy mennyiségű nyers húst nem ajánlott enni.
Kananliha on halvempaa kuin naudanliha.;Chicken is cheaper than beef.;A csirkehús olcsóbb, mint a marhahús.
