Finnish;English;hungarian
ahdistushäiriö;anxiety disorder;szorongási zavar
aivohalvaus;a stroke;gutaütés
aivotärähdys;a concussion;agyrázkódás
ajos, paise;an abcess;meghajtó, tályog
allergia;allergy;allergia
anemia;anemia;anémia
auringonpistos;sunstroke;napszúrás
astma;asthma;asztma
bronkiitti;bronchitis;hörghurut
emätintulehdus;vaginal infection;hüvelygyulladás
epilepsia;epilepsy;epilepszia
eturauhassyöpä;prostate cancer;prosztata rák
flunssa;flu, influenza;influenza
heinänuha;hay-fever;szénanátha
hengitysvaikeuksia;difficulty breathing;légzési nehézségek
ihotauti;skin disease;bőrbetegség
ihottuma;a rash;kiütés
inkontinenssi;incontinence;inkontinencia
keskenmeno;miscarriage;vetélés
keuhkokuume;pneumonia;tüdőgyulladás
kitarisantulehdus;tonsillitis;gitárgyulladás
korvatulehdus;ear infection;fülfertőzés
lavantauti;typhoid;tífusz
leukemia;leukemia;leukémia
malaria;malaria;malária
masennus;depression;depresszió
merisairaus;sea-sickness;tengeri betegség
migreeni;migraine;migrén
munuaiskivi;kidney stone;vesekő
nivelreuma;arthritis;rheumatoid arthritis
noidannuoli;lumbago;lumbágó
närästys;heartburn;gyomorégés
pahoinvointi;nausea;hányinger
paleltuma;frostbite;fagyás
paniikkikohtaus;panic attack;pánikroham
polio;polio;gyermekbénulás
rintasyöpä;breast cancer;mellrák
sairaus;illness;betegség
tartunta;infection;fertőzés
tuberkuloosi;tuberculosis;tuberkulózis
raskausmyrkytys;pre-eclampsia;preeclampsia
reumatismi;rheumatism;reuma
ripuli;diarrhea;hasmenés
ruokamyrkytys;food poisoning;ételmérgezés
sappikivi;gall stone;epekő
selkäsärky, selkäkipu;back ache;hátfájás, hátfájás
sikotauti;mumps;mumpsz
sokeritauti, diabetes;diabetes;diabetes mellitus
sokki;shock;sokk
sukupuolitauti;venereal disease;szexuális úton terjedő betegség
sydänkohtaus;heart attack;szívroham
sydänvika;heart problem;szív elégtelenség
syöpä;cancer;rák
trauma;trauma;sérülés
traumaperäinen stressihäiriö;PTSD;traumás stressz zavar
tuhkarokko;scarlet fever;kanyaró
ummetus;constipation;székrekedés
umpisuolentulehdus;appendicitis;vakbélgyulladás
unettomuus;insomnia;álmatlanság
vatsahaava;stomach ulcer;fekély
vesirokko;chicken pox;bárányhimlő
Olen sairas.;I'm sick.;Beteg vagyok.
Minulla on huono olo.;I don't feel well.;Rosszul érzem magam.
En voi hyvin.;I'm not doing well.;Nem érzem jól magam.
En tiedä, mikä minua vaivaa.;I don't know what's wrong with me.;Nem tudom mi van velem.
Tarvitsen lääkärin.;I need a doctor.;Kell egy orvos.
Tarvitsen lääkettä.;I need medication.;Gyógyszerre van szükségem.
Haluan varata ajan lääkärille.;I want to make an appointment with a doctor.;Időpontot szeretnék kérni az orvoshoz.
Voisitko soittaa ambulanssin?;Could you call an ambulance?;Tudnál mentőt hívni?
Tarvitsen lääkärintodistuksen.;I need a doctor's note.;Orvosi igazolásra van szükségem.
En voi tulla kouluun tänään.;I can't come to school today.;Nem tudok ma iskolába jönni.
En voi tulla töihin tänään.;I can't come to work today.;Ma nem tudok dolgozni.
