Finnish;English;Hungarian
Minä käyn kaupassa tänään.;I will stop by at the store today.;Ma elugrom a boltba ma.
Minä kävin eilen kaupassa.;I went to the store yesterday.;Tegnap elmentem a boltba.
Minä kävin eilen pankissa.;I went to the bank yesterday.;Tegnap elmentem a bankba.
Käyn joskus leipomossa.;I go to the bakery sometimes.;Néha betérek a pékségbe.
Hän ei käynyt apteekissa.;He didn't go to the pharmacy.;Nem ment el a gyógyszertárba.
Äiti kävi neuvolassa.;Mother went to the maternity clinic.;Anya volt a védőnőnél.
Hän kävi kampaamossa.;She went to the hairdresser's.;Elment a fodrászhoz.
Haluan käydä taidemuseossa.;I want to go to the art museum.;Szeretnék elmenni a művészeti múzeumba.
Kävitkö jo kirjastossa?;Did you go to the library already?;Már jártál a könyvtárban?
Kävimme uimahallissa.;We went to the swimming hall.;Elmentünk az uszodába.
Pojat kävivät eläintarhassa.;The boys went to the zoo.;A fiúk elmentek az állatkertbe.
Käyn usein baarissa.;I often go to the bar.;Gyakran járok bárba.
Käyn joka päivä kioskilla.;I go to the kiosk every day.;Minden nap elmegyek a trafikhoz.
Kävimme poliisiasemalla.;We went to the police station.;Voltunk a rendőrőrsön.
Kävitkö paloasemalla?;Did you go to the fire station?;Voltál a tűzoltóságon?
Käyn joka päivä kuntosalilla.;I go to the gym every day.;Minden nap járok edzőterembe.
Kävin pikaisesti pihalla.;I made a quick stop at the yard.;Gyorsan kimentem az udvarra.
Kävitkö jo rannalla?;Have you been at the beach already?;Már voltál a strandon?
Maija käy usein torilla.;Maija often goes to the market.;Maija gyakran megy a piacra.
Kävin ystäväni luona.;I visited my friend.;Meglátogattam a barátomat.
Oletko jo käynyt luonani?;Have you already visited me?;Már jártál nálam?
Haluan käydä Antin luona.;I want to go to Antti's place.;El akarok menni Antihoz.
Kävin mummolassa.;I went to grandma's place.;Voltam a nagymamámnál.
Haluan käydä sadassa maassa.;I want to visit 100 countries.;Száz országot akarok bejárni.
Käyn usein Tampereella.;I often visit Tampere.;Gyakran járok Tamperébe.
Käyn usein Helsingissä.;I often visit Helsinki.;Sűrűn járok Helsinkibe.
Minun pitää käydä suihkussa.;I have to take a shower.;Zuhanyoznom kell.
Kävin eilen suihkussa.;I took a shower yesterday.;Tegnap lezuhanyoztam.
Saanko käydä vessassa?;Can I go to the bathroom?;Kimehetek a mosdóba?
Olen jo käynyt vessassa.;I've already been to the bathroom.;Már voltam a vécén.
Kävitkö jo ulkona?;Have you been outside yet?;Voltál már kint?
Käytkö täällä usein?;Do you come here often?;Gyakran jársz ide?
Käyn pesemässä kasvoni.;I go to wash my face.;Elmegyek megmosni az arcomat.
Kävin katsomassa elokuvan.;I went to see a movie.;Elmentem megnézni egy filmet.
Haluan käydä luistelemassa.;I want to go skating.;Szeretnék elmenni korcsolyázni.
Kävimme ratsastamassa.;We went horseback riding.;Elmentünk lovagolni.
Käyn tänään shoppailemassa.;I'm going shopping today.;Ma elmegyek vásárolni.
Kävin ostamassa uuden takin.;I went to buy a new coat.;Elmentem venni egy új kabátot.
En käynyt syömässä tänään.;I didn't go to eat out today.;Ma nem voltam enni.
Kävitkö jo syömässä?;Did you already go to eat?;Már elmentél enni?
Älä käy nukkumassa vielä!;Don't go to sleep yet!;Még ne menj aludni!
Kävin monta kertaa uimassa.;I went swimming many times.;Többször elmentem úszni.
Kävin nostamassa rahaa.;I went to withdraw money.;Pénzt vettem fel.
Kävitkö jo maksamassa?;Did you already go to pay?;Már elmentél fizetni?
Käydäänkö hiihtämässä?;Shall we go ski?;Elmegyünk síelni?
Käymme kävelemässä.;We go for a walk.;Elmegyünk sétálni.
Käyn yksin juoksemassa.;I go for a run alone.;Egyedül megyek futni.
Kävitkö pyöräilemässä?;Did you go cycling?;Voltál már biciklizni?
