Finnish;English;Hungarian
Odota päivä tai kaksi, kyllä se paranee.; Wait a day or two, it will get better.; Várj egy napot vagy kettőt, jobban lesz.
Hän ei koskaan kysellyt kuulumisia tai kutsunut kahville.; She never asked how I was or invited me for coffee.; Sosem kérdezte, hogy vagyok, vagy hívott kávézni.
Hänen nimensä oli Kaisa tai Kaija tai jotain.; Her name was Kaisa or Kaija or something.; A neve Kaisa vagy Kaija vagy valami ilyesmi volt.
Voit lukea kirjan tai mennä kävelylle.; You can read a book or go for a walk.; Elolvashatsz egy könyvet, vagy elmehetsz sétálni.
Haluatko sokeria tai kermaa?; Do you want sugar or cream (or both / neither)?; Kérsz cukrot vagy tejszínt (akár mindkettőt, akár egyiket sem)?
Haluatko kahvia vai teetä?; Do you want coffee or tea?; Kávét vagy teát kérsz?
Puhuuko hän suomea tai ruotsia?; Does he speak Finnish or Swedish (or both / neither)?; Beszél finnül vagy svédül (esetleg mindkettőt, esetleg egyiket sem)?
Puhuuko hän suomea vai ruotsia?; Does he speak Finnish or Swedish?; Finnül vagy svédül beszél?
Aiotko mennä elokuviin tai konserttiin?; Are you going to the movies or to a concert (maybe both)?; El akarsz menni moziba vagy koncertre (akár mindkettőre)?
Aiotko mennä elokuviin vai konserttiin?; Are you going to the movies or a concert (choose one)?; Moziba mész vagy koncertre?
Minä, vai?; Do / Did you mean me?; Én, vagy? (Engem értettél?)
Eihän siihen muuta ratkaisua olekaan kuin lähteminen, vai?; There is no other solution to that than leaving, right?; Nincs más megoldás, mint elmenni, ugye?
Tämä on tärkeä tehtävä, vai?; This is an important task, right?; Ez fontos feladat, igaz?
Sinäkin olet tulossa, vai?; You're coming too, aren't you?; Te is jössz, ugye?
Vai niin.; I see.; Úgy értem / Értem.
Vai mitä?; Eh? Right? Isn't it?; Ugye? Nem igaz?
Vai niin se oli.; Oh, that's how it was.; Á, így volt hát.
Vai että sinä sen teit.; So you were the one who did it.; Szóval te voltál az, aki ezt tette.
