Finnish;English;Hungarian
Kyllä;Yes;Igen
Joo;Yeah;Ja
Juu;Yep;Igen (informal)
Kyllä, (minä) tulen;Yes, I'm coming;Igen, jövök
Niin;Yeah (confirmation);Igen (megerősítő)
Niin tulin;Yes, I did;Igen, jöttem
Niin on;Yeah!;Igen, így van!
Niin oli;Yeah.;Igen, így volt.
Niin pitää;Yes, we do.;Igen, kell.
Haluan;I want.;Akarok
Soitan;I'll call.;Hívni fogok
Tulee;He / She / It comes.;Jön
Kävi;It went.;Megtörtént
Ei;No;Nem
Minä en istu;I do not sit.;Én nem ülök
Sinä et istu;You (singular) do not sit.;Te nem ültök (sing.)
Hän ei istu;He / She does not sit.;Ő nem ül
Me emme istu;We do not sit.;Mi nem ülünk
Te ette istu;You (plural) do not sit.;Ti nem ültök (pl.)
He eivät istu;They do not sit.;Ők nem ülnek
Ei, en halua;No, I don't want.;Nem, nem akarok
En halua;I don't want.;Nem akarok
En;I don't.;Én nem
Ei, et saa tulla;No, you may not come.;Nem, nem jöhetsz
Et saa;You may not.;Nem szabad
Ei tule;He / She will not come.;Nem jön
Eivät laula;They do not sing.;Nem énekelnek
Joukkue pelasi kyllä hyvin tänään.;The team did play well today.;A csapat tényleg jól játszott ma.
Minä luulen kyllä, että joulupukilla on paljon hommia.;I do think that Santa has a lot to do.;Tényleg úgy gondolom, hogy a Mikulónak sok dolga van.
Sinun täytyy kyllä tulla huomenna.;You do have to come tomorrow.;Tényleg el kell jönnöd holnap.
Sinä selviät kyllä avioerosta.;You really will survive the divorce.;Tényleg túl fogod élni a válást.
Kyllä me pystymme siihen.;We really can do this.;Tényleg meg tudjuk csinálni.
Olen kyllä eri mieltä.;I really am of a different opinion.;Valóban más a véleményem.
En kyllä tiedä mitä ajatella tästä.;I really don't know what to think of this.;Tényleg nem tudom, mit gondoljak erről.
Juu juu, puhu sinä vain.;Yeah yeah, whatever you say.;Ja ja, csak beszélj te.
Joopa joo.;Yeah right.;Ja persze.
No joo.;Yeah, I guess you're right.;Na igen, azt hiszem igazad van.
Kyllä kai.;Yeah, I guess.;Igen, gondolom.
Kylläpäs täällä on puhdasta!;Wow, it's clean in here!;Hű, itt milyen tiszta van!
Ikävä kyllä se ei ole mahdollista.;Sadly, that's not possible.;Sajnos ez nem lehetséges.
Jaa mää vai?;Huh, are you talking to me?;Hát én?
Tahdon.;I will. (Yes when getting married);Igen, akarom.
Eihän siitä tule mitään.;You do know that nothing will come out of this.;Tudod, ebből semmi sem lesz.
Eipä oikeastaan.;Not really.;Tulajdonképpen nem.
Enpä nyt niin sanoisi.;I wouldn't say that exactly.;Nem mondanám pontosan így.
En kylläkään ole varma, mutta eiköhän...?;I'm not really sure, but isn't...?;Nem vagyok egészen biztos, de nem...?
