Finnish;English;hungarian
Mitä kieltä sinä puhut?;What language do you speak?;Milyen nyelven beszél?
Mitä kieliä sinä puhut?;What languages do you speak?;Milyen nyelveket beszélsz?
Puhuuko Joel englantia?;Does Joel speak English?;Joel beszél angolul?
Puhuuko Joel suomea?;Does Joel speak Finnish?;Joel beszél finnül?
Puhutko sinä ranskaa?;Do you speak French?;Beszélsz franciául?
Puhutko sinä arabiaa?;Do you speak Arabian?;beszélsz arabul
Oletko opiskellut ranskaa?;Have you studied French?;Franciát tanultál?
Minun äidinkieli on arabia.;My native language is Arabic.;Az anyanyelvem az arab.
Äidinkieleni on urdu.;My native language is Urdu.;Az anyanyelvem az urdu.
En puhu suomea.;I don’t speak Finnish.;nem beszélek finnül.
Minä puhun suomea.;I speak Finnish.;finnül beszélek.
Minä puhun vähän suomea.;I speak a little Finnish.;Beszélek egy kicsit finnül.
Minä puhun vain suomea.;I speak only Finnish.;Csak finnül beszélek.
Osaan puhua suomea sujuvasti.;I can speak Finnish fluently.;Folyékonyan beszélek finnül.
Osaan puhua suomea melko hyvin.;I can speak Finnish fairly well.;Elég jól beszélek finnül.
Osaan puhekielen suomea hyvin.;I can use spoken Finnish fluently.;Jól beszélek finnül.
Kirjoittaminen on minulle vielä hankalaa.;Writing is still challenging for me.;Az írás még mindig nehéz számomra.
Olen parempi puhumaan kuin kirjoittamaan.;I’m better at speaking than at writing.;Jobban tudok beszélni, mint írni.
Minä puhun ruotsia huonosti.;I speak Swedish badly.;Rosszul beszélek svédül.
Minä puhun englantia sujuvasti.;I speak English fluently.;Folyékonyan beszélek angolul.
Minä puhun ranskaa hyvin.;I speak French well.;jól beszélek franciául.
Hän puhuu aika hyvin.;He speaks quite good.;Elég jól beszél.
Minä ymmärrän, mutta en puhu paljon.;I understand, but I don’t speak a lot.;Értem, de nem beszélek sokat.
Puhun kolmea kieltä.;I speak three languages.;Három nyelven beszélek.
Puhun kahta kieltä sujuvasti.;I speak two languages fluently.;Két nyelven beszélek folyékonyan.
Haluan oppia puhumaan suomea.;I want to learn to speak Finnish.;Meg akarok tanulni finnül beszélni.
perusteet, alkeet;basics;az alapokat, az alapokat
kohtalainen, tyydyttävä;moderate;közepes, kielégítő
hyvä;good;jó
sujuva;fluent;folyékony
erinomainen;excellent;kiváló
äidinkieli;mother tongue;anyanyelv
