Finnish;English
banaani;banana
baari;bar
bussi;bus
elefantti;elephant
energia;energy
faksi;fax
filmi;film
galleria;gallery
gangsteri;gangster
geologia;geology
gramma;gram
grilli;grill
halli;hall
helikopteri;helicopter
hotelli;hotel
idea;idea
kaakao;cacao
kaaos;chaos
kahvi;coffee
kamera;camera
kenguru;kangaroo
kirahvi;giraffe
kitara;guitar
konjakki;cognac
konsertti;concert
krokotiili;crocodile
lamppu;lamp
meloni;melon
metri;meter
metro;metro
ministeri;minister
museo;museum
musiikki;music
neutraali;neutral
normaali;normal
oliivi;olive
ooppera;opera
pankki;bank
paperi;paper
piano;piano
pitsa;pizza
presidentti;president
professori;professor
salaatti;salad
sampoo;shampoo
pubi;pub
radio;radio
siideri;cider
sohva;sofa
sokeri;sugar
taksi;taxi
tee;tea
televisio;television
tomaatti;tomato
traktori;tractor
trumpetti;trumpet
tupakka;tobacco
video;video
viini;wine
viski;whiskey
viulu;violin
turisti;tourist
