Finnish;English;hungarian
Juotavia maitotuotteita;Milk based drinks;Iható tejtermékek
maito;milk;tej
maitojuoma;”milk drink” (legally not called milk anymore after processing processes);tejital
ykkösmaito;semi-skimmed milk (1 % fat);első számú tej
kevytmaito;semi-skimmed milk;fölözött tej
kevytmaitojuoma;semi-skimmed milk drink;könnyű tejital
täysmaito;whole milk;teljes tej
laktoositon maito;lactose-free milk;laktózmentes tej
laktoositon maitojuoma;lactose-free milk drink;laktózmentes tejital
vähälaktoosinen maito;low-lactose milk;alacsony laktóztartalmú tej
raakamaito;raw milk;nyers tej
tinkimaito, tilamaito;raw milk straight from the farm;fölözött tej, mezőgazdasági tej
pastöroimaton maito;unpasteurized milk;nem pasztőrözött tej
pastöroitu maito;pasteurized milk;pasztőrözött tej
homogenoitu maito;homogenized milk;homogenizált tej
luomumaito;organic milk;bio tej
iskukuumennettu maito;UHT (ultra-high temperature processed) milk;gőzölt tej
kestomaito;UHT milk, long-life milk (pic);tápszeres tej
maitojauhe;powdered milk;tejpor
maitotiiviste;evaporated milk, condensed milk;sűrített tej
kondensoitu maito;condensed sweetened milk;sűrített édes<tett tej
vapaan lehmän maito;free range cow's milk;szabadtartású tehéntej
vuohenmaito;goat milk;kecsketej
kauramaito;oat milk;Zabtej
mantelimaito;almond milk;mandulatej
riisimaito;rice milk;rizs tej
soijamaito;soy milk;szójatej
ternimaito, ensimaito;first milk;kolosztrum, kolosztrum
pullomaito;bottle milk (for baby);üveg tej
äidinmaito, rintamaito;human breast milk;anyatej
kefiiri;kefir, fermented milk;kefir
piimä;sour milk, soured milk;kefir, író
rasvaton piimä;fat-free soured milk;zsírmentes savanyú tej
kirnupiimä;buttermilk;író
Kerma;Cream;Krém
kestokerma;UHT (ultra-high temperature processed) cream;tartós krém
iskukuumennettu kerma;UHT cream;UHT krém
kahvikerma;coffee cream;kávékrémes
kevytkerma;light cream;könnyű krém
ranskankerma;crème fraîche;Francia krém
kermavaahto, kuohukerma, vispikerma;whipped cream;tejszínhab
ruokakerma;cream for cooking (can be heated up);élelmiszer krém
smetana, hapankerma;smetana, soured cream;tejföl, tejföl
juusto;cheese;sajt
juustoraaste;grated cheese;reszelt sajt
feta(juusto);feta;feta sajt)
salaattijuusto;feta-style salad cheese, salted or in oil;saláta sajt
homejuusto;mold cheese;penészes sajt
