Finnish;English
kauppa;shop
myymälä;store
ruokakauppa;food store
vaatekauppa;clothing store
kirjakauppa;book store
kenkäkauppa;shoe store
elektroniikkakauppa;electronics store
kalustekauppa;furniture store
eläinkauppa;pet store
lähikauppa;convenience store
leipomo;bakery
kirpputori, kirppis;second-hand store
kauppakeskus;shopping center
ostoskeskus;shopping mall
tavaratalo;department store
kioski;kiosk
pankki;bank
posti;post office
kauneushoitola;beauty salon
kampaamo;hairdresser's
parturi;barbershop
parturi-kampaamo;hairdressing salon
poliisiasema;police station
paloasema;fire station
oikeustalo;courthouse
suutari;cobbler, locksmith
kiinteistötoimisto;real estate office
toimisto;office
pesula;laundromat
baari;bar
pubi;pub
kahvila;cafe
ravintola;restaurant
ruokala;canteen
kahvio;cafeteria
ruokailutila;eatery
sairaala;hospital
terveyskeskus, terveysasema;health center
hammaslääkäri;dentist's
mielisairaala;mental hospital
leikkaussali;operating room
ensiapuasema;emergency room
lääkärin vastaanotto;consulting room
odotushuone;waiting room
neuvola;maternity clinic
apteekki;pharmacy
orpokoti;orphanage
vanhainkoti;home for the elderly
päiväkoti;day care
esikoulu;preschool
peruskoulu;primary school
lukio;high school
yliopisto;university
työväenopisto;adult education center
autokoulu;driving school
musiikkikoulu;music school
opiskelija-asunto;student housing
kuntosali;gym
urheilukeskus;sports center
urheilukenttä;sports, playing field
hiihtokeskus;ski resort
leikkikenttä;playground
golfkenttä;golf course
tenniskenttä;tennis court
jalkapallokenttä;soccer field
leikkipuisto;playground
latu;ski trail
kirjasto;library
matkatoimisto;travel agency
museo;museum
taidemuseo;art museum
taidegalleria;art gallery
näyttely;exhibition
elokuvateatteri;cinema
teatteri;theatre
kylpylä;spa
uimahalli;swimming hall
uimala;outdoor swimming pool
huvipuisto;amusement park
stadion;stadium
messukeskus;exhibition center
eläintarha;zoo
huoltoasema;gas station
bensiiniasema;petrol station
bensa-asema;petrol station (spoken)
autokorjaamo;auto repair shop
juna-asema;train station
rautatieasema;train station
linja-autoasema, bussiasema;bus station
bussipysäkki;bus stop
parkkipaikka;parking lot
moottoritie;motorway
jalkakäytävä;sidewalk
risteys;crossroads
lentoasema;airport
lentokenttä;airport, runway
satama;harbor
hotelli;hotel
motelli;motel
katu;street
tie;road
metsä;forest
piha;yard
puisto;park
kansallispuisto;national park
puutarha;garden
tori;market place
silta;bridge
saari;island
ranta;beach
rakennustyömaa;building site
keskusta;city center
kaupunki;city
kylä;village
suurkaupunki;large city
pääkaupunki;capital city
esikaupunki;suburb
lähiö;downtown
rakennus;building
talo;house
koti;home
omakotitalo;detached house
rivitalo;terrace house
paritalo;semi-detached house
kerrostalo;apartment building
pilvenpiirtäjä;skyscraper
huvila;villa
torni;tower
näkötorni;observation tower
tehdas;factory
linna;castle
palatsi;palace
kartano;mansion
linnoitus;fortress
kirkko;church
tuomiokirkko;cathedral
moskeija;mosque
temppeli;temple
vankila;prison
puutalo;wooden house
tiilitalo;brick house
hirsimökki;log cabin
kesämökki;summer cottage
sauna;sauna
maatila;farm
