Finnish;English
Animals;Eläimet
matelija;reptile
käärme;snake
kyykäärme;adder
rantakäärme;grass snake
kobra;cobra
silmälasikäärme;spectacled cobra
sisilisko;lizard
kilpikonna;turtle
alligaattori;alligator
krokotiili;crocodile
kaimaani;caiman
suokilpikonna;terrapin
sammakko;frog
rupisammakko;toad
etana;snail
kuningasboa;boa constrictor
Lisääsanoja;More words
keuhkot;lungs
munia;to lay eggs
hautoa munia;to bury eggs
lamauttaa saalis;to paralyze prey
embryo;alkio
suomu;scale
raajaton;legless
vaihtolämpöinen;cold-blooded
horros;lethargy
kuristaa;to strangle
myrkkykäärme;venomous snake
kuristajakäärme;contrictor
saalis;prey
paikoiltaan irtoavat leuat;loose jaws
käärmeennahka;snake skin
uusia nahkansa;to shed its skin
luoda nahka;to molt
kaksihaarainen kieli;forked tongue
terraario;terrarium
irrottaa häntä;to shed tail
talvihorros;hibernation
koiras;male
naaras;female
